事業所番号,事業所名称,事業所郵便番号,事業所所在地,電話番号,FAX番号,居宅介護,重度訪問,同行援護,行動援護,療養介護,生活介護,短期入所,重度包括,ＣＨ,ＧＨ,入所支援,機能訓練,生活訓練,宿泊訓練,自立生活,就移一般,就移養成,就継Ａ型,就継Ｂ型,就労定着,地域定着,地域移行,計画相談,児相談,児童発達,医療発達,放課後,保育所,居宅発達
2715500936,障がい福祉サービスひまわり,581-0831,大阪府八尾市山本町北７丁目１番３２号,072-997-5015,072-997-3787,,,,,,○,,,,,,,,,,,,,○,,,,,,,,,,
2715500936,"桜ケ丘あすく
 （主たる事業所 障がい福祉サービスひまわり）",581-0869,大阪府八尾市桜ケ丘２丁目２２０番地 １０１，１０４,072-997-7286,072-997-7286,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,
2715500944,障がい福祉サービス「きっと」,581-0091,大阪府八尾市南植松町一丁目２７番８号,072-990-1017,072-990-1012,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,
2715500951,共働作業所風,581-0028,大阪府八尾市八尾木東三丁目九番地,072-990-6644,072-990-6645,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,
2715500969,ワーク・すずらん,581-0822,大阪府八尾市高砂町一丁目７５番地の１８,072-999-1153,072-999-1153,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,
2715501025,あけぼのホーム,581-0092,大阪府八尾市老原八丁目４１番地,072-993-9957,072-993-9957,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,
2715501041,楽園（パラダイス）八尾,581-0071,大阪府八尾市北久宝寺一丁目１番２７号,072-991-0246,072-999-9982,,,,,,,,,,,,,,,,○,,,○,,,,,,,,,,
2715501058,みのり,581-0072,大阪府八尾市久宝寺三丁目１５番２１号,072-991-5651,072-991-5651,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,
2715501058,"もくれん
 （主たる事業所 みのり）",581-0072,大阪府八尾市久宝寺六丁目６番７号,072-968-9972,072-968-9973,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,
2715501066,アントレー,581-0062,大阪府八尾市東太子二丁目３番２号 小谷ビル２階,072-951-4558,072-970-5633,,,,,,,,,,,,,,,,○,,,○,,,,,,,,,,
2715501108,ワークステーションありんこ,581-0003,大阪府八尾市本町三丁目２番９号,072-925-9586,072-925-9576,,,,,,○,,,,,,,,,,,,,○,,,,,,,,,,
2715501116,障がい者支援施設愛光園,581-0865,大阪府八尾市服部川三丁目７４番地２,072-940-5100,072-941-2940,,,,,,○,,,,,○,,,,,,,,,,,,,,,,,,
2715501124,四季の森,581-0853,大阪府八尾市楽音寺６０９番地,072-940-5500,072-940-5501,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,
2715501124,"四季の森工房ゆいまぁる
 （主たる事業所 四季の森）",581-0855,大阪府八尾市神立六丁目193番地,072-940-5502,072-940-5502,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,
2715501231,ライフサポートおいばら,581-0092,大阪府八尾市老原八丁目５２番地－１,072-991-5800,072-991-1101,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,
2715501249,ゆうあい作業所,581-0007,大阪府八尾市光南町一丁目２番２７号 沼卯ビル２０４号,072-924-8653,072-924-8653,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,
2715501322,ラボーロ,581-0865,大阪府八尾市服部川六丁目２１０ オークヒルズⅢ１－１Ａ,072-983-6368,072-983-6369,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,
2715501371,就労支援センターらいふ,581-0017,大阪府八尾市高美町四丁目８－３ ファミリースクエアビル１Ｆ,072-992-7718,072-992-7719,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,
2715501397,ゆうとおんはーと,581-0834,大阪府八尾市萱振町七丁目６８－１,072-926-6200,072-926-6199,,,,,,○,,,,,,,,,,,,,○,,,,,,,,,,
2715501405,特定非営利活動法人 八尾自立支援センター,581-0054,大阪府八尾市南亀井町四丁目６３番地１,072-925-1271,072-925-1273,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,
2715501496,紬,581-0072,大阪府八尾市久宝寺三丁目１番２２号,072-992-0225,072-992-0225,,,,,,,,,,,,,○,,,,,,○,,,,,,,,,,
2715501603,思いやり就労支援センター,581-0015,大阪府八尾市刑部１丁目１７９,072-920-7970,072-920-7980,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,
2715501652,はばたき作業所,581-0016,大阪府八尾市八尾木北一丁目３９番地,072-990-5855,072-990-5866,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,
2715501686,障がい者福祉作業所アドバンス,581-0004,大阪府八尾市東本町三丁目９番１９号 リバティ八尾５１２号室,072-928-0088,072-929-9000,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,
2715501736,生活訓練事業所ほはば,581-0811,大阪府八尾市新家町七丁目１番地の６,072-970-5533,072-970-5520,,,,,,,,,,,,,○,,,,,,○,,,,,,,,,,
2715501751,ライズロード,581-0834,大阪府八尾市萱振町四丁目４９番地の１７,072-990-0777,072-990-0778,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,
2715501777,あっぱれ,581-0874,大阪府八尾市教興寺三丁目８５番,072-983-6823,072-983-6826,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,
2715501843,エール近鉄八尾,581-0004,大阪府八尾市東本町三丁目６番１０号 たばこビル３階,072-968-9673,072-968-9674,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,
2715501934,ゆうとおんほーぷ,581-0834,大阪府八尾市萱振町七丁目７３番地の２,072-927-1300,072-927-1301,,,,,,○,,,,,,,,,,,,,○,,,,,,,,,,
2715501942,あらいぶ作業所,581-0038,大阪府八尾市若林町一丁目８７番地 クロスティ壱番館,072-948-3560,072-948-3580,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,
2715501967,ワクワクセンターひばり,581-0852,大阪府八尾市西高安町三丁目１９番地,072-943-3556,072-943-3557,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,
2715501983,障がい者生活介護八尾の杜,581-0072,大阪府八尾市久宝寺三丁目１５番３９号,072-943-0089,072-991-0019,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,
2715501991,テイラーズ・ギルド,581-0817,大阪府八尾市久宝園一丁目１１０番地,072-943-1647,072-943-1648,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,
2715502049,アドバンスウィング,581-0088,大阪府八尾市松山町一丁目１番１号,072-926-8186,072-926-1405,,,,,,,,,,,,,,,,,,○,○,,,,,,,,,,
2715502122,就労継続支援Ｂ型事業所麦畑,581-0038,大阪府八尾市若林町三丁目１４３番地,072-940-6202,072-940-6203,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,
2715502130,ふわふわ,581-0822,大阪府八尾市高砂町二丁目４５番地の３６,072-975-5125,072-940-6185,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,
2715502148,ユニバーサルサポート,581-0816,大阪府八尾市佐堂町三丁目２番７号 ジャングビル２階,072-923-6336,072-923-6337,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,
2715502197,生活支援センター風,581-0028,大阪府八尾市八尾木東三丁目８番地,072-990-6644,072-990-6645,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,
2715502213,クオーレ,581-0025,大阪府八尾市天王寺屋七丁目８９番地の１,072-911-2977,072-944-0901,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,
2715502213,"ぷろぐれっそ
 （主たる事業所 クオーレ）",581-0085,大阪府八尾市安中町四丁目３番２６号,072-970-6485,072-970-6486,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,
2715502221,ＬＩＮＣＬＥ,581-0013,大阪府八尾市山本町南一丁目７番１２号,072-945-1015,072-945-1010,,,,,,,,,,,,,○,,,○,,,○,,,,,,,,,,
2715502239,ワンモア八尾,581-0803,大阪府八尾市光町二丁目６９番地 藤増興産ビル２階,072-975-5211,072-975-5212,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,
2715502304,みらいけいかく,581-0866,大阪府八尾市東山本新町三丁目７番２１号,072-921-5552,072-921-6453,○,○,,,,,,,,,,,,,,,,,○,,,,,,,,,,
2715502304,"みらいけいかく ドリーム
 （主たる事業所 みらいけいかく ホープ）",581-0866,大阪府八尾市東山本新町二丁目３番３号,072-921-5552,072-921-6453,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,
2715502304,"みらいけいかく ウィッシュ
 （主たる事業所 みらいけいかく ホープ）",581-0866,大阪府八尾市東山本新町三丁目７番地の１９,072-921-5552,072-921-6453,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,
2715502346,ピアワークステーションクロノス,581-0025,大阪府八尾市天王寺屋一丁目５０番地 Ｂ号,072-911-0024,072-911-0024,,,,,,,,,,,,,,,,,,○,○,,,,,,,,,,
2715502353,ハートフル,581-0866,大阪府八尾市東山本新町九丁目１２５番６号,072-940-7928,072-940-7938,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,
2715502361,ワークショップはな花,581-0085,大阪府八尾市安中町五丁目３番１１号,072-928-0002,072-925-0012,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,
2715502387,しょうがいデイサービスあい,581-0865,大阪府八尾市服部川一丁目４８番地,072-941-0606,072-941-0607,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,
2715502395,メイク,581-0036,大阪府八尾市沼一丁目７８番地の５,072-940-6007,072-940-6067,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,
2715502411,生活介護ノーサイドＬＡＢＯ,581-0882,大阪府八尾市恩智北町一丁目１８６番地の１,072-983-6886,072-983-6889,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,
2715502429,アライブケア,581-0038,大阪府八尾市若林町一丁目８７番地 クロスティ八尾南壱番館,072-975-5905,072-975-5906,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,
2715502445,カルガモ,581-0092,大阪府八尾市老原一丁目１５４番地,072-991-6101,072-991-6102,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,
2715502452,ダンケ・アーバイト,581-0013,大阪府八尾市山本町南一丁目９番３４号 つばきビル山本南５０１号５０２号,072-989-1714,072-989-1714,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,
2715502544,障がい就労支援ひなた,581-0032,大阪府八尾市弓削町一丁目２２番地 セブンコーポ志紀１階,072-940-7226,072-940-7229,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,
2715502551,就労支援 団,581-0031,大阪府八尾市志紀町三丁目１９－１ 松井志紀駅ビル ４０５,072-940-6106,,,,,,,,,,,,,,,,,,,○,○,,,,,,,,,,
2715502593,りんごの木,581-0868,大阪府八尾市西山本町四丁目１５番２,072-993-4330,072-993-4330,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,
2715502601,アドバンス インフィニティ,581-0004,大阪府八尾市東本町三丁目９番１９号 リバティ八尾４１２号室,072-943-1864,072-943-2240,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,
2715502684,ｅ’ｍｉｌｉｎｏ,581-0056,大阪府八尾市南太子堂二丁目３番９号,072-951-5891,072-911-4713,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,
2715502684,"ｌｉｎｏ
 （主たる事業所 ｅ’ｍｉｌｉｎｏ）",581-0094,大阪府八尾市志紀町西四丁目６１番地,072-946-6353,072-951-6735,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,
2715502700,ＣＬＡＮ八尾,581-0821,大阪府八尾市幸町四丁目７０番地の１,072-928-5639,072-928-5638,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,
2715502718,就労継続支援Ｂ型麦畑二番館,581-0038,大阪府八尾市若林町三丁目１４３番地Ｃ,072-940-7137,072-940-7138,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,
2715502791,Ａｓｔｒｏ,581-0062,大阪府八尾市東太子二丁目６番４号 藤岡ビル１階,072-943-4790,072-943-1312,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,
2715502833,Ｂ型就労支援わかば八尾,581-0882,大阪府八尾市恩智北町一丁目１４番地,072-929-8471,06-7896-1131,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,
2715502908,スタジオはな花,581-0085,大阪府八尾市安中町六丁目１番５号,072-922-5880,072-928-0012,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,
2715502965,お元気さまデイサービス愛の輪,581-0014,大阪府八尾市中田五丁目６０番地,072-990-5260,072-990-5270,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,
2715502973,老原デイサービスセンター愛の輪,581-0092,大阪府八尾市老原一丁目６１番地の３,072-928-0230,072-928-0231,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,
2715503013,エール近鉄八尾西口,581-0802,大阪府八尾市北本町一丁目３番３０号 ハーモニアス北本町２階２０１Ａ号室,072-990-2135,072-990-2136,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,
2715503021,「きっと」わーくす,581-0091,大阪府八尾市南植松町一丁目２７番地の６,072-920-4938,072-920-4938,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,
2715503039,しきファーム,581-0854,大阪府八尾市大竹七丁目１８３番地,072-941-4080,072-941-4081,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,
2715503096,共生介護風,581-0028,大阪府八尾市八尾木東三丁目９番地,072-990-6644,072-990-6645,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,
2715503112,らいふわーく八尾,581-0816,大阪府八尾市佐堂町二丁目２番１９号,072-970-6019,072-970-6619,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,
2715503120,ワーク支援ひだまり,581-0038,大阪府八尾市若林町一丁目７６番地の３ ステーションプラザ八尾南４Ｆ－Ⅰ,072-976-4238,072-976-4239,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,
2715503146,ネクストワン,581-0875,大阪府八尾市高安町南五丁目１番地の１,072-990-3591,072-990-3590,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,
2715503153,ｃａｆｅ ＲＯＷＡＮ,581-0869,大阪府八尾市桜ケ丘一丁目１番地 松本コンパクトオフィスＤ号,072-970-6097,072-970-6098,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,
2715503195,なごやか八尾,581-0055,大阪府八尾市跡部南の町二丁目１番１５号,072-940-7227,072-940-7971,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,
2715503229,Ｌａｎｋａ,581-0020,大阪府八尾市曙川東四丁目５番地,072-983-6096,072-983-6097,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,
2715503245,ＣＬＡＮ八尾南館,581-0851,大阪府八尾市上尾町一丁目２１番地の３,072-998-3922,072-998-3923,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,
2715503294,そらいえ,581-0037,大阪府八尾市太田七丁目４９番地の３ ラークハイツ１階,072-940-6747,072-940-6746,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,
2715503310,スマイルクオ八尾,581-0016,大阪府八尾市八尾木北五丁目１０７番地の２,072-999-7755,072-999-7754,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,
2715503393,ネクストケア,581-0875,大阪府八尾市高安町南一丁目５４番地,072-968-9241,072-968-9242,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,
2715503427,Ａｌｉｖｉｏ作業所,581-0013,大阪府八尾市山本町南一丁目１０番２３号,072-999-6242,072-999-6241,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,
2715503492,ワークステーションゆず,581-0802,大阪府八尾市北本町２丁目２番 ペントモール八尾３番街２６号,072-940-6950,072-940-6951,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,
2715503534,ピーナッツ,581-0002,大阪府八尾市東久宝寺二丁目７番８－１０３,072-923-1588,072-923-1588,,,,,,○,,,,,,,,,,,,,○,,,,,,,,,,
2715503542,ジョブタス八尾事業所,581-0872,大阪府八尾市郡川四丁目１８０番地,072-968-7988,072-968-7982,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,
2715503591,就労支援Ｂ型 フッキ－,581-0015,大阪府八尾市刑部三丁目５１番地の１,072-927-0001,072-927-0001,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,
2715503609,児童発達支援・放課後デイサービス・医療的ケア児等 Ｅｇｇ Ｒｉｖｅｒ,581-0061,大阪府八尾市春日町一丁目４番４号 たまごビル３Ｆ,072-991-3398,072-991-4498,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,
2715503617,ノーサイドＣＬＵＢ,581-0882,大阪府八尾市恩智北町一丁目１８８番地の１,072-983-6886,072-983-6889,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,
2715503633,ＹＣＣスタジオ八尾,581-0003,大阪府八尾市本町三丁目１番２０号 ４階,072-923-5860,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,
2715503666,モコリリ,581-0086,大阪府八尾市陽光園二丁目６番３０号,072-975-6464,072-975-6465,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,
2715503674,アドバンスエデュース,581-0801,大阪府八尾市山城町一丁目２番５号 葛城第一ビル１Ｆ,072-942-7863,072-942-7863,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,
2715503682,就労継続支援Ｂ型事業所プライスレス,581-0001,大阪府八尾市末広町五丁目３番１４号,072-935-9235,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,
2715503690,生活介護もみじ,581-0822,大阪府八尾市高砂町四丁目７１番地２,072-926-7074,072-921-2370,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,
2715503708,ｌａｂｌａｂ．,581-0897,大阪府八尾市山本町一丁目８番１７号 山本八幡駅前ビル２Ｆ,072-951-2765,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,
