事業所番号,事業所名称,事業所電話番号,事業所FAX番号,事業所郵便番号,事業所所在地,法人名称,主たる対象者：重症心身障がい児,指定日,主たる事業所名,共生型指定,Unnamed: 11,Unnamed: 12,Unnamed: 13
2754120612,ワンスタット南森町,06-6809-4495,06-6809-4496,530-0046,大阪府大阪市北区菅原町９番２号　八萬ビル１階南側,株式会社香川,,2023/04/01,,,,,
2754120638,児童発達支援事業所　なないろ,06-6926-4095,06-6926-4096,530-0047,大阪府大阪市北区西天満六丁目４番１３ー３０１号　 ,株式会社キッズ・パワー,,2023/10/01,,,,,
2754120422,まなび,06-6360-9004,06-6360-9006,530-0054,大阪府大阪市北区南森町一丁目１番１号　中村ビル１階,株式会社はなまるグループ,,2021/01/01,,,,,
2754120026,発達サポートセンターＣＯＤＯＭＯＤＵＳ,06-4801-6177,06-4801-6177,531-0041,大阪府大阪市北区天神橋三丁目１０番１７号　天神橋藤本興産ビル２階,特定非営利活動法人　ラマモンソレイユ,,2012/04/01,,,,,
2754120703,すくすくキッズ天神橋,06-4801-8315,06-4801-8316,531-0041,大阪府大阪市北区天神橋五丁目７番１０号　さかしん天神橋ビル７０２号室,ＮＰＯ法人ダンデライオン,,2024/04/01,,,,,
2754120554,スポーツひろばプレイスキッズ長柄教室,06-6585-0198,06-6585-0199,531-0061,大阪府大阪市北区長柄西一丁目４番９号　ユニマックビル４階,株式会社ボディアシスト,,2022/01/01,,,,,
2754120653,ｇｒｏｗ,06-6585-0878,06-6585-0073,531-0061,大阪府大阪市北区長柄西二丁目８番１８号　メゾンエルミタージュ１階,株式会社はなまるグループ,,2024/02/01,,,,,
2754120182,キッズスクール　ピースオブマインド,06-6352-0530,06-6352-0538,531-0062,大阪府大阪市北区長柄中三丁目９番７号　ｓｔｕｄｉｏ－Ⅰ　１０１号室,株式会社エンパワーメント,,2017/03/01,,,,,
2754120067,スタジオはる,06-6467-4705,06-6467-4706,531-0063,大阪府大阪市北区長柄東三丁目２番　リバーサイドながら第２号棟第１０５号室,有限会社ウチダ工芸,,2014/03/01,,,,,
2754120661,ＬＥＧＯＮ　Ｋｉｄｓ　長柄,06-6809-3357,06-6809-3407,531-0063,大阪府大阪市北区長柄東一丁目４番２５－１０３号　さざなみ第二団地,株式会社レーヴ,,2024/04/01,,,,,
2754120679,ゆにぞんすてっぷ,06-4397-4050,06-4397-4051,531-0063,大阪府大阪市北区長柄東二丁目３番２７ー１０４号　さざなみプラザ第７　２７号棟,株式会社レーヴ,,2024/04/01,,,,,
2754120315,ｗｅｌｆａｒｅ中津,06-6467-8855,06-6467-8884,531-0071,大阪府大阪市北区中津二丁目４番２７号　サンハイム中津１０９号,株式会社Ｋ－ｓｔｙｌｅ,,2018/12/01,,,,,
2754120711,児童発達支援　放課後等デイサービス　Ｃｏｌｏｒｆｕｌ　Ｋｉｄｓ　Ｆｉｒｓｔ,06-6450-8107,06-6450-8108,531-0071,大阪府大阪市北区中津七丁目１番３号　 ,カラフルキッズ株式会社,,2024/05/01,,,,,
2754120166,スマートキッズジュニア天神橋,06-6131-9415,06-6131-9416,531-0072,大阪府大阪市北区豊崎二丁目６番１８号　コンフォート岸本１階,スマートキッズ株式会社,,2016/11/01,,,,,
2754120588,放課後等デイサービス　ウィズ・ユー豊崎,06-6376-6560,06-6376-6561,531-0072,大阪府大阪市北区豊崎六丁目２番７号　 ,株式会社ＬＥＡＮ　ＩＮ,,2022/08/01,,,,,
2754120059,発達サポートセンター　ｍａ－ｍａ,06-6292-8004,06-6292-8004,531-0072,大阪府大阪市北区豊崎一丁目７番４号　 ,特定非営利活動法人　ｍａ－ｍａ,,2013/12/01,,,,,
2754120109,Ｉｋｕｔａｓ　ｋｉｄｓ,06-6374-2533,06-6374-2534,531-0073,大阪府大阪市北区本庄西三丁目１３番５号　 ,社会福祉法人　北区さつき会,,2015/01/01,,,,,
2754120604,ハビー天六駅前教室,06-6131-8471,06-6131-8472,531-0074,大阪府大阪市北区本庄東一丁目４番１７号　サンシステム天六駅前４Ｆ,ウェルビー株式会社,,2022/11/01,,,,,
2754120307,ディープレイス,06-6467-8664,06-6467-8665,531-0074,大阪府大阪市北区本庄東二丁目２番３０号　 ,株式会社セカンドチャンス,,2018/10/01,,,,,
2754120349,スポーツひろばプレイス天神橋教室,06-6654-7981,06-6654-7982,531-0074,大阪府大阪市北区本庄東一丁目９番９号　ＹＯＤＯビル２Ｆ,株式会社ボディアシスト,,2019/05/01,,,,,
2754120414,おれんじキッズ＆児童デイサービス・アニマートてんろく,06-6486-9004,06-6486-9006,531-0074,大阪府大阪市北区本庄東二丁目１２番１１号　店舗１階,アニマート・グループ西日本株式会社,,2020/10/01,,,,,
2754120745,ＳＭＡＳＰＯ大阪北校,06-6225-7179, ,531-0074,大阪府大阪市北区本庄東二丁目２番３０号　ＷＩＳＨ大阪ビル５階　Ａ号室,ＬａＺｏ株式会社,,2024/07/01,,,,,
2754120018,クリニカルアート＆ミュージックコドモダス,06-6359-9595,06-6359-9595,531-0074,大阪府大阪市北区本庄東二丁目２番３０号　ウィッシュ大阪ビル３０１Ａ,特定非営利活動法人　ラマモンソレイユ,,2012/04/01,,,,,
2754120497,児童デイサービスくれよん大淀,06-6476-8498,06-6476-8499,531-0076,大阪府大阪市北区大淀中五丁目１４番１号　シティハイツ大淀１号棟１０３号室,アイケアサービス株式会社,,2021/05/01,,,,,
2754120380,あっぷるｔｒｅｅｈｏｍｅ,06-6346-2180,06-6346-2181,531-0076,大阪府大阪市北区大淀中三丁目１６番１２号　２階,林檎の木ａｐｐｌｅ　ｔｒｅｅ株式会社,,2020/03/01,,,,,
2755220742,ｍａｍｅｎｏｋｉ,06-6185-2167,06-6185-2168,534-0001,大阪府大阪市都島区毛馬町二丁目１２番１６号　シマナカハイツ３９　１階,株式会社はなまるグループ,,2024/12/01,,,,,
2755220445,まんてん都島毛馬教室,06-6921-1100,06-6921-1101,534-0001,大阪府大阪市都島区毛馬町一丁目６番９号　アフロディーテ毛馬１Ｆ,有限会社まんてん,,2020/08/01,,,,,
2755220031,ディサービスかえる,06-6922-3003,06-6922-3003,534-0001,大阪府大阪市都島区毛馬町五丁目１０番９号　大阪市営毛馬東住宅５号館１０８号室,特定非営利活動法人　かえる,,2012/04/01,,,,,
2755220023,児童デイサービスすまいる,06-6923-5311,06-6923-5310,534-0001,大阪府大阪市都島区毛馬町二丁目１１番　リバーサイドしろきた第３４号棟第１０６号室,特定非営利活動法人　すまいる,,2012/04/01,,,,,
2755220726,放課後等デイサービス　シグナル　キッズ,06-6169-8400,06-6169-8401,534-0002,大阪府大阪市都島区大東町三丁目７番４７号　２Ｆ,株式会社インパクト,,2024/10/01,,,,,
2755220205,うぇるふぇあナースリー都島高倉,06-6955-8191,06-6955-8192,534-0011,大阪府大阪市都島区高倉町一丁目９番１４号　 ,株式会社エースタイル,,2016/09/01,,,,,
2755220452,はなまる本店,06-6925-0870,06-6925-0871,534-0011,大阪府大阪市都島区高倉町一丁目１０番１９号　 ,株式会社はなまるグループ,,2021/01/01,,,,,
2755220734,アースジュニア,06-6922-0001,06-6922-0002,534-0012,大阪府大阪市都島区御幸町一丁目５番２１号　アルファ都島ビル１Ｆ,株式会社エース,,2024/11/01,,,,,
2755220627,運動療育むーん,06-6167-6091,06-6167-6092,534-0012,大阪府大阪市都島区御幸町一丁目６番２２号　ＥＣビル２Ｆ,株式会社ＭＯＯＮ,,2023/07/01,,,,,
2755220692,Ｙ．Ａキッズ,06-6786-4266,06-6786-4265,534-0013,大阪府大阪市都島区内代町三丁目７番１８号　マンション君１０２号室,株式会社新洋,,2024/05/01,,,,,
2755220072,発達支援ルーム　ピースプラント,06-6924-1117,06-6924-1118,534-0014,大阪府大阪市都島区都島北通一丁目１１番１５号　 ,株式会社ピースプラント,,2014/05/01,,,,,
2755220486,ＳＵＣチャレンジ,06-6978-4031,06-6978-4032,534-0014,大阪府大阪市都島区都島北通二丁目９番９号　 ,株式会社ＳＵＣ,,2021/06/01,,,,,
2755220643,ＳＵＣデイズ,06-6167-6798,06-6167-6799,534-0014,大阪府大阪市都島区都島北通二丁目１３番５号　ライオンズマンション都島第２　１０２号室,株式会社ＳＵＣ,,2023/10/01,,,,,
2755220528,ＭｙＳｔｅｐジュニア　都島教室,06-6921-8801,06-6921-8802,534-0014,大阪府大阪市都島区都島北通二丁目１２番１９号　西田ビル１Ｆ,株式会社ＭｙＳｔｅｐ,,2021/11/01,,,,,
2755220494,トレインキッズ,06-6167-7737,06-6167-7738,534-0014,大阪府大阪市都島区都島北通二丁目１番２５号　 ,株式会社トレインキッズ,,2021/06/01,,,,,
2755220577,トレインキッズアネックス,06-6753-9333,06-6753-9334,534-0014,大阪府大阪市都島区都島北通一丁目３番１８号　エイトビル２階　２０６号室,株式会社トレインキッズ,,2022/07/01,,,,,
2755220510,おおきな木都島,06-6167-5297,06-6167-5298,534-0014,大阪府大阪市都島区都島北通二丁目２４番１１号　ＩＣｕｂｅ都島１階１１０号室,株式会社ワイルドフラワー,,2021/09/01,,,,,
2755220676,ＬＥＧＯＮ　Ｋｉｄｓ　都島,06-6924-9120,06-6924-9130,534-0015,大阪府大阪市都島区善源寺町一丁目１２番１４号　プラスワン都島１０１,株式会社レーヴ,,2024/04/01,,,,,
2755220619,ＳＡＩ＆（サイアンド）～ｐｒｏｍｉｓｅ～,06-6180-3224,06-6180-3234,534-0015,大阪府大阪市都島区善源寺町一丁目５番３７－１０３号　 ,株式会社ＭＯＥＩＧＨＴ,〇,2023/06/01,,,,,
2755220601,ＰＹＴ－ぴゅっと－,06-6167-8771,06-6167-8772,534-0016,大阪府大阪市都島区友渕町三丁目１番２９号　１階,株式会社はなまるグループ,,2023/04/01,,,,,
2755220346,うぇるふぇあアカデミー都島,06-6922-1802,06-6922-1803,534-0021,大阪府大阪市都島区都島本通一丁目１４番１６号　１階１号フロア,株式会社エースタイル,,2018/12/01,,,,,
2755220668,Ｐｅｒｃｈ,06-6167-6125,06-6167-6175,534-0021,大阪府大阪市都島区都島本通四丁目３番２２号１階　 ,株式会社はなまるグループ,,2024/04/01,,,,,
2755220569,といろ都島,06-7708-4414,06-7708-4414,534-0021,大阪府大阪市都島区都島本通三丁目２４番６号　２階,株式会社ＳＥＲＵＤＥＡＬ,,2022/04/01,,,,,
2755220064,都島児童デイサービス,06-6924-9991,06-6924-9991,534-0021,大阪府大阪市都島区都島本通三丁目２５番７号１１　 ,社会福祉法人都島友の会,,2014/04/01,,,,,
2755220544,放課後等デイサービス　らぷらす,06-6180-3478,06-6180-3457,534-0022,大阪府大阪市都島区都島中通一丁目１４番６号　１Ｆ,一般社団法人インディペンデンス,,2022/04/01,,,,,
2755220361,放課後等デイサービス　あすなろわかば,06-6167-7417,06-6167-7418,534-0022,大阪府大阪市都島区都島中通二丁目１８番４号　 ,株式会社誠幸,,2019/04/01,,,,,
2755220460,ここっと,06-6921-1055,06-6921-1077,534-0022,大阪府大阪市都島区都島中通二丁目１７番１４号　フルーレくにしま１階,日本療育機構株式会社,,2021/04/01,,,,,
2755220684,ここっとｎｉｃｏ,06-6180-5533,06-6180-5585,534-0022,大阪府大阪市都島区都島中通三丁目１７番６号　グランドゥーエ１０２号,日本療育機構株式会社,,2024/05/01,,,,,
2755220015,デイサービスほっと。,06-6929-1081,06-6929-1082,534-0022,大阪府大阪市都島区都島中通三丁目１７－６－３０１　 ,特定非営利活動法人　ほっと,,2012/04/01,,,,,
2755220189,ＬＩＴＡＬＩＣＯジュニア京橋教室,06-4800-3220,06-4800-3222,534-0024,大阪府大阪市都島区東野田町二丁目９番７号　Ｋ２ビル　８Ｆ,株式会社ＬＩＴＡＬＩＣＯパートナーズ,,2016/07/01,,,,,
2755220585,ここっと片町,06-6355-7011,06-6355-7022,534-0025,大阪府大阪市都島区片町一丁目９番３４号　アーバネックス大阪城北１階,日本療育機構株式会社,,2022/08/01,,,,,
2755220304,にじいろ,06-6353-6700,06-6535-6701,534-0026,大阪府大阪市都島区網島町１２番５号　シャンボール天満１０１,株式会社虹色,,2017/10/01,,,,,
2755220155,発達支援ルーム　ピースプラント３くみ,06-6809-3120,06-6809-3122,534-0027,大阪府大阪市都島区中野町四丁目９番５号　モリシタビル２、３階,株式会社ピースプラント,,2016/04/01,,,,,
2755220122,キッズスクール　ピース,06-4800-0530,06-4800-0531,534-0027,大阪府大阪市都島区中野町二丁目１５番２８号　ミッドガルド倉本１１１号室,株式会社エンパワーメント,,2015/09/01,,,,,
2755220296,にじいろキッズ,06-6948-6008,06-6948-6009,534-0027,大阪府大阪市都島区中野町二丁目１５番５号　朝日プラザ大宝１０７号,株式会社虹色,,2017/10/01,,,,,
2754120539,サークルトゥインクル都島,06-4301-4664,06-4301-4665,534-0027,大阪府大阪市都島区中野町一丁目２番１２号　カーサ弥生１０１号室,株式会社セカンドチャンス,,2021/12/01,,,,,
2755220387,放課後等デイサービスぴじょん,06-6360-9871,06-6360-9872,534-0027,大阪府大阪市都島区中野町三丁目１１番１号　安武ビル１Ｆ,株式会社リリーフエンタープライズ,,2019/04/01,,,,,
2755220437,はなまる桜ノ宮店,06-6232-8734,06-6232-8749,534-0027,大阪府大阪市都島区中野町四丁目９番９号　日宝ライフ桜宮１０７号室,株式会社はなまるグループ,,2020/04/01,,,,,
2755220478,ＷＯＮＤＥＲ,06-4309-6494,06-4309-6495,534-0027,大阪府大阪市都島区中野町四丁目２０番　アーベイン桜ノ宮駅前２号棟１０１,株式会社はなまるグループ,,2021/05/01,,,,,
2755220593,児童発達支援・放課後等デイサービス　Ｓｋｙ’ｓ　ｔｈｅ　Ｌｉｍｉｔ,06-6867-7711,06-6867-7712,534-0027,大阪府大阪市都島区中野町四丁目１７番１０号　ライフステージ桜ノ宮１階,合同会社Ｗｉｔｈｏｕｔ　Ｙｏｕ,〇,2022/10/01,,,,,
2755220650,ＡＫＩＤＳ桜宮,050-3154-0729,050-3161-8589,534-0027,大阪府大阪市都島区中野町五丁目１３番４号　コパンスポーツクラブ２Ｆ,株式会社日栄,,2024/02/01,,,,,
2755220635,放課後等デイサービス　ウィズ・ユーＸモンテツリー桜の宮,06-6882-4311,06-6882-4312,534-0027,大阪府大阪市都島区中野町三丁目１０番３２号　エクセレンス樹羅１階,株式会社コミニケ・ケアサービス,,2023/09/01,,,,,
2755220239,ＳＡＯＲＩ　ｈａｎｄｓ,06-6921-7822,06-6921-7833,534-0027,大阪府大阪市都島区中野町五丁目１３番４号　 ,特定非営利活動法人　さをりひろば,,2017/04/01,,,,,
2750200020,いるか,06-7177-8496,06-7177-8496,553-0001,大阪府大阪市福島区海老江三丁目２４番３号　 ,一般社団法人まりん,,2013/05/01,,,,,
2750200079,かすみ,06-6136-8601,06-6136-8602,553-0001,大阪府大阪市福島区海老江一丁目１１番２７号　 ,株式会社ワイズ,,2017/03/01,,,,,
2750200228,ワンスタット海老江,06-6147-8281,06-7635-7972,553-0001,大阪府大阪市福島区海老江六丁目７番１２号　ルミエール海老江Ⅱ１０１／２０２号室,ワンスタット株式会社,,2022/08/01,,,,,
2750200186,ひらめきスマイル海老江,06-7161-0447,06-7173-4130,553-0001,大阪府大阪市福島区海老江一丁目５番６９号　ライフビル２階,株式会社ＨＵＧＥ　ＳＭＩＬＥ,,2021/06/01,,,,,
2750200202,児童発達支援・放課後等デイサービス育海老江教室,06-6147-9765,06-6147-9765,553-0001,大阪府大阪市福島区海老江七丁目１７番１４号　ストークマンション野田阪神１０１号,有限会社秀英,,2021/12/01,,,,,
2750200335,発達支援ラボ　ＧＬＯＷ　ＵＰ,06-6147-8377,06-6147-8377,553-0001,大阪府大阪市福島区海老江二丁目１番３８号　ウェルネス３０１号室,合同会社Ｐｌａｙｆｕｌ　Ｓｔｅｐ　Ｐｌｕｓ,〇,2024/09/01,,,,,
2750200087,わくわくエジソン　ふくしま鷺洲教室,06-6453-8300,06-6453-8400,553-0002,大阪府大阪市福島区鷺洲五丁目３番１０号　寒川ビル１階,ユウビ・クリエイト　株式会社,,2017/04/01,,,,,
2750200160,Ｌａｕｌｅ’ａ　Ｋｉｄｓ,06-6450-8400,06-6450-8400,553-0002,大阪府大阪市福島区鷺洲二丁目７番１３号　１Ｆ,株式会社ラウレア,,2021/03/01,,,,,
2750200285,児童発達支援・放課後等デイサービス育鷺洲教室,06-6676-8076,06-6676-8076,553-0002,大阪府大阪市福島区鷺洲一丁目５番１３号　 ,有限会社秀英,,2023/08/01,,,,,
2750200277,ＳＡＩ＆（サイアンド）～ｗｉｓｈ～,06-6676-8212,06-6676-8213,553-0002,大阪府大阪市福島区鷺洲三丁目４番２号　 ,株式会社ＭＯＥＩＧＨＴ,〇,2023/06/01,,,,,
2750200301,Ｌａｕｌｅ’ａ　Ｋｉｄｓ　Ｊｕｎｉｏｒ,06-6450-8400,06-6450-8401,553-0002,大阪府大阪市福島区鷺洲二丁目７番１３号　２Ｆ,特定非営利活動法人関西ジュニアスポーツ協議会,,2024/01/01,,,,,
2750200061,わくわくエジソン　福島教室,06-6454-0172,06-6454-0173,553-0003,大阪府大阪市福島区福島六丁目３番９号　竹内ビル２階,ユウビ・クリエイト　株式会社,,2015/05/01,,,,,
2750200236,ｎａｒｅｌｕ福島駅前,06-6476-8359,06-6476-8369,553-0003,大阪府大阪市福島区福島七丁目１４番１９号　２階,株式会社オーシャンサービス,,2022/08/01,,,,,
2750200210,Ｌａｕｌｅ’ａ　Ｋｉｄｓ　Ｈｏｕｓｅ,06-6450-8400,06-6450-8400,553-0003,大阪府大阪市福島区福島五丁目１５番１６号　 ,株式会社ラウレア,,2022/04/01,,,,,
2750200269,プロッツジュニア福島教室,06-6131-8369,06-7635-7813,553-0003,大阪府大阪市福島区福島七丁目１４番２０号　大阪みづほビル６階,株式会社プロッツ,,2023/02/01,,,,,
2750200046,Ｍｅｌｏｄｙｓａｌｏｎ　ｄｅ　ＣＯＤＯＭＯＤＵＳ,06-6454-1815,06-6454-1815,553-0003,大阪府大阪市福島区福島八丁目１７番１号　ＧＴ福島ビル　５階,特定非営利活動法人　ラマモンソレイユ,,2014/05/01,,,,,
2750200137,エールたまがわ,06-7508-2482,06-7508-2482,553-0004,大阪府大阪市福島区玉川二丁目１１番２０号　 ,株式会社ｔぷらす,,2020/04/01,,,,,
2750200343,ままはぐ大阪福島事業所,06-6476-8343,06-6476-8344,553-0004,大阪府大阪市福島区玉川四丁目５番２２号　メルヴェイユ玉川１階,株式会社光花,〇,2024/12/01,,,,,
2750200038,児童デイサービス　ぽっぽっぽ,06-6147-7604,06-6147-7604,553-0006,大阪府大阪市福島区吉野五丁目５番１４号　 ,株式会社　ぽっぽっぽ,,2014/04/01,,,,,
2750200111,放課後等デイサービス　スマイルふくしま,06-6485-8564,06-6476-9259,553-0006,大阪府大阪市福島区吉野二丁目２番１７号　 ,株式会社藤コーポレーション,,2018/09/01,,,,,
2754120513,ステップスマイルのだ,070-1303-2656,06-6476-8976,553-0006,大阪府大阪市福島区吉野一丁目２１番７号　 ,株式会社藤コーポレーション,,2021/09/01,,,,,
2750200152,スタディスマイル野田阪神,06-7171-5861,06-6476-9259,553-0006,大阪府大阪市福島区吉野二丁目１４番４号　窪田ビル３階,株式会社ＨＵＧＥ　ＳＭＩＬＥ,,2020/12/01,,,,,
2750200319,Ｔｏｙｓ’,06-6459-1012,06-6459-1013,553-0006,大阪府大阪市福島区吉野一丁目１６番１１－２０３号　 ,株式会社Ｔ－Ｌｉｎｋ,,2024/06/01,,,,,
2750200012,発達支援ルーム　フォルテ,06-6464-5318,06-6464-5318,553-0006,大阪府大阪市福島区吉野三丁目２番３２号　 ,特定非営利活動法人発達支援ルーム　フォルテ,,2013/10/01,,,,,
2750200251,えがお　福島区店,06-6466-2266,06-6466-2267,553-0006,大阪府大阪市福島区吉野五丁目１４番８号　２階,特定非営利活動法人みらい,,2023/01/01,,,,,
2752800090,はのはのＳｔｕｄｙ,06-6940-7111,06-6940-7111,554-0001,大阪府大阪市此花区高見一丁目４番５４－１０１号　高見フローラルタウン四番街,ツインリーブス合同会社,,2017/06/01,,,,,
2752800181,児童発達支援・放課後等デイサービス　あずき,06-6940-7951,06-6940-7952,554-0001,大阪府大阪市此花区高見三丁目１８番１８号　 ,株式会社マリポサ,,2023/07/01,,,,,
2752800017,デイ・サポート　アイリー,06-6136-3609,06-6461-3131,554-0002,大阪府大阪市此花区伝法四丁目２番４１号　 ,株式会社　イワオラジオ商会,,2013/05/01,,,,,
2752800041,あをん千鳥橋,06-6147-5109,06-6147-5109,554-0002,大阪府大阪市此花区伝法一丁目１番　千鳥橋ＵＲ住宅１号棟１０５号,ツインリーブス合同会社,,2015/10/01,,,,,
2752800074,うーるー伝法,06-6136-8073,06-6136-8073,554-0002,大阪府大阪市此花区伝法六丁目３番　伝法団地２号棟１１３号,ツインリーブス合同会社,,2016/07/01,,,,,
2752800066,放課後等デイサービス　スマイルこのはな,06-7174-5981,06-6476-9259,554-0012,大阪府大阪市此花区西九条一丁目１０番４１号　アシスト西九条ビル１階,株式会社藤コーポレーション,,2016/05/01,,,,,
2752800108,スタディスマイル西九条,06-7182-6591,06-7178-7796,554-0012,大阪府大阪市此花区西九条一丁目１０番４１号　アシスト西九条ビル２階,株式会社ＨＵＧＥ　ＳＭＩＬＥ,,2019/12/01,,,,,
2752800165,スタディスマイルきっず,06-6743-4347,06-6743-4357,554-0012,大阪府大阪市此花区西九条三丁目１２番１３号　コンフォールＭ１階,株式会社ＨＵＧＥ　ＳＭＩＬＥ,,2022/10/01,,,,,
2752800132,マイステージひまわり西九条,06-6867-9765,06-6867-9766,554-0012,大阪府大阪市此花区西九条二丁目４番３号　レクシア西九条１階,株式会社２ｎｄ　Ｓｔｅｐ,,2021/10/01,,,,,
2752800140,楽童　りずむ,06-6464-1212,06-6464-1210,554-0013,大阪府大阪市此花区梅香三丁目２０番１６号　 ,ＮＰＯ法人ＭＵＡ未来,,2021/10/01,,,,,
2752800058,Ａｍｉ,06-6463-7171,06-6463-7170,554-0021,大阪府大阪市此花区春日出北一丁目７番１９号　 ,有限会社　ひまわり,,2016/04/01,,,,,
2752800207,児童発達支援・放課後等デイサービスｎｉｃｏ,06-6147-8997,06-6147-5773,554-0024,大阪府大阪市此花区島屋二丁目２番１号　 ,ＯＴＴＯ合同会社,,2023/12/01,,,,,
2752800173,放課後等デイサービス　カンガルーのポッケ,06-4256-6043,06-4256-7029,554-0024,大阪府大阪市此花区島屋三丁目９番２２号　 ,合同会社カンガルーのポッケ,,2022/12/01,,,,,
2752800033,アロ此花,06-6225-7893,06-6225-7894,554-0051,大阪府大阪市此花区酉島六丁目８番４号　 ,有限会社　ひまわり,,2015/01/01,,,,,
2759400415,児童デイサービスｋｅｉ,06-6943-1101,06-6943-1102,540-0003,大阪府大阪市中央区森ノ宮中央二丁目１２番１２号　 ,株式会社Ｋ－ｓｔｙｌｅ,,2021/03/01,,,,,
2759400563,ＡＫＩＤＳもりのみや,06-7777-5252,06-7777-5250,540-0003,大阪府大阪市中央区森ノ宮中央二丁目１番７０号　もりのみやキューズモールＢＡＳＥ,株式会社日栄,,2023/03/01,,,,,
2759400050,元気ッズ！,06-4305-7120,06-4305-7121,540-0004,大阪府大阪市中央区玉造二丁目４番１３号　上町ロングピア１階Ｂ室,株式会社ドムスミノサ,,2014/01/01,,,,,
2759400399,すたぁりっとジュニア　森ノ宮,06-6777-3092,06-6777-3093,540-0004,大阪府大阪市中央区玉造一丁目１９番２１号　 ,株式会社シーアイ・パートナーズ,,2020/12/01,,,,,
2759400381,Ｋｉｄｓ　Ｌａｂｏぽんて玉造,06-4305-7018,06-4305-7019,540-0004,大阪府大阪市中央区玉造一丁目１３番４号　小林ビル８０１,株式会社Ｋｉｄｓ　Ｌａｂｏ１２３,,2020/10/01,,,,,
2759400639,ａｍｉｃｏ玉造教室,06-4302-4511, ,540-0004,大阪府大阪市中央区玉造一丁目１４番２号　玉造ドリームビル４階,合同会社ａｍｉｃｏ,,2024/05/01,,,,,
