事業所番号,事業所名称,事業所電話番号,事業所FAX番号,事業所郵便番号,事業所所在地,法人名称,法人電話番号,法人FAX番号,法人郵便番号,法人主たる事務所所在地
2712401625,ワークショップ虹,072-848-8924,072-848-8911,573-1187,大阪府枚方市磯島元町２１番１０号　,社会福祉法人であい共生舎,072-848-8924,072-848-8911,573-1187,大阪府枚方市磯島元町２１番１０号　
2712401666,かけはし,072-854-8688,072-380-6738,573-0082,大阪府枚方市茄子作東町３６番１号　,特定非営利活動法人かけはし,072-854-8688,072-380-6738,573-0082,大阪府枚方市茄子作東町３６番１号　
2712401757,枚方総合発達医療センター生活介護事業所,072-858-0373,072-858-9521,573-0122,大阪府枚方市津田東町二丁目１番１号　,社会福祉法人枚方療育園,072-858-0373,072-858-9321,573-0122,大阪府枚方市津田東町二丁目１番１号　
2712401773,わお,072-845-4360,072-845-4360,573-1142,大阪府枚方市牧野下島町１２番１４号　プランドール牧野駅前１階,特定非営利活動法人枚方市障害者事業協会,072-808-6576,072-808-6579,573-1122,大阪府枚方市西船橋二丁目４７－８（１階１０２号）　
2712401807,Ｈａｒｕかぐまち,072-380-2364,072-380-4056,573-0102,大阪府枚方市長尾家具町二丁目５－１３　,社会福祉法人わらしべ会,072-850-5507,072-855-5527,573-0103,大阪府枚方市長尾荒阪二丁目３５４５　
2712401856,ぶりりあん,072-845-6129,072-845-6179,573-1164,大阪府枚方市須山町４１番１６号　,特定非営利活動法人やごの家,072-845-6129,072-845-6179,567-0852,大阪府茨木市小柳町１０番２０号　
2712401955,障がい者生活介護御殿山カーム,072-890-0080,072-890-0081,573-1178,大阪府枚方市渚西２丁目７番３０号　 ,社会福祉法人大潤会,072-890-0010,072-890-0012,573-1178,大阪府枚方市渚西一丁目２４番１号　
2712401989,ハッピーガーデン,072-859-8555,072-807-8535,573-0122,大阪府枚方市津田東町三丁目２７番１号　 ,社会福祉法人わらしべ会,072-850-5507,072-855-5527,573-0103,大阪府枚方市長尾荒阪二丁目３５４５　
2712402151,オランジュ,072-807-8945,072-807-8946,573-1116,大阪府枚方市船橋本町二丁目４９番１号　 ,特定非営利活動法人じゅえる,072-858-5632,072-858-3332,573-1116,大阪府枚方市船橋本町二丁目４９番地の１　
2712402243,山之上のかけはし,072-846-7798,072-894-8398,573-0049,大阪府枚方市山之上北町５番１号　 ,株式会社かけはし,072-846-7798,072-894-8398,573-0049,大阪府枚方市山之上北町５番１号　
2712402276,泉学園,072-844-0152,072-844-0153,573-0027,大阪府枚方市大垣内町二丁目９番１９号　 ,一般社団法人泉学園,072-844-0152,072-844-0153,573-0027,大阪府枚方市大垣内町二丁目９番１９号　
2712402482,ｂｏｎワークス枚方,072-866-1237,072-866-1238,573-0171,大阪府枚方市北山１丁目６７－６　 ,合同会社オフィスぼん,06-4394-7601,06-4394-7003,550-0014,大阪府大阪市西区北堀江三丁目１２－３１　ウエストリヴィエール２０３
2712402680,障がい者生活介護めぐりカーム,072-805-3009,072-805-0082,573-1147,大阪府枚方市渚内野一丁目１４番１１号　 ,社会福祉法人大潤会,072-890-0010,072-890-0012,573-1178,大阪府枚方市渚西一丁目２４番１号　
2712402714,生活介護ココロステッキ,072-858-0507,072-858-2803,573-0145,大阪府枚方市大峰南町２２番５号　 ,株式会社バンフ,072-858-0506,072-858-2803,573-0145,大阪府枚方市大峰南町２２番５号　
2712403084,アンダンテ,072-896-9373,072-841-1130,573-0047,大阪府枚方市山之上一丁目１９番１０号　 ,社会福祉法人大阪肢体不自由児者父母の会連合会,072-841-1114,072-841-1130,573-0047,大阪府枚方市山之上一丁目１９番１０号　
2712403217,スマイルゲート枚方,072-807-7820,072-807-7821,573-0013,大阪府枚方市星丘三丁目１番１５号　プラ・ディオ星丘１階,株式会社スマイルゲートパートナーズ,078-261-8787,078-261-8700,573-1106,大阪府枚方市町楠葉一丁目３番９号　
2712403308,ぐっどケアＭａ－Ｎａ,072-808-2233,072-808-0911,573-0127,大阪府枚方市津田元町二丁目５４番５号　 ,ぐっどケア有限会社,072-808-0910,072-808-0911,573-0127,大阪府枚方市津田元町二丁目５４番５号　
2712403340,ミルキーウェイ,072-867-5690,072-867-2430,573-0103,大阪府枚方市長尾荒阪一丁目２８２７番７　 ,社会福祉法人松樹会,072-898-2197,072-898-2076,573-1161,大阪府枚方市交北二丁目１０番１号　
2712403365,デイサービスセンターひびき,072-861-1515,072-861-1400,573-0036,大阪府枚方市伊加賀北町７番８９号　 ,株式会社ｒｅｌｉａｂｌｅ,0120-022-686,0532-41-6867,363-0018,埼玉県桶川市坂田西一丁目８番地３　
2712403571,ひらかたくすの木,072-858-7353,072-858-2182,573-0122,大阪府枚方市津田東町二丁目３５番５号　 ,社会福祉法人花の会,072-692-2859,072-693-3630,569-1042,大阪府高槻市南平台三丁目２９番９号　
2712403589,生活介護事業所青い鳥,072-800-1436,072-800-1438,573-0102,大阪府枚方市長尾家具町一丁目７－１０－１０２　 ,一般社団法人豊潤会,072-800-1436,072-800-1438,573-0116,大阪府枚方市杉責谷一丁目５７０番地の６　
2712403613,クオリアすずらん,072-802-3207,072-802-3208,573-0093,大阪府枚方市東中振二丁目１１番１２号　ローズマンション’８８　２Ｆ１０３・１０４,株式会社エターナルライト,072-804-3036,072-804-3037,573-0032,大阪府枚方市岡東町２２番９号２Ｆ　
2712403761,ミント,072-808-6401,072-808-6401,573-0165,大阪府枚方市山田池東町２１番２号　フロリアートＢ棟１階,株式会社よつば,072-380-8298,,573-0102,大阪府枚方市長尾家具町五丁目１２番１号　
2712404066,生活介護いろどり,072-858-2203,072-858-2204,573-0145,大阪府枚方市大峰南町１５番１８号　 ,合同会社みんなのいろ,090-8214-3177,,576-0031,大阪府交野市森南三丁目９番１３号　
2712404223,れもん,072-894-7637,072-894-7638,573-1141,大阪府枚方市養父西町２７番３５号　 ,Ｆｉｒｓｔｍｏｏｎ株式会社,072-857-5302,072-857-5302,573-1126,大阪府枚方市上島東町２０番４号　
2712404314,生活介護さくらいろ,072-807-8686,072-845-4072,573-0127,大阪府枚方市津田元町一丁目１５番５号１０２号室　 ,株式会社さくらいろ,072-845-4071,072-845-4072,573-0127,大阪府枚方市津田元町一丁目１５番５号　
2712404389,生活介護事業所ＯｚＵ,072-894-7694,072-894-7695,573-0022,大阪府枚方市宮之阪四丁目１７番３８号　　１階,株式会社ＯｚＵ,072-894-7694,072-894-7695,573-0022,大阪府枚方市宮之阪四丁目１７番３８号　
2712404637,こどもテラス香里ケ丘,072-845-5986,072-845-5986,573-0084,大阪府枚方市香里ケ丘十二丁目２２番２２号　 ,株式会社くらし企画,072-852-0006,072-852-0006,573-0073,大阪府枚方市高田二丁目２０番１７号　
2712404645,若葉デイサービス,072-894-7580,072-894-7581,573-1128,大阪府枚方市樋之上町７番８号　 ,株式会社若葉,072-894-7362,072-894-7362,573-1127,大阪府枚方市上島町１７番２８号　
2712404736,はあとせれじ～,072-866-8001,072-866-8001,573-0102,大阪府枚方市長尾家具町二丁目１６番５５号　 ,株式会社癒笑健明,072-866-8001,072-866-8001,614-8271,京都府八幡市美濃山ヒル塚２５番地の６５　
2712404751,こどもテラス,072-853-2280,072-853-2280,573-0081,大阪府枚方市釈尊寺町２５番釈尊寺第２団地３１棟１０２号　 ,株式会社くらし企画,072-852-0006,072-852-0006,573-0073,大阪府枚方市高田二丁目２０番１７号　
2712404769,こどもテラス２,072-852-0102,072-852-0102,573-0081,大阪府枚方市釈尊寺町２５番釈尊寺第２団地３１棟１０２号　 ,株式会社くらし企画,072-852-0006,072-852-0006,573-0073,大阪府枚方市高田二丁目２０番１７号　
2742400019,わたしの家,072-898-2332,072-898-2332,573-1164,大阪府枚方市須山町３８番１８号　 ,有限会社わたしの家すやま,072-840-1789,072-800-1244,573-1164,大阪府枚方市須山町４３番１６号　
2742400027,デイサービスセンターしらかば,072-849-1146,072-849-1268,573-0003,大阪府枚方市出屋敷西町二丁目１番１号　,社会福祉法人みすず福祉会,072-849-1146,072-849-1268,573-0003,大阪府枚方市出屋敷西町二丁目１番１号　
2742400035,デイサービスセンターかがやき,072-861-3330,072-861-3331,573-0036,大阪府枚方市伊加賀北町４－３　,有限会社在宅介護支援センター輝,072-861-3330,072-861-3331,573-0036,大阪府枚方市伊加賀北町４番３号　
2742400050,枚方市立デイサービスセンター,072-851-9200,072-851-9202,573-1161,大阪府枚方市交北三丁目１番５２号　,社会福祉法人大阪府母子寡婦福祉連合会,06-6748-0263,06-6748-0264,573-1161,大阪府枚方市交北三丁目１番５０号　
2742400068,枚方市立くずは北デイサービスセンター,072-866-5091,072-866-5097,573-1103,大阪府枚方市楠葉野田３－１２－３　,社会福祉法人大阪府母子寡婦福祉連合会,06-6748-0263,06-6748-0264,573-1161,大阪府枚方市交北三丁目１番５０号　
2742400076,里仁館身体障害者デイサービスセンター,072-856-6565,072-856-8588,573-0001,大阪府枚方市田口山２－５－１　,社会福祉法人徳風会,072-856-5005,072-856-8545,573-0001,大阪府枚方市田口山二丁目５番１号　
2742400092,アシュラー,072-844-3633,072-844-5710,573-0051,大阪府枚方市三矢町２番１０号　,株式会社ケアライフ,072-844-3633,072-844-5710,573-0051,大阪府枚方市三矢町２番１０号　
2742400118,さかのデイサービスセンターほほえみ,072-805-5877,072-805-5878,573-1168,大阪府枚方市甲斐田東町３４番３３号　 ,医療法人昭征会,072-848-2000,072-848-8743,573-1196,大阪府枚方市中宮本町４番５号　
2742400126,スバルガーデン,072-861-5300,072-844-1710,573-0051,大阪府枚方市三矢町６番１２号　 ,株式会社ケアライフ,072-844-3633,072-844-5710,573-0051,大阪府枚方市三矢町２番１０号　
2742400134,ナビ,072-804-4188,072-804-4178,573-0051,大阪府枚方市三矢町２番４－１号　 ,株式会社ケアライフ,072-844-3633,072-844-5710,573-0051,大阪府枚方市三矢町２番１０号　
2742400142,アミーゴ,072-804-3436,072-804-3436,573-0031,大阪府枚方市岡本町８番１２号　 ,特定非営利活動法人ベルビー,072-804-3435,072-804-3448,573-0051,大阪府枚方市三矢町２番１０号　
2742400159,フーライ,072-804-3439,072-804-3470,573-0057,大阪府枚方市堤町１番２号　 ,特定非営利活動法人ベルビー,072-804-3435,072-804-3448,573-0051,大阪府枚方市三矢町２番１０号　
2742400167,デイサービスセンター御殿山カーム,072-890-0600,072-890-0601,573-1178,大阪府枚方市渚西二丁目７番３０号　 ,社会福祉法人大潤会,072-890-0010,072-890-0012,573-1178,大阪府枚方市渚西一丁目２４番１号　
2742400183,デイサービスセンターれん,072-848-4754,072-848-4754,573-0016,大阪府枚方市村野本町１０番９７号　 ,合同会社蓮,072-848-4754,072-848-4754,573-0016,大阪府枚方市村野本町１０番９７号　
2742400209,枚方市立総合福祉会館デイサービスセンター,072-845-1701,072-845-1680,573-1191,大阪府枚方市新町二丁目１番３５号　 ,社会福祉法人大阪府母子寡婦福祉連合会,06-6748-0263,06-6748-0264,573-1161,大阪府枚方市交北三丁目１番５０号　
2712401922,あんずシード,072-851-6565,072-851-6567,573-1105,大阪府枚方市南楠葉１丁目３０番１－４Ｆ号　 ,株式会社ワンズアンカー,072-851-6606,072-851-6607,573-1145,大阪府枚方市黄金野一丁目４番５－３０４号　
2712403597,Ｃｏｃｏ　Ｃｏｌｏｒ,072-808-8494,072-808-8493,573-1171,大阪府枚方市三栗一丁目１－１４　ＳＵＮＳＵＭＡＩ三栗１階,一般社団法人ここ・から,072-841-3558,072-841-3559,573-0027,大阪府枚方市大垣内町二丁目１７番３号　
2742400027,デイサービスセンターしらかば,072-849-1146,072-849-1268,573-0003,大阪府枚方市出屋敷西町二丁目１番１号　,社会福祉法人みすず福祉会,072-849-1146,072-849-1268,573-0003,大阪府枚方市出屋敷西町二丁目１番１号　
2742400050,枚方市立デイサービスセンター,072-851-9200,072-851-9202,573-1161,大阪府枚方市交北三丁目１番５２号　,社会福祉法人大阪府母子寡婦福祉連合会,06-6748-0263,06-6748-0264,573-1161,大阪府枚方市交北三丁目１番５０号　
2742400068,枚方市立くずは北デイサービスセンター,072-866-5091,072-866-5097,573-1103,大阪府枚方市楠葉野田３－１２－３　,社会福祉法人大阪府母子寡婦福祉連合会,06-6748-0263,06-6748-0264,573-1161,大阪府枚方市交北三丁目１番５０号　
2742400076,里仁館身体障害者デイサービスセンター,072-856-6565,072-856-8588,573-0001,大阪府枚方市田口山２－５－１　,社会福祉法人徳風会,072-856-5005,072-856-8545,573-0001,大阪府枚方市田口山二丁目５番１号　
2742400209,枚方市立総合福祉会館デイサービスセンター,072-845-1701,072-845-1680,573-1191,大阪府枚方市新町二丁目１番３５号　 ,社会福祉法人大阪府母子寡婦福祉連合会,06-6748-0263,06-6748-0264,573-1161,大阪府枚方市交北三丁目１番５０号　
2712401013,ぱぴるす,072-859-0245,072-859-2310,573-0112,大阪府枚方市大字尊延寺２２００番地　,社会福祉法人やなぎの里,072-859-0245,072-859-2310,573-0112,大阪府枚方市大字尊延寺２２００番地　
2712401245,イーウィット,072-813-3682,072-845-5546,573-0153,大阪府枚方市藤阪東町四丁目６番５号　パークヒルズ５０１号,社会福祉法人わらしべ会,072-850-5507,072-855-5527,573-0103,大阪府枚方市長尾荒阪二丁目３５４５　
2712401641,ＬＩＴＡＬＩＣＯワークス枚方,072-804-9009,072-804-9008,573-0032,大阪府枚方市岡東町１２番１号　ひらかたサンプラザ１号館５階５０５・５０６号室,株式会社ＬＩＴＡＬＩＣＯパートナーズ,03-5704-7355,03-5704-7356,153-0051,東京都目黒区上目黒二丁目１番１号　
2712401922,あんずシード,072-851-6565,072-851-6567,573-1105,大阪府枚方市南楠葉１丁目３０番１－４Ｆ号　 ,株式会社ワンズアンカー,072-851-6606,072-851-6607,573-1145,大阪府枚方市黄金野一丁目４番５－３０４号　
2712402722,ラ・レコルト枚方,072-861-5101,072-861-5102,573-0027,大阪府枚方市大垣内町二丁目８－２２　シンエービル２階,株式会社三典,075-643-5700,075-643-5698,612-8429,京都府京都市伏見区竹田西段川原町８９番地　
2712403183,ディーキャリア枚方駅前オフィス,072-807-8277,072-807-8275,573-0027,大阪府枚方市大垣内町二丁目１０番４号　宮村第３ビル４階,株式会社ジョイナス,075-494-2533,075-494-2535,603-8408,京都府京都市北区大宮北椿原町４５番地２階　
2712403332,あゆみ歩,072-836-0888,072-807-5554,573-0163,大阪府枚方市長尾元町五丁目２１番６号　長栄ビル３階,合同会社あゆみ,072-836-0888,072-836-0888,573-0163,大阪府枚方市長尾元町五丁目２１番６号　長栄ビル３階
2712403373,パン工房ラビット,072-847-3344,072-847-0506,573-1164,大阪府枚方市須山町６０番１２号　 ,一般社団法人エバーグリーン,072-847-3344,072-847-0506,573-1164,大阪府枚方市須山町６０番１２号　
2712403597,Ｃｏｃｏ　Ｃｏｌｏｒ,072-808-8494,072-808-8493,573-1171,大阪府枚方市三栗一丁目１－１４　ＳＵＮＳＵＭＡＩ三栗１階,一般社団法人ここ・から,072-841-3558,072-841-3559,573-0027,大阪府枚方市大垣内町二丁目１７番３号　
2712403910,ＬＩＴＡＬＩＣＯワークス枚方第２,072-861-5240,072-861-5241,573-0032,大阪府枚方市岡東町１８－１５　キューブ枚方駅前２Ｆ,株式会社ＬＩＴＡＬＩＣＯパートナーズ,03-5704-7355,03-5704-7356,153-0051,東京都目黒区上目黒二丁目１番１号　
2712404157,ＬＩＡ未来学園枚方校,072-894-7650,072-894-7651,573-1127,大阪府枚方市上島町２番５号　ＧＡＬＡ枚方ビル３階,フューチャープロジェクト株式会社,072-894-7650,072-894-7651,573-1111,大阪府枚方市楠葉朝日一丁目１５番２９号　
2712404181,就労移行支援事業所ＣＯＮＮＥＣＴ枚方,072-808-8185,072-808-8186,573-0032,大阪府枚方市岡東町１２番１号　ひらかたサンプラザ１号館６０１号室,株式会社ｍｏｏｂｌｅ,06-6341-0661,06-6341-0664,530-0002,大阪府大阪市北区曽根崎新地二丁目３番１３号　
2712404439,ｈｕｇｈｕｇ津田,072-858-2777,072-858-2777,573-0126,大阪府枚方市津田西町一丁目１６番４号　 ,株式会社ｆａｉｒｖｉｅｗ,090-3841-7452,,573-1144,大阪府枚方市牧野本町二丁目１９番２号　
2712404611,ＣＯＮＮＥＣＴ枚方第２,072-807-8603,072-807-8604,573-0032,大阪府枚方市岡東町１２番１号　ひらかたサンプラザ１号館４０４Ａ号室,株式会社ｍｏｏｂｌｅ,06-6341-0661,06-6341-0664,530-0002,大阪府大阪市北区曽根崎新地二丁目３番１３号　
2712404777,ウェルビー枚方市駅前センター,072-896-7401,072-896-7402,573-0031,大阪府枚方市岡本町１０番３３号　リス・ブラン岡本町１階,ウェルビー株式会社,03-6268-9542,03-6268-9543,104-0061,東京都中央区銀座二丁目３番６号　
2712400783,ひらかた・にじ福祉工場,072-864-1055,072-864-1022,573-1154,大阪府枚方市招提東町二丁目３番１号　,社会福祉法人であい共生舎,072-848-8924,072-848-8911,573-1187,大阪府枚方市磯島元町２１番１０号　
2712402524,いまここテラス,072-808-6608,072-808-6609,573-0027,大阪府枚方市大垣内町二丁目１７番３号　大垣内御浜ビル　３Ｆ,株式会社いま・ここ,072-841-3558,072-841-3559,573-0027,大阪府枚方市大垣内町二丁目１７番３号　
2712402573,いまここテラスくずは,072-800-1395,072-800-1396,573-1118,大阪府枚方市楠葉並木２－１３－８　ビスタシオンシマダ２階,株式会社いま・ここ,072-841-3558,072-841-3559,573-0027,大阪府枚方市大垣内町二丁目１７番３号　
2712402649,健美道枚方,072-845-4937,072-845-4938,573-0036,大阪府枚方市伊加賀北町７番８９号　 ,有限会社ファミリータイズ,06-6974-6666,06-6974-6667,537-0012,大阪府大阪市東成区大今里３丁目２０番２２号　２階
2712402896,ステップライフ,072-807-4643,072-807-4665,573-0053,大阪府枚方市伊加賀南町２番８号　 ,倉家株式会社,072-807-4643,072-807-4665,573-0053,大阪府枚方市伊加賀南町２番８号　
2712403548,ワークサポート枚方,072-859-8822,072-808-5556,573-0128,大阪府枚方市津田山手二丁目１８番１号　 ,株式会社Ｓａｍｖｅｒｋａｎ,072-859-8822,072-808-5556,573-0128,大阪府枚方市津田山手二丁目１８番１号　
2712403688,ｈｕｇｈｕｇ,072-845-6235,072-845-6250,573-1144,大阪府枚方市牧野本町二丁目１９番２号　長村ビル１０１,株式会社ｆａｉｒｖｉｅｗ,090-3841-7452,,573-1144,大阪府枚方市牧野本町二丁目１９番２号　
2712403753,リベラルワークス,070-4088-5712, ,573-0094,大阪府枚方市南中振一丁目１番２８号　 ,合同会社リベラル,070-4088-5712,,573-0094,大阪府枚方市南中振一丁目１番２８号　
2712404140,ウェルジョイ,072-847-2030,072-847-2031,573-1192,大阪府枚方市西禁野二丁目２番２６号　第二黒川ビル２階,株式会社ｗｅｌｊｏｙ,072-820-3188,072-820-3189,567-0046,大阪府茨木市南春日丘六丁目５番１７号　
2712404355,フューチャーライト,072-859-2526,072-859-2527,573-0126,大阪府枚方市津田西町三丁目１８番８号２階　 ,有限会社プロ・フィッツ,06-6167-5145,06-6167-5154,538-0054,大阪府大阪市鶴見区緑一丁目７番５号　カーサエクリオ１０３
2712404413,ｗｉｔｈ　ｐｌｕｓ,072-894-9522,072-894-9523,573-0127,大阪府枚方市津田元町一丁目１５番５号　アルコープ岡本２０３号,株式会社ｗｉｔｈ,080-8517-0037,,571-0046,大阪府門真市本町２８番１７号　
2712404439,ｈｕｇｈｕｇ津田,072-858-2777,072-858-2777,573-0126,大阪府枚方市津田西町一丁目１６番４号　 ,株式会社ｆａｉｒｖｉｅｗ,090-3841-7452,,573-1144,大阪府枚方市牧野本町二丁目１９番２号　
2712400759,清水園,072-896-1600,072-896-0610,573-0123,大阪府枚方市大字津田８７３番地２　,社会福祉法人高潤会,072-849-1000,072-849-1010,573-1188,大阪府枚方市磯島北町２９番１５号　
2712400783,ひらかた・にじ福祉工場,072-864-1055,072-864-1022,573-1154,大阪府枚方市招提東町二丁目３番１号　,社会福祉法人であい共生舎,072-848-8924,072-848-8911,573-1187,大阪府枚方市磯島元町２１番１０号　
2712400809,ワークショップちゃぶ,072-809-0118,072-809-0118,573-1161,大阪府枚方市交北二丁目７番１５号　,特定非営利活動法人陽だまりの会,072-809-0015,072-809-0015,573-1161,大阪府枚方市交北二丁目７番１５号　
2712400841,さくら事業所,072-847-5029,072-847-5034,573-0022,大阪府枚方市宮之阪三丁目６番３号１０１　,社会福祉法人宝桜会,072-847-5029,072-847-5034,573-0022,大阪府枚方市宮之阪三丁目６番３号１０１　
2712400890,ぱうんどケーキ村,072-841-1515,072-841-1515,573-0047,大阪府枚方市山之上四丁目５番４号　,社会福祉法人フォレスト倶楽部,072-841-1515,072-841-1515,573-0047,大阪府枚方市山之上四丁目５番４号　
2712400908,心学塾作業所,072-859-9194,072-859-9195,573-0146,大阪府枚方市大峰元町一丁目２１番５号　,社会福祉法人心愛,072-859-9194,072-859-9195,573-0146,大阪府枚方市大峰元町一丁目２１番５号　
2712400916,クッキー工房おれんじはうす,072-856-8378,072-856-8379,573-1161,大阪府枚方市交北三丁目３番１０号　,社会福祉法人おれんじ会,072-856-8378,072-856-8378,573-1161,大阪府枚方市交北三丁目３番１０号　
2712400924,出屋敷の里,072-848-2611,072-848-2711,573-0003,大阪府枚方市出屋敷西町二丁目２０番８号　,社会福祉法人きくのか福祉会,072-848-2611,072-848-2711,573-0003,大阪府枚方市出屋敷西町二丁目２０番８号　
2712401013,ぱぴるす,072-859-0245,072-859-0245,573-0112,大阪府枚方市大字尊延寺２２００番地　,社会福祉法人やなぎの里,072-859-0245,072-859-2310,573-0112,大阪府枚方市大字尊延寺２２００番地　
2712401021,やなぎ工房,072-848-1339,072-848-1339,573-1196,大阪府枚方市中宮本町４番２５号　 ,社会福祉法人やなぎの里,072-859-0245,072-859-2310,573-0112,大阪府枚方市大字尊延寺２２００番地　
2712401245,アトラクト,072-845-5541,072-845-5546,573-0153,大阪府枚方市藤阪東町四丁目６番５号　パークヒルズ５０１号,社会福祉法人わらしべ会,072-850-5507,072-855-5527,573-0103,大阪府枚方市長尾荒阪二丁目３５４５　
2712401260,マイウェイひらかたワーク草笛,072-808-2031,072-808-2032,573-0155,大阪府枚方市藤阪天神町３番１号　,社会福祉法人マイウェイ福祉の会,0721-90-3500,0721-90-3501,585-0014,大阪府南河内郡河南町大字白木１０３３番地４　
2712401351,とくふうホーム,072-858-4058,072-858-4061,573-0112,大阪府枚方市大字尊延寺４５９２番２４　,社会福祉法人徳風会,072-856-5005,072-856-8545,573-0001,大阪府枚方市田口山二丁目５番１号　
2712401369,パインスター,072-896-0301,072-896-0301,573-0117,大阪府枚方市大字杉４６０７番７４号　,社会福祉法人枚方福祉の会,072-896-0301,072-896-0301,573-0117,大阪府枚方市大字杉４６０７番７４号　
2712401377,キッズ枚方コミュニケーションズ,072-861-6360,072-861-6361,573-0057,大阪府枚方市堤町２番１－１０３号　,特定非営利活動法人キッズＭ,072-861-6360,072-861-6361,573-0057,大阪府枚方市堤町２番１－１０３号　
2712401583,ハウスゆう,072-848-7640,072-848-7640,573-0011,大阪府枚方市中宮山戸町７番２３号　,社会福祉法人やなぎの里,072-859-0245,072-859-2310,573-0112,大阪府枚方市大字尊延寺２２００番地　
2712401658,セルプわらしべ,072-858-1425,072-858-9398,573-0154,大阪府枚方市王仁公園２番２号　,社会福祉法人わらしべ会,072-850-5507,072-855-5527,573-0103,大阪府枚方市長尾荒阪二丁目３５４５　
