自立訓練（生活訓練）,,,,,,,,,,,,,,
事業所番号,事業所名称,事業所電話番号,事業所FAX番号,事業所郵便番号,事業所所在地,法人名称,主たる対象者：知的,主たる対象者：精神,主たる対象者：難病,利用定員,多機能の有無,指定日,主たる事業所名,共生型指定
2711701405,ＴＥＣＴＥＣスクール　天王寺校,06-4400-1694,06-4303-5121,543-0052,大阪市天王寺区大道一丁目１４番１４号　 ,株式会社シーアイ・パートナーズ,○,○,,20,,2023/03/01,,
2714300866,生活訓練　大阪マック,06-6648-1717,06-6648-1300,556-0006,大阪市浪速区日本橋東一丁目３番５号　 ,特定非営利活動法人　大阪マック,,○,,20,,2016/04/01,,
2714301914,ＣｏｃｏｒｐｏｒｔＣｏｌｌｅｇｅ　大阪なんば駅前キャンパス,06-6978-8963,06-6978-8964,556-0011,大阪市浪速区難波中三丁目９番１号　難波ビルディング２階２０６号室,株式会社ココルポート,○,○,,20,,2024/04/01,,
2714301468,み・らいずワークス　なんば校２号館,050-5840-3114, ,556-0011,大阪市浪速区難波中三丁目９番１号　難波ビルディング２０３号,特定非営利活動法人み・らいず２,○,○,,20,,2022/03/01,,
2714300759,Ｌ’ｓ　Ｃｏｌｌｅｇｅ　おおさか,06-6561-7730,06-6561-7733,556-0027,大阪市浪速区木津川二丁目３番８号　 ,一般社団法人　エル・チャレンジ,○,○,,20,○,2015/04/01,,
2719102176,リハビリセンター癒の道,06-6836-9161,06-6836-9162,532-0003,大阪市淀川区宮原二丁目９番１号　アネックス新大阪１階,株式会社癒の道グループ,○,○,○,23,○,2021/06/01,,
2719102622,ｍｅｎｔａｌｆｉｔ新大阪,06-6732-9982,06-6732-9984,532-0011,大阪市淀川区西中島一丁目９番１３号　クレアシオン新大阪ビル６階,医療法人悠和会,○,○,○,20,,2023/05/01,,
2719102267,リワークセンター新大阪西口,06-6300-7823,06-6300-7824,532-0011,大阪市淀川区西中島七丁目１番８号　ウインビル５階,株式会社Ｒｏｄｉｎａ,○,○,○,20,,2021/12/01,,
2719100766,ジョブジョイントおおさか,06-6100-0150,06-6309-3007,532-0023,大阪市淀川区十三東一丁目１番６号　 ,社会福祉法人　北摂杉の子会,○,○,,10,○,2011/04/01,,
2719102176,フィジメントレニングセンター癒の道,06-6836-9161,06-6836-9162,532-0023,大阪市淀川区十三東五丁目２番１９号　ＰＳ大阪ビル２階,株式会社癒の道グループ,○,○,○,10,○,2021/06/01,リハビリセンター癒の道,
2719100477,Ｌｉｎｋ,06-6308-7210,06-6308-7220,532-0031,大阪市淀川区加島一丁目６０番４６号　,社会福祉法人　加島友愛会,○,,,6,○,2013/04/01,,
2713002596,リカバリハウスいちご北大阪,06-7164-8161,06-7164-8161,533-0005,大阪市東淀川区瑞光二丁目１３番２７号　 ,特定非営利活動法人　いちごの会,,○,,10,○,2022/08/01,,
2713002133,就労支援事業所こころプラス,06-6195-9779,06-7174-5148,533-0032,大阪市東淀川区淡路四丁目６番２２号　工藤ビル３階,株式会社アットマインド,○,○,○,10,○,2024/07/01,,
2711501623,ユニークいまざと,06-4259-1110,06-4259-1110,537-0012,大阪市東成区大今里三丁目１５番２３号　岸田ビル新館２階イ・ロ号室,合同会社ユニークおおさか,○,○,○,10,○,2024/05/01,,
2711500633,大阪障害者就労支援センター,06-6976-6060,06-6976-6061,537-0014,大阪市東成区大今里西一丁目２９番１４号　富士火災今里ビル,特定非営利活動法人身体障害者サポート協会,○,○,○,15,○,2019/02/01,,
2711501896,福祉型専攻科　ＵИＴＲＡＩＬ,06-4307-5540,06-4307-5640,537-0022,大阪市東成区中本五丁目１５番１０号　ユニバーサル中本ビルディング３階,株式会社レーヴ,○,○,,10,○,2023/10/01,,
2712202916,看護小規模多機能ホーム　なごみ庵,06-6754-0025,06-6754-0026,544-0013,大阪市生野区巽中四丁目１番１号　 ,株式会社元気な介護,○,○,○,15,,2020/04/01,,○
2712201991,心楽,070-6508-7408,06-6757-4707,544-0013,大阪市生野区巽中四丁目１８番１４号　 ,株式会社イーストガーデン,○,○,,20,○,2018/03/01,,
2713101745,ｓｅｅｄ,06-7897-5393,06-7897-5393,535-0002,大阪市旭区大宮一丁目１６番２号　 ,一般社団法人ｓｉｇｎ,○,○,○,20,,2022/03/01,,
2714402423,ＡＳＴＡＧＥカレッジ,06-4400-1882,06-7633-8863,536-0008,大阪市城東区関目五丁目３番９号　２階　３階,株式会社Ｏｍｉｔａｓ,○,○,○,20,,2022/05/01,,
2714401870,就労支援センターぜ・す・と,06-6967-9500,06-6967-9500,536-0008,大阪市城東区関目五丁目１５番３４号３階　 ,特定非営利活動法人　燦然会,○,○,○,6,○,2018/11/01,,
2714402720,心,06-6955-8070,06-6167-2622,536-0013,大阪市城東区鴫野東三丁目２番２６号　 ,社会福祉法人　そうそうの杜,○,○,○,6,○,2024/04/01,,
2714401128,チャレンズスクール,06-6935-0073,06-6935-0072,536-0016,大阪市城東区蒲生二丁目１番２５号　 ,株式会社ＰＭＩ関西,○,○,,20,,2013/05/01,,
2712302179,リワークセンター阿倍野,06-6630-7072,06-6630-7073,545-0052,大阪市阿倍野区阿倍野筋一丁目５番１号　あべのルシアス１０階,株式会社Ｒｏｄｉｎａ,○,○,○,20,,2024/01/01,,
2712300637,アトリエコーナス,06-6659-9312,06-6659-9312,545-0052,大阪市阿倍野区阿倍野筋四丁目２４番１３号　 ,特定非営利活動法人　コーナス,○,○,○,10,○,2016/04/01,,
2715901860,すぷらんぐるＣＡＦＥ,06-6625-8804,06-6625-8804,559-0017,大阪市住之江区中加賀屋二丁目６番１５号　ストークマンション住之江２０４,合同会社ＳＨＡＲＥ＆ＤＥＳＩＧＮ,○,○,○,10,○,2022/01/01,,
2712000617,大阪府立障害者自立センター,06-6692-2971,06-6692-2974,558-0001,大阪市住吉区大領三丁目２番３６号　,大阪府,,○,,20,○,2007/04/01,,
2712003033,ＴＥＣＴＥＣスクール　長居駅前校,06-6654-5403,06-6654-5413,558-0003,大阪市住吉区長居三丁目１３番９号　 ,株式会社シーアイ・パートナーズ,○,○,○,10,○,2024/04/01,,
2712001730,自立生活訓練クロスピース,06-7507-2194,06-7507-2195,558-0004,大阪市住吉区長居東一丁目１８番１１号　第２ハピネス１０５号,一般社団法人Ｆｏｒｅｓｔａｒ,○,○,○,7,○,2022/02/01,,
2710800513,リカバリハウスいちご女性ユニット,06-6769-1517,,558-0004,大阪市住吉区長居東四丁目６番１５ー４０２号　,特定非営利活動法人　いちごの会,,○,,9,○,2007/04/01,リカバリハウスいちご,
2712000690,ＳＴＡＩＲ,06-6607-6044,06-6607-6045,558-0013,大阪市住吉区我孫子東二丁目７番１３号　ロイヤルキタノ２０３,社会福祉法人あさか会,○,○,○,9,○,2018/10/01,,
2715900995,つみき,06-6615-9301,06-6615-9301,558-0041,大阪市住吉区南住吉一丁目４番１５号　サコダビル２階,社会福祉法人　ライフサポート協会,○,○,○,6,○,2014/04/01,,
2710800513,リカバリハウスいちご,06-6769-1517,06-6769-1517,546-0022,大阪市東住吉区住道矢田三丁目４番３号　 ,特定非営利活動法人　いちごの会,,○,,21,○,2007/04/01,,
2710800521,もくれんホオノキＰｌｕｓハナキリン,06-6699-9532,06-6608-1922,546-0023,大阪市東住吉区矢田六丁目８番７号　 ,社会福祉法人　ふれあい共生会,○,○,○,10,○,2018/10/01,,
2715805301,リンドウ,06-4305-7760,06-7635-8637,547-0001,大阪市平野区加美北三丁目８番２８号　トラスティ加美１階東,株式会社リンドウ,○,○,○,20,,2024/07/01,,
2715800815,スカイ・アンドロメダ,06-6702-0212,06-6702-0235,547-0024,大阪市平野区瓜破二丁目１番６４号　平野ビル２０１,特定非営利活動法人　スカイ・ラヴ,○,○,○,6,○,2015/08/01,,
2715801136,サテライト・オフィス平野,06-4302-8977,06-4302-8980,547-0026,大阪市平野区喜連西四丁目７番１６号　石光ビル,社会福祉法人　大阪市障害者福祉・スポーツ協会,○,○,○,8,○,2014/04/01,,
2715801078,大阪市更生療育センター,06-6797-6681,06-6702-4492,547-0026,大阪市平野区喜連西六丁目２番５５号　,社会福祉法人　大阪市障害者福祉・スポーツ協会,○,○,,6,○,2014/08/01,,
2713303721,デイサービスひいらぎ,06-4397-6669,06-4397-6679,557-0001,大阪市西成区山王二丁目５番１４号　 ,有限会社　リーシェ,,,○,17,○,2018/05/01,,○
2713303002,ヒューマンインクルーシブセンター　クリエバ,06-6567-7115,06-6567-7116,557-0025,大阪市西成区長橋三丁目１番１７号　 ,社会福祉法人ヒューマンライツ福祉協会,○,○,,10,○,2016/04/01,,
2714100878,スクールきると,06-6136-5709,06-6136-5719,570-0025,守口市竜田通一丁目１番３号　安田ビル３Ｆ,株式会社きると,○,○,,6,,2014/04/01,スクールきると,
