就労継続支援（Ｂ型）,,,,,,,,,,,,,,,,,
事業所番号,事業所名称,事業所電話番号,事業所FAX番号,事業所郵便番号,事業所所在地,法人名称,主たる対象者：身体,主たる対象者：知的,主たる対象者：精神,主たる対象者：難病,利用定員,多機能の有無,指定日,主たる事業所名,,,
2714103088,就労継続支援　ＡＢＰｏｓｓｉｂｌｅ　西天満,06-6450-5213,06-6450-5548,530-0047,大阪市北区西天満二丁目９番３号　西天満ロイヤービル３Ｂ号室,一般社団法人Ｐｏｓｓｉｂｌｅ,○,○,○,,20,,2024/07/01,,,,
2714101025,結び事業所,06-6809-3784,06-6809-3754,530-0047,大阪市北区西天満六丁目４番１３号　グラン・ビルド荒木４階,合同会社ａｉｄ,○,○,○,○,20,,2015/04/01,,,,
2714102718,ＡｓＦｉｎｅアジャスト南森町オフィス,06-6379-5910,06-6379-5911,530-0047,大阪市北区西天満五丁目２番１８号　三共ビル東館３階,ＡｓＦｉｎｅ株式会社,○,○,○,○,20,,2023/07/01,,,,
2714102338,プラスアルファⅡ,06-6467-4251, ,530-0047,大阪市北区西天満三丁目１番２５号　老松コープ１００３・１００４号室,株式会社ＴＮコミュニケーションズ,○,○,○,○,10,○,2022/04/01,,,,
2714102098,シーク南森町,06-6311-1615,06-6311-1615,530-0047,大阪市北区西天満三丁目４番２８号　トータス西天満１階,株式会社Ｎｏｉｒ,○,○,○,○,20,,2021/04/01,,,,
2714102577,サブカルビジネスセンター大阪,06-4309-6863,06-4309-6864,530-0047,大阪市北区西天満三丁目１２番２号　ユニ老松ビル４０１,ＭＩＲＡＩファクトリー株式会社,○,○,○,○,20,,2022/12/01,,,,
2714102429,ＯＮＥ　南森町,06-6755-4979,06-6755-4979,530-0052,大阪市北区南扇町１番３号　ミルフェスト北堀川２階,合同会社Ｓ．Ｍ．Ｒ,○,○,○,○,20,,2022/07/01,,,,
2714102882,ＳＡＫＵＲＡ　ＷＯＲＫＳ,050-5534-0866,06-6362-3434,530-0052,大阪市北区南扇町１番１８号　第五伊東ビル南扇町６階,株式会社ソエコ,○,○,○,○,20,,2024/01/01,,,,
2714103120,Ｌｉｖｅｒｙ　Ｓｐａｃｅ　和の糸,06-6379-5435,06-6379-5434,530-0052,大阪市北区南扇町２番１号　ＡＸＩＳ南扇町オーパスビル２階,株式会社和の糸,○,○,○,○,20,,2024/07/01,,,,
2714103286,ｎａｎａｉｒｏ,06-6809-6869, ,530-0052,大阪市北区南扇町１番３号５階　 ,株式会社アウル,○,○,○,○,20,,2024/11/01,,,,
2714102908,就労継続支援　ＡＢＰｏｓｓｉｂｌｅ,06-6450-5321,06-7635-8439,530-0055,大阪市北区野崎町６番８ー５０１号　 ,一般社団法人Ｐｏｓｓｉｂｌｅ,○,○,○,,10,○,2024/02/01,,,,
2714101934,プラスアルファ,06-6467-4251,06-6467-4152,530-0056,大阪市北区兎我野町３番８号　寿楽ビル２０１／２０２／２０３／２０５,株式会社ＴＮコミュニケーションズ,○,○,○,○,10,○,2021/06/01,,,,
2714101074,就労支援センター・ホープ・エッグ,06-6358-0705,06-6358-0706,531-0041,大阪市北区天神橋七丁目１３番１４号　 ,一般社団法人大阪希望館,○,○,○,○,20,,2017/06/01,,,,
2714102189,ＡＣＣＥＰＴ　ＣＯＦＦＥＥ,06-6355-6150,06-6355-6151,531-0041,大阪市北区天神橋七丁目１０番５号　ジェイワン天七ビル１階,株式会社ジー・エヌ・オー,○,○,○,○,10,○,2021/09/01,,,,
2714102734,ワークスペース　フォローアップ,06-6450-5618,06-6450-5619,531-0061,大阪市北区長柄西一丁目４番９号　ユニマックビル６Ｆ,合同会社フォローアップ,○,○,○,○,20,,2023/07/01,,,,
2714101462,就労支援トモワークながら,06-6450-6604,06-6450-6605,531-0063,大阪市北区長柄東二丁目８番３６号　淀川リバーサイド・ビーネ南館２階,一般社団法人ＮＯＲＭＡＬＩＺＥ,○,○,○,○,20,,2018/02/01,,,,
2714100498,中津サテライトオフィス,06-6374-1481,06-6374-1614,531-0071,大阪市北区中津一丁目４番１０号　,社会福祉法人　大阪市障害者福祉・スポーツ協会,○,,○,○,10,○,2010/04/01,,,,
2714100506,ワークセンター中津,06-6374-1344,06-6374-4798,531-0071,大阪市北区中津一丁目４番１０号　 ,社会福祉法人　大阪市障害者福祉・スポーツ協会,○,○,○,,45,,2010/04/01,,,,
2712202270,青空,06-6110-5278,06-6110-5279,531-0071,大阪市北区中津三丁目３番１７号　平成ビル１階,有限会社スマイキー,,○,○,,20,○,2017/04/01,,,,
2714101918,やすらぎのＫＡＫＵＲＡ,06-6359-7839,06-4256-6218,531-0071,大阪市北区中津一丁目１８番８号　ＮＰビル４Ｆ,合同会社ＫＡＫＵＲＡ,○,○,○,○,20,,2020/04/01,,,,
2714102940,Ｃｏｌｏｒｓ,06-6110-5225,06-6131-5315,531-0071,大阪市北区中津二丁目４番２７号　サンハイム中津１０８号室,株式会社Ｃｏｌｏｒｓ　Ｃｏｎｓｕｌｔｉｎｇ　Ｇｒｏｕｐ,○,○,○,○,20,,2024/02/01,,,,
2714100472,ＳＡＯＲＩ豊崎長屋,06-6376-0410,06-6376-0410,531-0072,大阪市北区豊崎一丁目7番2号　,特定非営利活動法人　さをりひろば,○,○,○,,10,○,2009/11/01,ＳＡＯＲＩ　ｈａｎｄｓ,,,
2714102957,ディア・ウリエル,06-6690-8412,06-6690-8413,531-0073,大阪市北区本庄西一丁目３番１６号　 ,一般社団法人ウリエル,○,○,○,,20,,2024/03/01,,,,
2714102874,ＲＥＵＳＥ　夢空工房,06-6690-8028,06-6690-8029,531-0073,大阪市北区本庄西三丁目６番２３号　由本マンション１階,合同会社すまいる,○,○,○,○,20,,2024/01/01,,,,
2714102791,エクレ中崎,06-6371-0050,06-6371-0051,531-0073,大阪市北区本庄西二丁目１７番５号　 ,株式会社ガミン,○,○,○,,20,,2023/11/01,,,,
2714103104,オフィス　アールアンドエー,06-6136-3741,06-6136-3742,531-0074,大阪市北区本庄東二丁目１番２１号　キャピタルライフ２０２号室,株式会社アールアンドエー,○,○,○,○,20,,2024/07/01,,,,
2714103187,Ｍａｈｉｎａ,070-5438-7809, ,531-0074,大阪市北区本庄東二丁目２番３０号　ＷＩＳＨ大阪ビル８Ｆ　Ｂ号室,合同会社ＡＫＡＬＡ,○,○,○,○,20,,2024/09/01,,,,
2714103245,Ｓｈａｋｅ　Ｈａｎｄｓ・大阪,077-511-9296,077-511-9111,531-0074,大阪市北区本庄東二丁目１番４号　三友プロトビル４０１号室,合同会社ふくろう,○,○,○,○,20,,2024/10/01,,,,
2714102569,ＡＫＡＬＡ,060-6147-8285,060-6147-8286,531-0075,大阪市北区大淀南一丁目３番１４号　中島ビル２Ｆ,合同会社ＡＫＡＬＡ,○,○,○,○,20,,2022/12/01,,,,
2715201451,カムラック大阪,06-6924-7707,06-6924-7708,534-0002,大阪市都島区大東町一丁目１０番９号　大月アネックスビル２Ｆ,株式会社カムラック大阪,○,○,○,○,10,○,2022/09/01,,,,
2715201709,就労継続支援Ｂ型事業所　ＳＭＩＬＥ－ＵＰ．,06-6753-9995,06-6753-9998,534-0011,大阪市都島区高倉町二丁目１番４号４Ｆ　 ,株式会社ケアネクスト,○,○,○,○,20,,2024/06/01,,,,
2715200800,ぷれしゃす,06-7181-6990,06-7181-6990,534-0013,大阪市都島区内代町三丁目１０番７号　ラウンドⅡ内代１階店舗,株式会社　ぷれしゃす,,○,,,20,,2015/08/01,,,,
2715200602,とどまつ園,06-6922-0500,06-6925-0250,534-0014,大阪市都島区都島北通二丁目１２番２５号　,社会福祉法人治栄会,○,○,,,40,,2012/04/01,,,,
2715201626,大阪障害者就労実務指導センター,06-6180-8650,06-6180-6538,534-0014,大阪市都島区都島北通二丁目１１番１号　 ,株式会社ＡＲＴ－ＩＮＮ,○,○,○,○,10,○,2023/12/01,,,,
2715201550,福らく,06-7890-8270,06-6923-9010,534-0014,大阪市都島区都島北通二丁目１２番２３号　コート都島１Ｆ,株式会社ジャパンプランニング,○,○,○,○,20,,2023/07/01,,,,
2715201220,ワークアンドスマイル都島,06-7175-3101,06-7185-8165,534-0016,大阪市都島区友渕町三丁目４番２２号　高倉第３コーポ２１１号,一般社団法人人力舎,○,○,○,○,40,,2020/06/01,,,,
2715201220,ワークアンドスマイル都島Ⅱ,06-7175-3101,06-7181-8165,534-0016,大阪市都島区友渕町三丁目３番１９号１０８号　,一般社団法人人力舎,○,○,○,○,20,,2020/06/01,ワークアンドスマイル都島,,,
2711501516,障害者ドットコム編集室,06-6940-7739,06-6940-7729,534-0021,大阪市都島区都島本通一丁目１４番１６号　１階２号フロア,障害者ドットコム株式会社,○,○,○,○,20,,2021/10/01,,,,
2715200719,ワークセンターＪＩＮ,06-6180-4751,06-6180-5510,534-0021,大阪市都島区都島本通三丁目１６番３号　１階、２階,ＮＰＯ法人　真成会,○,○,○,○,20,,2014/04/01,,,,
2715201667,ワークセンターＲＥＮ,06-6180-5220,06-6180-5510,534-0021,大阪市都島区都島本通三丁目１６番５号　鳥山ビル２Ｆ,ＮＰＯ法人　真成会,○,,,,20,,2024/01/01,,,,
2715200438,手琴堂,06-6922-3638,06-6922-3638,534-0023,大阪市都島区都島南通一丁目９番２１号　,特定非営利活動法人　ハートフル都島,,,○,,20,,2010/12/01,,,,
2715201543,友ファミリー,06-6358-5514,06-6354-0555,534-0024,大阪市都島区東野田町二丁目８番７号　サオコマビル４階,一般社団法人友ファミリー,○,○,○,○,20,,2023/06/01,,,,
2715201790,ゆめケアＥＮＩＳＩＡ,06-6585-0961,06-6585-0962,534-0024,大阪市都島区東野田町一丁目２１番７－８０１号　 ,アップサポート株式会社,○,○,○,○,20,,2024/10/01,,,,
2715201337,チャレンズワーク,06-6585-0409,06-6585-0308,534-0024,大阪市都島区東野田町四丁目９番１９－４０１号　 ,株式会社リアルスマイル,○,○,○,○,14,○,2023/11/01,,,,
2715200917,ディスエイブルド就労支援センター,06-6882-6200,06-6882-6201,534-0024,大阪市都島区東野田町一丁目２０番５号４階　 ,特定非営利活動法人ディスエイブルド就労支援センター,○,○,○,○,10,○,2016/01/01,,,,
2715200776,かるみあ事業所,06-6882-1014,06-6882-1013,534-0025,大阪市都島区片町一丁目８番１８号　ＫＳ片町ビル３０２,一般社団法人かるみあ,○,○,○,○,20,,2015/01/01,,,,
2715201113,オノマトペ,06-6242-1880,06-6242-1881,534-0027,大阪市都島区中野町三丁目６番１８号１０２　 ,一般社団法人オノマトペ,○,○,○,○,20,,2019/03/01,,,,
2715201410,桜の宮事業所,06-4801-9557,06-4801-9558,534-0027,大阪市都島区中野町一丁目６番４号　 ,株式会社シンコー,○,○,○,○,40,,2022/04/01,,,,
2714100472,ＳＡＯＲＩ　ｈａｎｄｓ,06-6921-7822,06-6921-7833,534-0027,大阪市都島区中野町五丁目１３番４号　 ,特定非営利活動法人　さをりひろば,○,○,○,,30,○,2009/11/01,,,,
2710200359,近畿福祉会　大阪海老江事業所,06-6136-8061,06-6136-8062,553-0001,大阪市福島区海老江六丁目１１番５号　 ,一般社団法人近畿福祉会,,○,,,20,○,2014/01/01,,,,
2710200250,ワークはづき,06-6449-4141,06-6449-4330,553-0003,大阪市福島区福島四丁目２番５１号　,社会福祉法人　はづき福祉会,○,○,○,,20,,2010/04/01,,,,
2710200516,カラフル大阪,06-6225-7983,06-6459-7241,553-0003,大阪市福島区福島七丁目１７番９号　 ,社会福祉法人視覚障害者文化振興協会,○,○,○,○,20,,2017/06/01,,,,
2710200375,桜ほのぼの苑　玉川事業所,06-4256-8122,06-4256-8125,553-0004,大阪市福島区玉川一丁目８番１０号　ＵＧビル１Ｆ,株式会社　桜ほのぼの苑,○,○,○,○,20,,2014/04/01,,,,
2710200797,ケーラベーカリー野田,06-6391-8500,06-6152-7755,553-0006,大阪市福島区吉野三丁目１番　オーケー１２番街第１２区１号,株式会社　ラーカイラム,○,○,○,○,10,○,2024/03/01,,,,
2710200821,ＪＯＹ,06-4804-2222,06-6462-8900,553-0006,大阪市福島区吉野四丁目２５番５号　 ,株式会社スマイル工房,○,○,○,○,20,,2024/07/01,,,,
2710200755,ナレルワークス,06-6867-9600,06-6867-9601,553-0006,大阪市福島区吉野三丁目２２番１７－２０１号　 ,株式会社ナレルワークス,○,○,○,○,30,○,2023/03/01,,,,
2710200680,就労継続支援Ｂ型　あん,06-6461-2345,06-6261-2345,553-0007,大阪市福島区大開一丁目１３番３号　 ,あん合同会社,○,○,○,○,20,,2022/03/01,,,,
2712800578,コアの仲間たち,06-6464-5588,06-6464-5589,554-0013,大阪市此花区梅香三丁目１１番４号１Ｆ　 ,ＮＰＯ法人ＭＵＡ未来,○,○,○,○,20,,2019/10/01,,,,
2712800248,はばたく,06-6466-1103,06-6466-1103,554-0014,大阪市此花区四貫島二丁目２６番１３号　,特定非営利活動法人はばたく,○,○,○,○,10,,2010/10/01,,,,
2712800222,大阪市立此花作業指導所,06-6463-3669,06-6463-3683,554-0014,大阪市此花区四貫島二丁目２６番１７号　,社会福祉法人　大阪市障害者福祉・スポーツ協会,○,○,○,○,34,○,2009/04/01,,,,
2712800677,チャコールワークス,06-4804-1532,06-4804-1533,554-0021,大阪市此花区春日出北二丁目７番１８号　１階,礼恩介護コンサルタント株式会社,○,○,○,○,20,,2023/02/01,,,,
2719402824,就労継続支援Ｂ型事業所ケーズ,080-3757-1489,06-4256-0764,540-0003,大阪市中央区森ノ宮中央一丁目１１番１８号　ＲＫビル１階,株式会社Ｋ．Ｓ,○,○,○,○,20,,2022/12/01,,,,
2719400521,えるえる,06-6941-4510,06-6920-3522,540-0006,大阪市中央区法円坂一丁目１番３５号　大阪市教育会館５階,一般社団法人　エル・チャレンジ,○,○,○,○,20,,2014/04/01,,,,
2719400398,ひこうせん,06-6944-1570,06-6944-1580,540-0006,大阪市中央区法円坂一丁目１番３８号　大阪市教育会館３階,特定非営利活動法人　ひこうせん,○,○,○,,20,,2010/10/01,,,,
2719402345,なかの屋　大手前,06-6355-4209,06-6355-4210,540-0008,大阪市中央区大手前一丁目７番３１号　ＯＭＭビル１９Ａ,一般社団法人なかの屋ホールディングス,○,○,○,○,20,,2021/04/01,,,,
2719402741,就労継続支援Ｂ型事業所　スタートライン,06-6355-4400,06-6355-4409,540-0011,大阪市中央区農人橋二丁目１番６号　ＧＡＲＮＥＴ．ＢＬＤＧ　ＯＳＡＫＡ４階,一般社団法人ニュースタート,,○,○,,20,,2022/05/01,,,,
2719403574,みやび,090-5123-2370, ,540-0011,大阪市中央区農人橋一丁目４番３１号　ＡＸＩＳ谷町ビル　４Ａ号室,リッツ・ビル・ケアー株式会社,○,○,○,○,20,,2024/08/01,,,,
2719403384,ｍａｎａｂｙ　ＣＲＥＡＴＯＲＳ　大阪天満橋,06-4301-5306,06-4301-5307,540-0012,大阪市中央区谷町一丁目３番５号　アンフィニィ天満橋４０１・４０２号室,有限会社エスエヌ企画,○,○,○,○,20,,2024/05/01,,,,
2719403558,にじいろ　おおさか,06-6379-5844,06-6379-5845,540-0012,大阪市中央区谷町二丁目７番６号　みのるビル５階,合同会社Ｂｒｅｍｅｎ,○,○,○,○,20,,2024/08/01,,,,
2719402360,ユニバーサル・ラボ,06-6949-9292,06-6942-9687,540-0012,大阪市中央区谷町二丁目２番２２号　ＮＳビル４階,ＮＰＯ法人ＳＤＧｓ　ＬＡＢＯ,○,○,○,○,20,,2021/04/01,,,,
2719401966,ハートキャリー,06-4301-4430,06-4301-4439,540-0019,大阪市中央区和泉町一丁目１番１４号　ワイエムピー谷町ビル８０５号,ハートキャリー合同会社,○,○,○,○,20,,2020/04/01,,,,
2719403319,しゅんびそう,06-6484-9181,06-6484-9182,540-0021,大阪市中央区大手通三丁目３番６号　本町橋ビル６階,株式会社Ｓｙｕｎｂｉｓｏ,○,○,○,○,20,,2024/04/01,,,,
2719402782,ワンダフル大阪,06-6948-8349,050-3588-4566,540-0022,大阪市中央区糸屋町二丁目１番８号　川友ビル３階,株式会社ワンダフル,○,○,○,○,20,,2022/06/01,,,,
2719403640,就労継続支援Ｂ型さくら,06-4790-7615,06-4790-7616,540-0024,大阪市中央区南新町二丁目４番１２号　インテリンクス南新町１００１号室,株式会社ＡＮＭＲ,,○,○,○,20,,2024/11/01,,,,
2719403202,就労継続支援Ｂ型事業所アイランド,06-4301-5857,06-4301-5867,540-0025,大阪市中央区徳井町二丁目１番２号　徳井町アリストビル３階,合同会社ＤＫＳＫ,○,○,○,○,20,,2024/01/01,,,,
2719401859,ワンダーフレンズ　たによん,06-6484-9435,06-6484-9436,540-0026,大阪市中央区内本町一丁目１番１０号　五苑第二ビル５０１号,株式会社ワンダーフレンズ,○,○,○,○,20,,2019/05/01,,,,
2719403632,就労継続支援Ｂ型事業所　イオンサポート,06-4301-5864,06-4301-5865,540-0026,大阪市中央区内本町一丁目２番１２号　清美ビル５階,ポスＣＯＭ株式会社,○,○,○,○,10,○,2024/10/01,,,,
2719402246,就労移行支援　大阪ジョブステーション,06-6949-8415,06-6949-8419,540-0027,大阪市中央区鎗屋町二丁目１番３号　タカイチビル２階　２０１号,合同会社ワークプラス,○,○,○,○,10,○,2023/06/01,,,,
2719403418,メタゲーム本町,06-6450-5088,06-6450-5089,540-0028,大阪市中央区常盤町二丁目１番１３号　アドバンスビル本町７０３,株式会社ｓｙｕｋｏｍｕ,,○,○,,20,,2024/05/01,,,,
2719403681,アイビー,090-6729-0722, ,540-0029,大阪市中央区本町橋２番１６号　ＡＸＩＳ本町橋ＹＫビル６０２号室,株式会社Ｍ２,○,○,○,○,20,○,2024/12/01,,,,
2719403079,就労継続支援Ｂ型　ぴあオフィス,080-3024-1423,06-6732-9406,540-0037,大阪市中央区内平野町二丁目２番１７号　交徳ビル４０１号室,株式会社ユートピア,○,○,○,,20,,2023/07/01,,,,
2719402931,就労継続支援Ｂ型事業所スカーラ,06-4708-3750,06-4708-3751,541-0043,大阪市中央区高麗橋二丁目２番３号　ツクダビル４階,株式会社ＡＮＭＲ,○,○,○,○,20,,2022/12/01,,,,
2719400448,ＨＯＰＥオフィス北浜,06-6223-2611,06-6223-2612,541-0045,大阪市中央区道修町一丁目７番１０号　アドバンスビル北浜３Ｆ,ハート株式会社,○,○,○,○,20,○,2018/10/01,,,,
2719400976,ＨＯＰＥサポート北浜,06-6282-7230,06-6282-7231,541-0046,大阪市中央区平野町一丁目５番１１号　胡屋ビル４Ｆ,ハート株式会社,○,○,○,○,20,,2015/03/01,,,,
2719403459,リンク北浜,06-4256-4402,06-4256-4403,541-0046,大阪市中央区平野町二丁目６番５号　みすやビル３Ｆ,リンクアイール株式会社,○,○,○,○,20,,2024/06/01,,,,
2719402451,未来のかたち　Ｂ型事業所,06-6228-4440,06-6228-4441,541-0048,大阪市中央区瓦町四丁目６番１５号　本町プレタビル４階,株式会社かたち,○,○,○,○,20,,2021/09/01,,,,
2719402832,ＯＨＡＮＡ　北浜,06-7492-3805,06-7492-3805,541-0048,大阪市中央区瓦町二丁目４番１０号　 ,合同会社ヘブンリーハナ,○,○,○,○,20,,2022/08/01,,,,
2719403020,マイ・スタイル堺筋北事業所,06-6732-8880,06-6732-8881,541-0051,大阪市中央区備後町一丁目４番８号７Ｆ　 ,一般社団法人マイ・スタイル,○,○,○,○,20,,2023/06/01,,,,
2719401339,ワークセンターグロウアップ,06-4256-3717,06-4256-3717,541-0051,大阪市中央区備後町一丁目６番１号　甲賀ビル３０１,合同会社グロウアップ,○,○,○,○,20,,2016/10/01,,,,
2719403160,青空,06-4256-1855,06-4256-1856,541-0051,大阪市中央区備後町一丁目５番１６号　ロータスビル６階,英福合同会社,○,○,○,○,20,,2023/11/01,,,,
2719401982,マイ・スタイル堺筋本町,06-6282-7540,06-6282-7560,541-0053,大阪市中央区本町一丁目１番３号１００１　 ,一般社団法人マイ・スタイル,○,○,○,○,20,,2019/09/01,,,,
2719401164,わーくぷらす堺筋本町ひまわり,06-4708-6345,06-4708-6346,541-0053,大阪市中央区本町一丁目２番２号　ラシーヌ本町ビル６階,合同会社わーくぷらす,○,○,○,○,20,○,2016/02/01,,,,
2719401990,アルト就労継続支援,06-6264-1010,06-6264-1011,541-0054,大阪市中央区南本町二丁目１番１号　本町サザンビル７０１,フォルテ合同会社,○,○,○,○,20,,2019/10/01,,,,
2719403483,フォルテライズ就労継続支援,06-6241-3330,06-4708-4342,541-0054,大阪市中央区南本町三丁目４番７号　６階,フォルテ合同会社,○,○,○,○,20,,2024/07/01,,,,
2719403392,就労支援　ニコリ,06-6926-8535,06-6926-8536,541-0054,大阪市中央区南本町二丁目１番１号　本町サザンビル５０２号室,株式会社スマイル,○,○,○,○,47,,2024/05/01,,,,
2719403541,就労継続支援Ｂ型事業所　エンターテイメントアカデミー　でじるみ大阪本町,06-6926-8929,06-6926-8928,541-0054,大阪市中央区南本町四丁目２番１８号　３Ｆ,合同会社ＢＬＵＥ　ＢＩＲＤ,○,○,○,○,20,,2024/08/01,,,,
2719400976,ＨＯＰＥオフィス本町,06-6251-2255,06-6251-2277,541-0056,大阪市中央区久太郎町四丁目２番１５号　岡地ビル４Ｆ,ハート株式会社,○,○,○,○,10,,2015/03/01,ＨＯＰＥサポート北浜,,,
2719401511,リトハウス本町,06-6241-7677,06-6241-8188,541-0056,大阪市中央区久太郎町三丁目５番１７号　リバティ御堂筋本町４階,ＲＥＴＲＩＥＶＥ　ＨＯＵＳＥ株式会社,○,○,○,○,20,,2017/09/01,,,,
2719403061,ドルチェ就労継続支援,06-6251-5502,06-6251-5502,541-0056,大阪市中央区久太郎町三丁目１番１５号　メビウス御堂筋本町ビル６０２,株式会社富士グループ,○,○,○,○,20,,2023/07/01,,,,
2719402154,ＩＴワークス大阪,06-7410-7357,050-3588-4566,541-0057,大阪市中央区北久宝寺町一丁目７番９号　堺筋本町プラザビル２０１号室,株式会社ＩＴワークス,○,○,○,○,20,,2020/09/01,,,,
2719402063,就労継続支援事業所　リレー,06-6484-6117,06-6484-6127,541-0058,大阪市中央区南久宝寺町二丁目４番１０号　５０２,一般社団法人ニュースタート,,○,○,,10,○,2020/10/01,,,,
2719401867,ソフ,06-6121-2713,06-6121-2714,541-0058,大阪市中央区南久宝寺町一丁目４番１５号　 ,ＳＯＲＫ　ＦＡＣＴＯＲＹ株式会社,○,○,○,○,20,,2019/05/01,,,,
2719402196,ＲＩＴＡＲＭ,06-4708-7576,06-4708-7550,541-0058,大阪市中央区南久宝寺町四丁目６番１０号　南久宝寺ＦＵＫＵＥ　Ｂ．Ｌ．７階,ＮＰＯ法人　ＲＩＴＡＲＭ,○,○,○,○,10,○,2020/10/01,,,,
2719403137,ワンダーフレンズ堺筋本町,06-6227-8017,06-6537-1597,541-0059,大阪市中央区博労町二丁目３番１１号　アストルビル３階,株式会社ワンダーフレンズ,○,○,○,○,20,,2023/09/01,,,,
2719403657,プラネット心斎橋,06-6484-7401,06-6484-7402,541-0059,大阪市中央区博労町二丁目３番１１号　アストルビル４階,株式会社プラネット,○,○,○,○,20,,2024/11/01,,,,
2719402923,ＢＡＲＩ　ＢＡＲＡ　ＱＵＥＳＴ,06-6762-3868,06-6762-3869,542-0012,大阪市中央区谷町七丁目１番３９号　新谷町第二ビル１階１０１－３号室,株式会社ジー・エヌ・オー,○,○,○,○,20,,2022/12/01,,,,
2719401891,うららか,06-4302-5774,06-4302-5775,542-0012,大阪市中央区谷町九丁目５番１５号　中田ビル７０３号,株式会社Ｔ’Ｓコーポレーション,○,○,○,○,20,,2019/06/01,,,,
2719402428,ｅｍｉ－すぽっと,06-6191-6766,06-6191-6760,542-0012,大阪市中央区谷町九丁目１番１８号　アクセス谷町ビル６Ａ,ＬＩＮＫ株式会社,○,○,○,○,20,,2021/06/01,,,,
2719403095,就労継続支援Ｂ型事業所　くりの木,06-4303-3773,06-4303-3772,542-0066,大阪市中央区瓦屋町三丁目１番１６号　奥田ビル２階,株式会社クリサポ,○,○,○,○,20,,2023/08/01,,,,
