事業所番号,事業所名称,TEL,FAX,事業所郵便番号,事業所所在地,申請者,児,定員,居,放,定員,保,備考,,
2751120623,ファーストクラス岸和田駅前校,072-488-7733,072-488-7758,596-0054,大阪府岸和田市宮本町18番７号ＳＡＫＵＲＡビル３階301号室,株式会社フルスイングリージェンシー,●,10,,●,10,,,大阪府岸和田市,0
2751120631,ＨＡｈａｈａ スマイル,072-489-6233,072-489-6244,596-0825,大阪府岸和田市土生町五丁目３番29号　第一フジコーマンション５Ａ－１,株式会社Ｄｅａｒ　ｃｈｉｌｄｒｅｎ,,,,,,●,,大阪府岸和田市,0
2752520029,はっぴーすまいる,072-751-8234,072-751-8234,563-0021,大阪府池田市畑一丁目５番29号,合同会社はっぴーすまいる,,,,●,10,,,大阪府池田市,0
2752520037,ゴールデンハウス,072-750-0303,072-750-0505,563-0024,大阪府池田市鉢塚一丁目８番２号,株式会社泰らぎ,●,10,,●,10,,,大阪府池田市,0
2752520045,スマイルファクトリー,072-751-1145,072-751-6881,563-0017,大阪府池田市伏尾台二丁目11番地,特定非営利活動法人トイボックス,●,10,,●,10,,,大阪府池田市,0
2752520052,児童発達支援・放課後等デイサービスＯｈａｎａ（オハナ）,072-734-8784,072-734-8774,563-0042,大阪府池田市宇保町７番１号,一般社団法人ＣＬＣ　Ｏｈａｎａ,●,10,,●,10,,,大阪府池田市,0
2752520060,やわらソレイユ,072-760-4302,072-760-4301,563-0032,大阪府池田市石橋二丁目14番11号１階,株式会社ワイズトライン,☆,5,,☆,5,●,,大阪府池田市,0
2752520094,デイサービスＳunはーと,072-702-3577,072-702-3566,563-0033,"大阪府池田市住吉一丁目14番25号103号,203号",合同会社Ｓunはーと,●,10,,●,10,,,大阪府池田市,0
2752520128,Ｏｈａｎａ緑丘,072-736-9757,072-736-9757,563-0026,大阪府池田市緑丘一丁目７番21号,一般社団法人ＣＬＣ　Ｏｈａｎａ,,,,●,10,,,大阪府池田市,0
2752520144,スポーツとまなびのひろばＳＡＩＹＯ池田校,072-752-3313,072-752-3313,563-0025,大阪府池田市城南一丁目３番21号豊岡ビル２Ｆ,特定非営利活動法人ＳＡＩＹＯ,,,,●,10,,,大阪府池田市,0
2752520169,Ｒ．Ｅ．Ａ．Ｄ．Ｄ．,072-752-0001,072-752-0002,563-0058,大阪府池田市栄本町４番24号,一般社団法人Ｒ．Ｅ．Ａ．Ｄ．Ｄ．,●,10,,●,10,●,,大阪府池田市,0
2752520177,ＭＯＭＢ池田,072-753-0807,072-753-0808,563-0043,大阪府池田市神田一丁目32番17号　Bellino　１Ｂ号,株式会社ネクステム,●,10,,●,10,,,大阪府池田市,0
2752520185,はっぴーすてっぷ,072-747-2480,072-786-6331,563-0022,大阪府池田市旭丘一丁目８番16号旭丘プラザ102号室,合同会社はっぴーすまいる,●,10,,●,10,,,大阪府池田市,0
2752520193,ぶるーべりー石橋,072-737-9225,072-737-9203,563-0033,大阪府池田市住吉一丁目14番23号１階ベルクサイト101号室,株式会社Ｕｎited　Ｐｏｗｅｒｓ,,,,●,10,,,大阪府池田市,0
2752520201,ｃｏｃｏｒｏ,072-736-8514,072-736-8515,563-0021,大阪府池田市畑五丁目１番20号,株式会社ＧＲＯＷＳ,☆,5,,☆,5,,,大阪府池田市,0
2752520219,ウキウキはなさく石橋教室,072-761-8739,072-761-8734,563-0023,大阪府池田市井口堂一丁目６番19号マエシカ井口堂店舗１F,株式会社はなさく,●,10,,●,10,●,,大阪府池田市,0
2752520235,ステップ池田,072-751-1555,072-739-7595,563-0042,大阪府池田市宇保町９番21号,株式会社アーバンホープ,●,10,,●,10,,,大阪府池田市,0
2752520243,児童発達支援・放課後等デイサービスｃｏｒｅ　ｋｉｄｓ,072-734-6166,072-734-6166,563-0055,大阪府池田市菅原町11番４号　ＢＥＮＩＹＡⅡ２階・３階,株式会社メディカル・ハンド,●,10,,●,10,,,大阪府池田市,0
2752520250,ながれぼし,072-760-0055,072-760-0055,563-0033,大阪府池田市住吉二丁目６番17号TNG住吉ビル１Ｆ,株式会社HAKOBUNE,●,10,,●,10,,,大阪府池田市,0
2752520284,ぶるーべりー池田,072-768-8661,072-768-8654,563-0031,大阪府池田市天神一丁目３番12号,株式会社United Powers,●,10,,,,●,,大阪府池田市,0
2752520292,ハーティワン桃園,072-737-4836,072-767-9717,563-0045,大阪府池田市桃園一丁目7番18号スプリングリバーⅡ101,有限会社三宮企画,●,10,,●,10,●,,大阪府池田市,0
2752520300,放課後等デイサービス　わんダフル,072-736-9550,072-736-9552,563-0033,大阪府池田市住吉一丁目４番３号　長澤マンション101号室,株式会社Peak River,●,10,,●,10,,,大阪府池田市,0
2752520318,ＫＯＫＯＩＲＯ,０７０－８９６２-1788,,563-0025,大阪府池田市城南三丁目２番13号シャーメゾンラピス１階,合同会社ＨａｌｅＮａｌｕ,●,10,,●,10,,,大阪府池田市,0
2752520326,ドレミファソライズＦＣ池田,０７２-737-6889,０７２-737-6889,５６３－００３８,大阪府池田市荘園二丁目１番４号,昇岩株式会社,●,10,,●,10,,,大阪府池田市,0
2752520334,るる,０７２－７３４－７５１８,０７２－７３４－７５１８,563-0032,大阪府池田市石橋一丁目23番13-101号,知音株式会社,●,10,,●,10,,,大阪府池田市,0
2752520342,ハーティワンおりいぶ,０７２－７４４－２１６６,０７２－７４－２１６７,563-0058,大阪府池田市栄本町９番６号　２階・３階・４階,有限会社三宮企画,●,10,,●,10,,,大阪府池田市,0
2752520359,フォレストキッズ池田教室,072-735-7750,072-735-７７80,563-0025,大阪府池田市城南一丁目２番２号コンフォートプレイス１階,アサヒ産業株式会社,●,10,,,,,,大阪府池田市,0
2752520367,キックオフ,072-774-4602,072-702-4432,563-0059,大阪府池田市西本町６番17号メゾンクレール201号室,株式会社グッドサポート,●,10,,●,10,,,大阪府池田市,0
2752520375,レコルダＣラボ,072-768-8725,072-768-8726,563-0025,大阪府池田市城南一丁目４番４号　松村事務所　２階１号室,クレイススキルスラボ株式会社,●,10,,●,10,,,大阪府池田市,0
2752520383,コアキッズ・ケア,072-737-7039,072-737-7049,563-0055,大阪府池田市菅原町１番14号,株式会社メディカル・ハンド,☆,5,,☆,5,,,大阪府池田市,0
2752520391,ＭＯＭＢ石橋,072-737-8265,072-737-8266,563-0032,大阪府池田市石橋三丁目1番21号モンジット1階,株式会社ネクステム,,,,●,10,,,大阪府池田市,0
2752520409,明武館療育クラブ,072-762-1101,072-762-1120,563-0032,大阪府池田市石橋二丁目１４番１１号,株式会社明武館,●,10,,●,10,,,池田市,30
2752520417,放課後等デイサービスＨＡＲＵ池田,072-737-7121,072-707-2604,563-0023,大阪府池田市井口堂一丁目９番26号　アーユス井口堂西棟２階２号室,株式会社シーシー,,,,●,10,,,大阪府池田市,1
2752520425,あん放課後等デイサービス,０８０‐3858‐5055,072-746-9692,563-0022,大阪府池田市旭丘一丁目11番19号東光ビル１階,株式会社グレイス,●,10,,●,10,,,大阪府池田市,1
2752520433,児童発達支援・放課後等デイサービス　ソラーレ神田,０７２－７３６－８０８９,０７２－７３６－８０８９,563-0043,大阪府池田市神田二丁目17番６号,株式会社スタジオＤ＆Ｈ,●,10,,●,10,,,大阪府池田市,1
2752520441,児童発達支援・放課後等デイサービス　ここふる,072-739-6158,072-739-6159,563-0024,大阪府池田市鉢塚三丁目15番２号メゾンさつき１階106号室,株式会社めぐみ,☆,5,,☆,5,,,大阪府池田市,1
2752520458,ＮＰＯ法人つぼみ,090-7962-7570,-,563-0032,大阪府池田市石橋二丁目13番29号２階,ＮＰＯ法人つぼみ,●,10,,●,10,●,,大阪府池田市,1
2752520466,ワナビー城南,072-768-8184,072-768-8184,563-0025,大阪府池田市城南一丁目９番22号ＡＸＩＳ池田グリーンプラザⅠ　２Ｆ－Ｄ,株式会社ミヤビコーポレーション,●,10,,●,10,●,,大阪府池田市,1
2752520474,多機能型事業所Ｇｏｏｔｅｌａ,072-737-5381,072-737-5382,563-0031,大阪府池田市天神一丁目10番19号,株式会社Ｇｏｏｔｅｌａ,●,10,,●,10,,,大阪府池田市,1
2752520482,療育センターエコルド,072-735-7332,072-735-7442,563-0032,大阪府池田市石橋三丁目１番11号大空第２ビル１階、３階,Ｄ＆Ｉ株式会社,●,20,,●,10,●,,大阪府池田市,1
2752520490,エントランス　リバティ　池田教室,072-737-6165,072-737-9147,563-0025,大阪府池田市城南二丁目２番１号ハイツ木下１階103号,株式会社フューチャージニアス,●,10,,●,10,,,大阪府池田市,1
2752520508,ＫＯＫＯＩＲＯ　ＰＡＧＥ,072-776-1791,050-3488-7960,563-0023,大阪府池田市井口堂一丁目２番２号ラヴィータ石橋阪大前101号室,合同会社ＨａｌｅＮａｌｕ,●,10,,●,10,●,,大阪府池田市,1
2752520516,これからも石橋阪大前,090-7466-9121,,563-0032,大阪府池田市石橋二丁目17番12号杉山ビル201号室,一般社団法人これからも,●,10,,●,10,,,大阪府池田市,41
2752520524,るるｐｌｕｓ,072-734-7518,072-734-7518,563-0038,大阪府池田市荘園二丁目１番４号,知音株式会社,●,10,,●,10,,,池田市,42
2750620011,ILIS　CLUB泉大津,0725-22-6650,0725-22-6651,595-0024,大阪府泉大津市池浦町一丁目２番18号,株式会社アイリス,●,10,,●,10,,,大阪府泉大津市,0
2750620029,ファンタジー,0725-58-6561,0725-58-6562,595-0024,大阪府泉大津市池浦町四丁目８番18号,株式会社アイエム,●,10,,●,10,,,大阪府泉大津市,0
2750620086,清流の家　泉大津,0725-23-2760,0725-23-2770,595-0071,大阪府泉大津市助松町二丁目４番10号,合同会社哲人社,●,10,,●,10,,,大阪府泉大津市,0
2750620094,児童発達支援・放課後等デイサービスろはすの家,0725-31-3100,0725-31-3200,595-0015,大阪府泉大津市二田町一丁目20番19号,株式会社ＨＨＩ,●,7,,●,7,,,大阪府泉大津市,0
2750620169,さんＳＵＮアフタースクール泉大津,0725-20-6202,0725-20-6203,595-0043,大阪府泉大津市清水町１番40号,株式会社ＩＬＯ,●,10,,●,10,,,大阪府泉大津市,0
2750620177,はぐハウスⅡ,0725-92-8918,0725-92-8981,595-0071,大阪府泉大津市助松町三丁目１－25　ビーチマンションⅡ１階102号,ＩＯＳメディカルケア株式会社,☆,5,,☆,5,,,大阪府泉大津市,0
2750620250,運動学習支援教室　みらいずジュニア,0725-58-7533,0725-58-7534,595-0023,大阪府泉大津市豊中町二丁目14番９号豊中ビル１階・２階,社会福祉法人豊中福祉会,●,10,,●,10,,,大阪府泉大津市,0
2750620268,児童発達支援・放課後等デイサービス　ろはすの家　つぼみ,0725-31-3300,0725-31-3400,595-0015,大阪府泉大津市二田町三丁目４番15号,株式会社ＨＨＩ,●,10,,●,10,,,大阪府泉大津市,0
2750620276,ツリーハウス　泉大津教室,0725-99-8931,0725-99-8932,595-0024,大阪府泉大津市池浦町一丁目７番４号,今太木材株式会社,●,10,,●,10,,,大阪府泉大津市,0
2750620284,こどもサポートばんびーに,090-2705-1640,-,595-0013,大阪府泉大津市宮町10番5号,株式会社ＫＪＴ,●,10,,●,10,,,大阪府泉大津市,0
2750620300,児童発達支援　ぱぴぷ,0725-90-4110,0725-90-4118,595-0021,大阪府泉大津市東豊中町三丁目14番12号　新井ビル１階,株式会社Ｔｈｅ　Ｆｉｒｓｔ,●,10,,,,,,大阪府泉大津市,0
2750620318,ジャンプ泉大津,0725-24-0215,0725-24-0331,595-0014,大阪府泉大津市寿町14番１号,株式会社JUMP,●,10,,●,10,,,大阪府泉大津市,0
2750620334,あすなろ,０７２５－９９－８５１２,０７２５－９９－８５１３,595-0024,大阪府泉大津市池浦町二丁目14番27号,株式会社Ｏ－プランニング,●,10,,●,10,,,大阪府泉大津市,0
2750620359,ツリーハウスＳＴＵＤＹ　泉大津教室,0725-90-7582,0725-90-7528,595-0024,大阪府泉大津市池浦町一丁目７番４号,今太コミュニティーサービス株式会社,●,10,,●,10,,,大阪府泉大津市,0
2750620367,放課後デイサービス絆Ⅱ,0725-58-9460,0725-58-9461,595-00044,大阪府泉大津市千原町二丁目８番15号,太心合同会社,●,10,,●,10,,,大阪府泉大津市,0
2750620375,子どもデイサービス　サニー,0725-25-8127,0725-51-7588,595-0011,大阪府泉大津市曽根町三丁目９番30号,合同会社リレイション,●,10,,●,10,,,大阪府泉大津市,0
2750620383,ホップステップこっちゃん,0725-92-9972,0725-92-9972,595-0021,大阪府泉大津市東豊中町一丁目５番48号シンエイビル１階101号,株式会社藤花,●,10,,●,10,,,大阪府泉大津市,0
2750620391,ブロッサムジュニア　泉大津教室,０７２５－５８－８６１６,０７２５－５８－８６１７,595-0023,大阪府泉大津市豊中町二丁目９番１７号,株式会社ＴＯＰ,●,10,,●,10,,,大阪府泉大津市,0
2750520435,きっず・すくーるそら,0725-40-3512,0725-40-3513,595-0021,大阪府泉大津市東豊中町三丁目16番１号フラット・フィールド・オペレーションズビル２階,株式会社まほろば,●,10,,●,10,,,大阪府泉大津市,0
2750620409,放課後等デイサービス　オアシス,0725-90-4098,0725-90-4097,595-0006,大阪府泉大津市東助松町二丁目10番５号松内ビルⅡ１０１号室,一般社団法人福祉総合支援協会,,,,●,10,,,大阪府泉大津市,0
2750620417,ファーストステップ東助松,0725-51-7358,0725-51-7359,595-0006,大阪府泉大津市東助松町二丁目10番９号,株式会社Ｔｈｅ　Ｆｉｒｓｔ,●,10,,,,,,大阪府泉大津市,0
2751120458,スポーツアカデミー泉大津,0725-25-8517,0725-25-8517,595-0071,大阪府泉大津市助松町三丁目９番４０-106号,株式会社赤い糸,●,10,,●,10,,,大阪府泉大津市,0
2751320017,こどもデイケアいずみ自閉症児支援センター,072-421-3011,072-421-3011,597-0046,大阪府貝塚市東山二丁目1番1号,社会福祉法人三ヶ山学園,●,10,,●,10,,,大阪府貝塚市,0
2751320025,ほっこりの里,072-421-2222,072-421-2221,597-0105,大阪府貝塚市三ツ松1708番１,社会福祉法人ほっこり福祉会,●,10,,●,10,,,大阪府貝塚市,0
2751320033,みつばち加神アフタースクール,072-425-4066,072-425-4066,597-0071,大阪府貝塚市加神二丁目15番28号,特定非営利活動法人彩福祉会,,,,●,10,,,大阪府貝塚市,0
2751320041,児童福祉サービスＬａｒｉｍａｒ,072-433-3900,072-433-3915,597-0053,大阪府貝塚市地蔵堂１番地８,ＮＰＯ法人児童福祉サービスＬａｒｉｍａｒ,●,10,,●,10,,,大阪府貝塚市,0
2751320066,キッズ・タカギ,072-446-7808,072-446-7807,597-0044,大阪府貝塚市森678番地,株式会社ＯＦＦＩＣＥ　ＴＡＫＡＧＩ,●,10,,●,10,,,大阪府貝塚市,0
2751320090,みつばち森アフタースクール,072-424-8822,072-424-6610,597-0044,大阪府貝塚市森510番地１,特定非営利活動法人彩福祉会,,,,●,10,,,大阪府貝塚市,0
2751320108,放課後デイサービス・児童発達支援ぱれっと,072-415-0329,072-415-0329,597-0033,大阪府貝塚市半田一丁目17番３号ヴァンテーヌ西納101号,株式会社カワカミ建装,●,10,,●,10,,,大阪府貝塚市,0
2751320124,こっとんオルタ,072-425-2433,072-425-2434,597-0033,大阪府貝塚市半田一丁目10番40号,一般社団法人ＳＥＥＤ,●,10,,●,10,,,大阪府貝塚市,0
2751320132,児童デイサービスいっぽ,072-488-7258,072-488-7259,597-0033,大阪府貝塚市半田二丁目22番６号,株式会社フォーライフ,●,10,,●,10,,,大阪府貝塚市,0
2751320199,こどもデイサービスｅｎｉｓｈｉ,072-468-7905,072-468-8020,597-0046,大阪府貝塚市東山七丁目６番21号,株式会社縁,☆,5,,☆,5,,,大阪府貝塚市,0
2751320207,わくわくエイト,072-479-3677,072-479-3688,597-0084,大阪府貝塚市鳥羽158番地１　山裾ビル４階,株式会社ＷＡＫＯ,●,10,,●,10,,,大阪府貝塚市,0
2751320231,キッズ・タカギⅡ,072-468-9737,072-468-9738,597-0073,大阪府貝塚市脇浜四丁目１番10号,株式会社　OFFICETAKAGI,●,10,,●,10,,,大阪府貝塚市,0
2751320249,運動＆学習療育　あなたが宝モノ　貝塚王子教室,072-479-3524,072-479-3534,597-0051,大阪府貝塚市王子1028番地１,株式会社　いのちの木,●,10,,●,10,●,,大阪府貝塚市,0
2751320256,児童デイサービス　ルミナス,072-428-7444,072-428-7445,597-0081,大阪府貝塚市麻生中973番地１,株式会社Ｗｅｌｆａｒｅ,☆,5,,☆,5,,,大阪府貝塚市,0
2751320264,まいるーむ放課後こども教室貝塚校,072-493-3764,072-493-2995,597-0062,大阪府貝塚市澤1101番地の１ピアコートＵ207号室、208号室,株式会社ＫＴＡＪ,●,10,,●,10,,,大阪府貝塚市,0
2751320272,こどもサポート　わんだ,072-437-5525,072-437-5663,597-0073,大阪府貝塚市脇浜二丁目６番２号,有限会社ありす,●,10,,●,10,,,大阪府貝塚市,0
2751320280,ハピスポ貝塚,072-423-8880,072-423-8881,597-0062,大阪府貝塚市澤835番地１,株式会社ハピスポ,●,10,,●,10,,,大阪府貝塚市,0
2751320298,音楽＆リズム　あなたが宝モノ　貝塚王子教室,072-489-5800,072-489-5801,597-0051,大阪府貝塚市王子1029番５号いのちの木リエゾンビル３Ｆ,株式会社いのちの木,●,10,,●,10,,,大阪府貝塚市,0
2751320306,放課後等デイサービスはうす,072-468-6774,072-468-6774,597-0033,大阪府貝塚市半田591番地８サンプレス半田Ｂ棟１号室,株式会社ペタゴー,,,,●,10,,,大阪府貝塚市,0
2751320314,放課後等デイサービス　みのり　貝塚校,072-424-6589,072-424-6589,597-0015,大阪府貝塚市堀二丁目８番11号,株式会社大樹,,,,●,10,,,大阪府貝塚市,0
2751320322,児童発達支援・放課後等デイサービスキラボシ,050-8893-2790,050-8893-7234,597-0003,大阪府貝塚市中町１番40号,特定非営利活動法人キラボシ,●,8,,●,8,,共生型,貝塚市,21
2751320330,パピプケア貝塚,072-489-5305,072-489-5306,597-0062,大阪府貝塚市澤1101番１号　ピアコートＵ101,株式会社Ｔｈｅ　Ｆｉｒｓｔ,●,10,,,,,,貝塚市,22
2753220041,放課後等デイサービス事業所どり～むはうす,06-6994-8560,06-6994-8561,570-0056,大阪府守口市寺内町一丁目８番７号創建ビル１階及び２階,株式会社ドリームフューチャー,,,,●,10,,,大阪府守口市,0
2753220058,みずいろはうす,06-6780-4212,06-6780-4213,570-0048,大阪府守口市寺方本通三丁目１番21号,合同会社からふるぱーとなーず,●,10,,●,10,,,大阪府守口市,0
2753220066,ぷりずむ,06-4304-4585,06-4304-4589,570-0053,大阪府守口市高瀬町一丁目５番18号101号室,スバル・トータルプランニング株式会社,●,10,,●,10,,,大阪府守口市,0
