事業所番号,事業所名称,事業所電話番号,事業所FAX番号,事業所郵便番号,事業所所在地,法人名称,主たる対象者：身体,主たる対象者：知的,主たる対象者：精神,主たる対象者：難病,利用定員,多機能の有無,指定日,主たる事業所名,共生型指定
2715201717,生活介護Ｌｉｎｏ’ａ,06-6923-8253,06-6923-8254,534-0021,大阪市都島区都島本通三丁目１０番８号　ＴＫハイツ１０１号室,株式会社ＨＹＵ,○,○,○,○,20,,2024/06/01,,
2714100654,生活介護事業所良返屋,06-7504-6191,06-7504-6192,534-0021,大阪市都島区都島本通三丁目１６番５号　,特定非営利活動法人　おおさか行動する障害者応援センター,○,○,○,○,9,,2011/10/01,生活介護事業所ぜんかい屋,
2715201485,生活介護　らぷらす,06-6180-3689,06-6180-5689,534-0022,大阪市都島区都島中通一丁目１４番６号　２Ｆ,一般社団法人インディペンデンス,,○,○,,10,○,2022/11/01,,
2715201345,生活介護　そらともり,06-7898-0023,06-7898-0023,534-0022,大阪市都島区都島中通三丁目１７番１８号　 ,株式会社ＳＯＬＡ,○,○,○,○,20,,2022/01/01,,
2715201188,デイサービスほっと。,06-6929-1081,06-6929-1082,534-0022,大阪市都島区都島中通三丁目１７番６号　グランドゥーエ５０２号,特定非営利活動法人　ほっと,○,○,○,○,10,○,2019/10/01,,
2710200201,デーセンター機関車,06-6925-5521,06-6925-5521,534-0023,大阪市都島区都島南通二丁目１番６４号　,社会福祉法人　ゆうのゆう,○,,,,15,,2008/01/01,デーセンターモモの家,
2715201691,デーセンター機関車,06-6925-5521,06-6925-5521,534-0023,大阪市都島区都島南通二丁目１番６４号　 ,社会福祉法人　ゆうのゆう,○,,,,20,,2024/05/01,,
2715201311,生活介護しるし,06-6180-3375,06-6964-4158,534-0023,大阪市都島区都島南通一丁目６番５号　 ,株式会社Ｎｅｖｅｒ,○,○,○,○,20,,2021/09/01,,
2715200370,作業所「あるくる」,06-6355-5500,06-6355-3702,534-0027,大阪市都島区中野町三丁目４番２１号　ベルエキップ・オグラン１階,特定非営利活動法人　あるる,○,○,○,○,10,,2010/03/01,,
2714100472,ＳＡＯＲＩ　ｈａｎｄｓ,06-6921-7822,06-6921-7833,534-0027,大阪市都島区中野町五丁目１３番４号　 ,特定非営利活動法人　さをりひろば,○,○,○,○,8,○,2015/06/01,,
2710200284,福島育成園,06-6456-0560,06-6456-0561,553-0001,大阪市福島区海老江一丁目８番８号　,社会福祉法人大阪市手をつなぐ育成会,○,○,○,,70,,2012/01/01,,
2710200359,近畿福祉会　大阪海老江事業所,06-6136-8061,06-6136-8062,553-0001,大阪市福島区海老江六丁目１１番５号　 ,一般社団法人近畿福祉会,,○,,,39,○,2014/01/01,,
2710200227,すずらんの園,06-6136-8998,06-6136-8998,553-0003,大阪市福島区福島四丁目６番１８号　 ,社会福祉法人　すずらん福祉会,○,,,○,22,,2008/04/01,,
2710200805,デイサービスセンターのだてらす,06-6467-8000, ,553-0005,大阪市福島区野田二丁目１７番１４号　 ,千寿パートナーズ株式会社,○,○,○,○,18,,2024/05/01,,○
2710200201,デーセンターモモの家,06-6465-9133,06-6465-3301,553-0006,大阪市福島区吉野四丁目２７番１０号　,社会福祉法人　ゆうのゆう,○,,,,20,,2008/01/01,,
2710200540,ぽっぽっぽ,06-6147-7603,06-6147-7603,553-0006,大阪市福島区吉野五丁目５番１４号　 ,株式会社　ぽっぽっぽ,○,○,○,○,10,,2019/08/01,,○
2710200573,デイサービスセンター千寿てらす,06-6460-4165,06-6460-4126,553-0007,大阪市福島区大開四丁目１番　ＵＲ大開団地１１号棟１０５,千寿パートナーズ株式会社,○,○,○,○,18,,2020/04/01,,○
2712800248,生活介護はばたく,06-6463-2286,06-6463-2286,554-0013,大阪市此花区梅香一丁目２６番３号　 ,特定非営利活動法人はばたく,○,○,○,○,10,○,2019/04/01,,
2712800628,あめでもくもりでも、はれたね,06-6461-5589,06-6461-5589,554-0014,大阪市此花区四貫島二丁目１８番１７号　舟原ビル１Ｆ,合同会社匡,○,○,○,○,20,,2021/03/01,,
2712800628,あめでもくもりでも、はれたね,06-6461-5589,06-6461-5589,554-0014,大阪市此花区四貫島二丁目１８番１４号　ひろっずたうん１Ｆ,合同会社匡,○,○,○,○,10,,2021/03/01,あめでもくもりでも、はれたね,
2712800487,生活介護コアの園,06-6464-0990,06-6464-0991,554-0022,大阪市此花区春日出中二丁目１８番１４号　ＮＥＵビル４Ｆ,ＮＰＯ法人ＭＵＡ未来,○,○,○,○,20,,2018/03/01,,
2712800255,ぶるうむ此花,06-6468-7898,06-6468-2803,554-0024,大阪市此花区島屋三丁目２番３２号　,社会福祉法人日本ヘレンケラー財団,,○,,,50,,2011/04/01,,
2719400190,なにわの宮,06-6940-4187,06-6943-4668,540-0006,大阪市中央区法円坂一丁目１番３５号　アネックスパル法円坂５階,社会福祉法人　大阪府肢体不自由者協会,○,○,○,,28,○,2009/04/01,,
2719400356,こはる苑,06-6762-8009,06-6762-8009,540-0013,大阪市中央区内久宝寺町二丁目７番３１号　,社会福祉法人こはる福祉会,,○,,,20,,2010/04/01,,
2719402303,サン・プロジェクト,06-6946-1261,06-6946-1263,540-0025,大阪市中央区徳井町一丁目２番９号　メゾンサンパール　２階,一般社団法人サンシャイン,○,○,○,○,14,○,2022/04/01,,
2719400752,アップル上汐,06-6762-1238,06-6762-1239,542-0064,大阪市中央区上汐一丁目４番６号　冨士ビル３０１・３０２号・５Ｆ,合同会社　アリスタッチ,○,○,○,○,20,○,2014/05/01,,
2711800256,Ｈａｎｄｉｃａｐｐｅｄ　ｃｏｍｍｕｎｉｔｙ　Ｃａｆｅ　ＭＩＬＬＯ（第３ミロー）,06-6533-5798,06-6533-5798,550-0015,大阪市西区南堀江四丁目５番　西道頓堀ハイツＢ棟１０５号,ＮＰＯ法人　Ｃａｆｅ　ＭＩＬＬＯ,○,○,○,,15,○,2011/04/01,,
2711800454,和,06-6536-8970,06-6536-8970,550-0022,大阪市西区本田一丁目５‐１０　 ,社会福祉法人　ワークスユニオン,,○,,,20,,2013/03/01,,
2711800207,生活介護西作業所,06-6584-1614,06-6584-1614,550-0022,大阪市西区本田一丁目５番１４号　,ＮＰＯ法人　ユートピアにし,,○,,,10,,2009/04/01,生活介護西作業所,
2711800835,セフニアキッズ・ワーク（九条）,06-6586-5777,06-6586-5778,550-0025,大阪市西区九条南四丁目１６番１６号　,株式会社　セフニア,○,○,○,○,10,○,2017/12/01,セフニアキッズ・ワーク,
2711800207,生活介護西作業所,06-6584-1614,06-6584-1614,550-0025,大阪市西区九条南一丁目１１番２２号　 ,ＮＰＯ法人　ユートピアにし,,○,,,30,,2009/04/01,,
2711800835,セフニアキッズ・ワーク,06-4395-5578,06-6586-5778,550-0026,大阪市西区安治川二丁目２番１３号　 ,株式会社　セフニア,○,○,○,○,20,○,2017/12/01,,
2710400421,港育成園,06-6584-9241,06-6584-9274,552-0001,大阪市港区波除六丁目４番５号　,社会福祉法人大阪市手をつなぐ育成会,,○,,,40,,2011/04/01,,
2710200201,デーセンター音・ｏｎ,06-4395-5660,06-4395-5664,552-0002,大阪市港区市岡元町一丁目２番２０号　,社会福祉法人　ゆうのゆう,○,,,,15,,2008/01/01,デーセンターモモの家,
2710401171,デーセンター音・ｏｎ,06-4395-5660,06-4395-5664,552-0002,大阪市港区市岡元町一丁目２番２０号　 ,社会福祉法人　ゆうのゆう,○,,,,20,,2024/05/01,,
2710401023,ぽーとゆうなぎ生活介護,06-6577-3850,06-6577-3851,552-0003,大阪市港区磯路三丁目２５番７号　市岡グランドビル旧館１０８,株式会社　アクセスＨ．Ｌ,○,○,○,○,20,○,2022/05/01,,
2710401072,からふるｋｕｒａｓｕ,06-6575-9900,06-6575-9911,552-0003,大阪市港区磯路二丁目１２番１－１１９号　 ,合同会社からふるケア,,○,,,10,○,2023/04/01,,
2710400611,マーガレット工房,06-6576-2284,06-6576-2284,552-0005,大阪市港区田中二丁目１１番１６号　 ,特定非営利活動法人地域障害者協働ステーション,○,○,○,○,20,,2013/08/01,,
2710401080,ひびき園,06-6467-8228,06-6467-8229,552-0007,大阪市港区弁天一丁目６番１７号　１０２号室,ｂＱｕｅｓｔ株式会社,○,○,○,○,20,,2023/04/01,,
2710400496,手と手とハウス,06-6576-1200,06-6576-1201,552-0016,大阪市港区三先二丁目１３番２４号　ＭＴ不動産ビル１階,ＮＰＯ法人　大阪盲ろう者友の会,○,,,,20,,2012/03/01,,
2710400256,ゆうゆう美波途,06-6571-1119,06-6571-1141,552-0016,大阪市港区三先二丁目２番５号　,特定非営利活動法人　悠々会,○,○,○,,16,○,2008/11/01,,
2710400215,あゆみ作業所,06-6572-0714,06-6572-0714,552-0021,大阪市港区築港三丁目１０番１８号　,ＮＰＯ法人　大阪港あゆみ福祉会,,○,,,20,,2007/07/01,,
2710400199,あいらぶ工房,06-4395-7588,06-4395-7589,552-0023,大阪市港区港晴一丁目７番４号　,社会福祉法人大阪聴覚障害者福祉会,○,,,,20,○,2007/04/01,,
2710400926,リハルーム,06-6574-1165,06-6537-9638,552-0023,大阪市港区港晴三丁目１番１号　フクモトパークビュー１０４号室,合同会社ＲＩＫＵ,○,○,○,○,10,○,2021/04/01,,
2712700646,生活介護　大正共同作業所,06-6552-2574,06-6552-2574,551-0002,大阪市大正区三軒家東一丁目１４番２７号　グランソシエ大正１階,特定非営利活動法人かけはし福祉会,○,○,○,○,20,,2015/08/01,,
2712700471,障害者支援施設ふくろうの杜,06-6552-2960,06-6552-2968,551-0032,大阪市大正区北村三丁目５番１２号　,社会福祉法人　恩賜財団済生会支部大阪府済生会,,○,,,50,,2012/04/01,,
2712700463,障害者支援施設北村園,06-6552-8070,06-6552-8087,551-0032,大阪市大正区北村三丁目５番１０号　,社会福祉法人　恩賜財団済生会支部大阪府済生会,○,○,○,○,60,,2012/04/01,,
2712700489,障害福祉サービス事業ふくろうの杜（生活介護）,06-6552-2960,06-6552-2968,551-0032,大阪市大正区北村三丁目５番１２号　,社会福祉法人　恩賜財団済生会支部大阪府済生会,,○,,,50,,2012/04/01,,
2712700695,支援センターねぎぼうず,06-6147-3010,06-6147-3021,551-0032,大阪市大正区北村三丁目５番２５号　 ,社会福祉法人　大阪手をつなぐ育成会,○,○,○,○,20,,2018/04/01,,
2712701073,生活介護シエスタ,06-6556-6703,06-6556-6308,551-0032,大阪市大正区北村二丁目１４番２６号　 ,一般社団法人廣陽社,○,○,○,○,20,,2024/04/01,,
2711700373,障害者支援施設知恩寮,06-6761-1663,06-6768-1653,543-0017,大阪市天王寺区城南寺町１番１０号　,社会福祉法人　高津学園,,○,,,30,,2009/10/01,,
2711701348,障がい者就労支援センターにこにこ庵・天王寺,06-6770-6000,06-6770-6688,543-0027,大阪市天王寺区筆ケ崎町２番１８号　タイセイ第二ビル４階・５階,有限会社　クローバーホーム,○,○,○,○,10,○,2022/06/01,,
2711700852,生活介護・あくてぃぶ,06-4302-5242,06-4302-5243,543-0052,大阪市天王寺区大道三丁目１番２６号　ヌーベルハイツ１Ｆ,ＮＰＯ法人ムーブメント,○,○,○,○,20,,2017/07/01,,
2711700894,ブレイルＰ,06-6227-8925, ,543-0053,大阪市天王寺区北河堀町７番１６号　グランカサ天王寺７０１１,特定非営利活動法人世の為人の為,○,○,○,,20,,2017/07/01,,
2711700605,ｓｕｂａｃｏ,06-6777-3835,06-6777-3834,543-0071,大阪市天王寺区生玉町１１番２８号　生玉井上ビル１階１００号,株式会社スバコ・ケア・エンジニアリング,○,○,○,,10,○,2013/05/01,,
2714300528,ほっこり倶楽部,06-4396-9189,06-4396-9189,556-0012,大阪市浪速区敷津東三丁目６番１０号　,特定非営利活動法人　日常生活支援ネットワーク,○,○,○,,10,○,2012/04/01,,
2714300536,ピース,06-6647-2077,06-6647-2087,556-0014,大阪市浪速区大国一丁目１１番１号　,社会福祉法人　ピースクラブ,○,○,○,○,15,○,2012/04/01,,
2714301013,レオＨＯＭＥ,06-6585-9227,06-6585-9267,556-0015,大阪市浪速区敷津西二丁目７番２３号　ウィークリーグリーンインナンバ,株式会社レオ,○,○,○,○,20,,2018/12/01,,
2714301013,レオＨＯＭＥ,06-6585-9227,06-6585-9267,556-0015,大阪市浪速区敷津西二丁目１２番３号　アクティ２１・１０１号,株式会社レオ,○,○,○,○,8,○,2018/12/01,レオＨＯＭＥ,
2714301443,多機能型事業所ブルーム,06-6647-5507,06-6585-9017,556-0015,大阪市浪速区敷津西二丁目１３番２３号　 ,さくら総合事務所株式会社,○,○,○,○,8,○,2021/11/01,,
2714301617,ステップ,06-6710-9119,06-6710-9589,556-0015,大阪市浪速区敷津西二丁目２番２３号　ピエス敷津１階,株式会社ｐａｐｔｉｍｕｓ,○,○,○,○,15,○,2023/02/01,,
2710400793,生活介護かける,06-6575-2111,06-6575-2111,556-0016,大阪市浪速区元町二丁目５番２７号　ダイアパレス難波１０４号,株式会社たすき,○,○,○,○,20,○,2019/03/01,,
2714301765,マルカート,06-6655-0699,06-6655-0699,556-0020,大阪市浪速区立葉一丁目４番７号　 ,株式会社ＣｏＣｏ,○,○,○,○,15,,2023/07/01,,○
2714300296,デイケアセンター夢の希,06-6568-3290,06-6568-3294,556-0025,大阪市浪速区浪速東一丁目８番１４号　 ,社会福祉法人　スワンなにわ,○,○,○,,30,○,2007/04/01,,
2711000865,生活介護げんきな郷,06-6475-0113,06-6475-0113,555-0001,大阪市西淀川区佃三丁目６番７号　 ,有限会社げんきなむら,○,○,○,○,20,○,2018/02/01,,
2711001046,ＣＬＡＮ西淀川,06-6477-5600,06-6477-5610,555-0011,大阪市西淀川区竹島五丁目１番７号　 ,株式会社ＣＬＡＮ,○,○,○,○,20,○,2020/01/01,,
2711000402,いきいき,06-6471-7729,06-6476-7003,555-0013,大阪市西淀川区千舟二丁目１０番６号　,特定非営利活動法人　いきいき,○,○,○,○,16,○,2011/04/01,,
2711000774,カフェ・ギャラリーののはな,06-6476-5260,06-6476-5260,555-0021,大阪市西淀川区歌島三丁目２番　市営歌島第２住宅４号棟１０９,特定非営利活動法人　西淀川発達支援センターたんぽぽ,○,○,○,○,6,,2016/09/01,第２西淀川発達支援センターたんぽぽ,
2711001277,ＣＬＵＢ＿ＮＩＫＯ,06-6478-5600,06-6478-5601,555-0023,大阪市西淀川区花川二丁目１９番８号　花川アーバンライフ１Ｆ,ディバース関西　株式会社,○,○,○,○,20,,2023/02/01,,
2711000352,生活介護事業所ポプラ,06-6471-8860,06-6471-8860,555-0024,大阪市西淀川区野里一丁目３１番２３号　,ＮＰＯ法人　イシイ,○,○,○,,10,,2010/04/01,,
2711000774,第２西淀川発達支援センターたんぽぽ,06-6477-4939,06-6477-4939,555-0024,大阪市西淀川区野里三丁目６番２４号　 ,特定非営利活動法人　西淀川発達支援センターたんぽぽ,○,○,○,○,40,○,2016/09/01,,
2711000345,生活介護事業所よつば,06-6476-0428,06-6477-6560,555-0032,大阪市西淀川区大和田二丁目５番１１号　,社会福祉法人　松福会,○,○,○,,20,,2008/12/01,,
2711001293,ドレミファソラシド,06-6390-8039,06-6390-8039,555-0032,大阪市西淀川区大和田五丁目５番９号　 ,株式会社企画Ｎ,○,○,○,,20,,2023/02/01,,
2711001368,ＯＺデイにしよど,06-6195-6991,06-6195-6992,555-0032,大阪市西淀川区大和田五丁目１番４号　 ,サービス合同会社,○,○,,,5,○,2024/06/01,,
2711000246,風の子そだち園,06-6475-7325,06-6475-7321,555-0033,大阪市西淀川区姫島六丁目３番５号　,社会福祉法人　水仙福祉会,,○,,,50,,2006/11/01,,
2711000246,風工房,06-6475-7325,,555-0033,大阪市西淀川区姫島六丁目３番５号　,社会福祉法人　水仙福祉会,,○,,,10,,2006/11/01,風の子そだち園,
2711000972,こだま,06-6475-6611,06-6475-6644,555-0033,大阪市西淀川区姫島五丁目１３番１２号　 ,合同会社　やまびこ,○,○,○,○,20,,2019/04/01,,
2711000907,ナンクルナイサァーあちや,06-4862-7647,06-4862-7648,555-0041,大阪市西淀川区中島一丁目１７番１３号　 ,有限会社ナンクルナイサァーケアネット,○,○,○,○,20,,2018/04/01,,
2719102580,デイサービス・Ｒｉｎ東三国,06-6326-4441,06-6326-4442,532-0001,大阪市淀川区十八条一丁目１１番１３号　 ,有限会社　いちりん,○,○,,○,20,,2023/02/01,,
2719101426,ホップ,06-6330-8840,06-6330-8841,532-0001,大阪市淀川区十八条三丁目１番７号　 ,特定非営利活動法人　ダ・カー歩,○,○,○,○,20,,2016/03/01,,
2719102655,ｈａｎａ６５,06-7896-6556,06-7896-6557,532-0001,大阪市淀川区十八条一丁目９番２２号　 ,特定非営利活動法人ｈａｎａ６５,○,○,○,○,20,,2023/05/01,,
2719102218,花よデイサービス,06-4981-8307,06-6152-7758,532-0004,大阪市淀川区西宮原一丁目６番３６－１０６号　 ,花よ合同会社,○,○,○,○,20,,2021/09/01,,○
2719100998,Ｏｖｅｒ　Ｔｈｅ　Ｒａｉｎｂｏｗ,06-6390-5315,06-6390-5315,532-0011,大阪市淀川区西中島六丁目６番１７号　リックビル２階,ＮＰＯ法人Ｏｖｅｒ　Ｔｈｅ　Ｒａｉｎｂｏｗ,,○,,,20,,2012/10/01,,
2719102358,ミーサ,06-6829-7206,06-6829-7209,532-0012,大阪市淀川区木川東三丁目１番２３号　ＫＣ新大阪ビル４階,株式会社Ｃｏｃｏ　ｆｅｅｌ,○,○,○,○,20,,2022/04/01,,
2719100501,だんけのそのポレポレクラブ,06-6885-7811,06-6885-7813,532-0013,大阪市淀川区木川西四丁目５番４０号　,社会福祉法人　関西中央福祉会,○,○,○,,80,,2007/04/01,,
2719100485,ＦＡＮ,06-6304-3566,06-6304-3588,532-0021,大阪市淀川区田川北一丁目７番９号　 ,社会福祉法人　関西中央福祉会,,○,,,60,○,2007/04/01,,
2719101939,ＰＡＬＥＴＴＥ,06-6305-2555,06-6305-2557,532-0021,大阪市淀川区田川北一丁目７番５号　 ,社会福祉法人　関西中央福祉会,○,○,○,○,20,○,2021/10/01,,
2719100592,希望の園,06-6301-5265,06-6390-1404,532-0022,大阪市淀川区野中南二丁目１０番３５号　,社会福祉法人　大阪自興会,○,○,○,○,70,,2008/10/01,,
2719100535,ジョブサイトよど,06-6838-7007,06-6838-7015,532-0023,大阪市淀川区十三東二丁目４番２号　 ,社会福祉法人　北摂杉の子会,,○,○,,20,○,2007/05/01,,
2719102523,ひろば,06-6770-9803,06-6770-9806,532-0023,大阪市淀川区十三東三丁目１５番１８号　 ,一般社団法人エンパワメントサポートセンター,○,○,○,○,20,,2022/11/01,,
2719102960,生活介護　コジコジ,06-7166-3875,06-6409-4175,532-0026,大阪市淀川区塚本六丁目１０番３１号　 ,株式会社キミノウタ,○,○,○,○,20,,2024/08/01,,
2719100469,むつみ,06-6308-7206,06-6308-7299,532-0031,大阪市淀川区加島一丁目６０番３６号　,社会福祉法人　加島友愛会,○,○,○,,23,○,2007/04/01,,
2719100634,アンダンテ加島,06-4806-6780,06-4806-6781,532-0031,大阪市淀川区加島一丁目３６番４６号　,社会福祉法人　加島友愛会,,○,,,50,,2009/04/01,,
2719100493,加島希望の家,06-6390-5666,06-6302-2551,532-0031,大阪市淀川区加島一丁目４９番２１号　,社会福祉法人　加島友愛会,○,○,○,○,50,,2007/04/01,,
2719100774,にいたかの里,06-6392-2710,06-6392-2713,532-0033,大阪市淀川区新高四丁目１５番２８号　,社会福祉法人　平成福祉会,○,○,○,,20,○,2011/04/01,,
2713003081,リールスライフ井高野,06-6349-3021,06-6349-3221,533-0001,大阪市東淀川区井高野二丁目７番２８号　 ,株式会社　ケア２１,○,○,○,○,15,○,2024/03/01,,
2713002463,ワーカウト東淀川,06-4862-6731,06-4862-6732,533-0001,大阪市東淀川区井高野二丁目５番８号　２Ｆ,合同会社いち,○,○,○,,20,,2022/04/01,,
2713000699,フリーダム創生,06-6327-4191,06-6327-5150,533-0004,大阪市東淀川区小松四丁目３番２８号　,社会福祉法人　身体障害者自立協会,○,○,○,○,25,○,2008/03/01,,
2713003156,まいくる,06-6829-7071,06-7507-2765,533-0004,大阪市東淀川区小松二丁目６番１２ー１０２号　 ,株式会社コラブル,○,○,○,○,20,,2024/06/01,,
2713000996,第２あすわーく,06-6326-9005,06-6326-9005,533-0013,大阪市東淀川区豊里4-12-6　新豊里ハイツ1F　,社会福祉法人　ひがしよどがわ福祉会,,○,,,6,,2012/04/01,あすわーく,
2713000616,デイサービス・Ｒｉｎ,06-6326-4441,06-6326-4442,533-0013,大阪市東淀川区豊里二丁目１番　新豊里団地４－１１３,有限会社　いちりん,○,○,,○,20,,2007/04/01,,
2713000996,あすわーく,06-6815-7166,06-6815-0255,533-0014,大阪市東淀川区豊新一丁目３番３号　,社会福祉法人　ひがしよどがわ福祉会,,○,,,36,,2012/04/01,,
2713000566,ワークセンター豊新,06-6990-8270,06-6990-8271,533-0014,大阪市東淀川区豊新二丁目７番３号　,社会福祉法人　水仙福祉会,,○,,,38,,2006/11/01,,
2713003016,多機能型事業所あおぞら,06-6379-3225,06-6379-3672,533-0022,大阪市東淀川区菅原六丁目１番１９号　レクシア淡路２０１・２０２号室,株式会社Ｎａｏｊｉ,○,○,○,○,10,○,2023/11/01,,
2713000822,障害者支援施設エフォール,06-6325-3315,06-6325-6086,533-0023,大阪市東淀川区東淡路一丁目４番４９号　,社会福祉法人　大阪自彊館,○,○,○,○,50,,2010/04/01,,
2713000012,ウィリッシュ,06-6320-1581,06-6321-3481,533-0023,大阪市東淀川区東淡路二丁目１５番１０号　ＦＪＳビル,社会福祉法人　路交館,○,○,○,○,28,○,2006/10/01,,
2713000871,西淡路希望の家,06-6323-4991,06-6323-4973,533-0031,大阪市東淀川区西淡路一丁目１３番２８号　,社会福祉法人　ノーマライゼーション協会,○,○,○,○,60,,2011/04/01,,
2713000798,ハニカム,06-6322-8206,06-6328-2947,533-0032,大阪市東淀川区淡路三丁目１３番３７号　,社会福祉法人　ノーマライゼーション協会,,○,,,50,,2010/04/01,,
2713001820,お気楽島,06-6195-2906,06-6195-2908,533-0032,大阪市東淀川区淡路四丁目２９番３号　 ,一般社団法人お気楽島,○,○,○,,20,,2018/09/01,,
2713001457,ケロケロワーク,06-6990-0860,06-6990-0870,533-0033,大阪市東淀川区東中島一丁目１３番４３号　新大阪第一ダイヤモンドマンション１階１０７号,株式会社　悠希,○,○,○,○,20,,2015/08/01,,
2711501235,ぱすてるＰＯＰ,06-6105-6305,06-7635-8752,537-0001,大阪市東成区深江北二丁目４番４号　中井ビル１階,株式会社ＰＯＰ,○,,,,15,○,2019/12/01,,
2711700290,ハーモニー,06-6972-8061,06-6972-8062,537-0003,大阪市東成区神路三丁目２番２０号　,社会福祉法人　清心会,,○,,,20,,2009/01/01,,
2711501862,生活介護カリス,06-6975-0015,06-6975-0056,537-0003,大阪市東成区神路三丁目１２番２４号　 ,一般社団法人ＬＭＯ協会,○,○,○,○,20,,2023/07/01,,
2711500393,東成工房,06-6976-7964,06-6976-7964,537-0011,大阪市東成区東今里二丁目１番１９号　西善ビル１・２階,特定非営利活動法人　東成精神障害者を支える会サラダ倶楽部,,○,○,,16,○,2012/03/01,,
2711501383,ふりーすぺーすＳＵＮ,06-6974-7703,06-6974-7703,537-0012,大阪市東成区大今里一丁目１０番２０号　 ,社会福祉法人大阪市手をつなぐ育成会,,○,,,20,,2021/04/01,,
2711500435,東成育成園,06-6981-0262,06-6981-0703,537-0014,大阪市東成区大今里西一丁目１番１５号　,社会福祉法人大阪市手をつなぐ育成会,,○,,,40,○,2011/04/01,,
2711501573,生活介護　心話ｃｏｃｏｗａ,06-6224-4822,06-6224-4822,537-0014,大阪市東成区大今里西二丁目５番１７号　 ,合同会社スリーエイト８８８,○,○,○,○,10,○,2022/03/01,,
2711500385,サラダぼーる,06-4259-2507,06-4259-2507,537-0014,大阪市東成区大今里西三丁目１７番１７号　サンコート今里１０１号,特定非営利活動法人　東成精神障害者を支える会サラダ倶楽部,,○,○,,6,○,2012/10/01,,
2711500211,支援センター中,06-6975-3380,06-6748-0336,537-0023,大阪市東成区玉津二丁目１１番２６号　 ,社会福祉法人　大阪手をつなぐ育成会,○,○,○,,20,○,2014/05/01,,
2711500732,ライフステーション　サンシャイン,06-6977-2997,06-6977-2998,537-0023,大阪市東成区玉津三丁目１１番６号　 ,一般社団法人サンシャイン,○,○,○,○,20,○,2015/04/01,,
2711501219,Ｎｅｘｔデイサービス,06-6975-7557,06-6975-7558,537-0024,大阪市東成区東小橋二丁目１０番２６号　リバーライズ東小橋Ⅱ１階,株式会社ＹｕｕｚＮｅｘｔ,○,○,○,○,15,,2019/10/01,,○
2711500740,デイセンターＳＫＥＴＣＨ,06-6973-8866,06-4981-3286,537-0025,大阪市東成区中道三丁目１３番６号　メゾネット相屋１Ｆ,株式会社　Ｆａｉｔｈ,○,○,○,○,20,,2015/05/01,,
2712204607,エミーナ,06-6747-9245, ,544-0001,大阪市生野区新今里一丁目１５番１８号　 ,株式会社ループ,,○,○,,20,,2024/11/01,,
2712201876,障害者日中活動センターいけいけ・こいこい,06-6754-9322,06-6754-9322,544-0001,大阪市生野区新今里二丁目８番７号　 ,特定非営利活動法人　障害者市民地域生活支援機構,○,○,○,○,20,,2015/04/01,,
2712202551,宅老所あおぞら,06-6751-2555,06-6224-7010,544-0002,大阪市生野区小路一丁目５番１６号　 ,一般社団法人藍天,○,,,○,10,,2018/08/01,,○
2712204219,デイサービスみかん,06-6752-2500,06-6751-8326,544-0002,大阪市生野区小路二丁目２番１７号　 ,株式会社みかん,○,○,○,○,20,,2024/01/01,,○
