事業所番号,事業所名称,事業所電話番号,事業所FAX番号,事業所郵便番号,事業所所在地,法人名称,主たる対象者：身体,主たる対象者：知的,主たる対象者：精神,主たる対象者：難病,利用定員,多機能の有無,指定日,主たる事業所名
2715201451,カムラック大阪,06-6924-7707,06-6924-7708,534-0002,大阪市都島区大東町一丁目１０番９号　大月アネックスビル２Ｆ,株式会社カムラック大阪,○,○,○,○,10,○,2022/09/01,
2710200623,フィール福島,06-6147-2688,06-6147-2689,553-0003,大阪市福島区福島五丁目１６番１５号　 ,株式会社フィール,○,○,○,○,14,○,2021/02/01,
2710200748,Ｂｌｅ,06-6443-5519, ,553-0003,大阪市福島区福島四丁目４番４３号　１階,株式会社ＰＥＰＯＴＢＥＮＤＳ,○,○,○,○,10,,2023/03/01,
2710200797,ケーラベーカリー野田,06-6391-8500,06-6152-7755,553-0006,大阪市福島区吉野三丁目１番　オーケー１２番街第１２区１号,株式会社　ラーカイラム,○,○,○,○,10,○,2024/03/01,
2710200755,ナレルワークス,06-6867-9600,06-6867-9601,553-0006,大阪市福島区吉野三丁目２２番１７－２０１号　 ,株式会社ナレルワークス,○,○,○,○,26,○,2023/09/01,
2712800693,釣具製作向上委員会,06-6616-8690,06-6616-8691,554-0012,大阪市此花区西九条三丁目７番１１号　日伸第三マンション１階,株式会社ジー・エヌ・オー,○,○,○,○,20,,2023/10/01,
2712800669,みんなのおしごと　西九条,06-6804-1217,06-4804-1218,554-0012,大阪市此花区西九条一丁目３番３７号　 ,株式会社サンエデュケーション,○,○,○,○,16,,2022/10/01,
2712800420,就労クリエイター　ＨＯＰＥ,06-6461-7787,06-6461-7787,554-0024,大阪市此花区島屋三丁目１０番１６号　島屋ビル１階,特定非営利活動法人ひまわり,○,○,○,○,14,,2016/10/01,
2712800321,舞洲フェルム,06-6136-7871,06-6136-7871,554-0042,大阪市此花区北港緑地二丁目１番１９号　 ,株式会社舞洲フェルム,○,○,○,,15,,2013/12/01,
2719403327,Ｍｉｒｒｉｍｅ,06-6450-5102,06-6450-5103,540-0003,大阪市中央区森ノ宮中央一丁目１４番１０号　鵲森ノ宮ハイツ３階,株式会社ＪＯＢ　ｃｏｎｎｅｃｔ,○,○,○,○,20,,2024/04/01,
2719403186,障がい者就労継続支援Ａ型事業所ピュシス,06-6910-2180,06-6910-2181,540-0003,大阪市中央区森ノ宮中央一丁目１６番１７－６０７号　 ,合同会社ピュシス,○,○,○,○,10,,2023/12/01,
2719402162,健美道　玉造,06-6767-2500,06-6767-2501,540-0004,大阪市中央区玉造二丁目９番８号　１階,有限会社　ファミリータイズ,○,○,○,○,15,,2020/10/01,
2719401297,（株）正栄Ｓｕｎワーク,06-6777-3100,06-6777-3111,540-0004,大阪市中央区玉造一丁目１３番４号　小林ビル６０１,株式会社正栄,○,○,○,○,20,,2016/07/01,
2719402907,エンパシー,06-6777-6502,06-6777-6512,540-0004,大阪市中央区玉造一丁目１４番２号　玉造ドリームビル３階,株式会社エンパシー,○,○,○,○,20,,2022/11/01,
2719403376,ほまれの家森ノ宮玉造,06-6718-6660,06-6718-6670,540-0004,大阪市中央区玉造一丁目１３番４号　小林ビル３０１号室,株式会社ひなたに咲くひまわり,○,○,○,○,20,○,2024/04/01,
2719402642,トレンドクリエイツ,06-6450-6669, ,540-0008,大阪市中央区大手前一丁目６番４号　リップル天満橋ビル８階,株式会社ｓｅｅｄ,○,○,○,○,20,,2022/02/01,
2719403145,クリエイティブビジョン,06-6379-5070, ,540-0008,大阪市中央区大手前一丁目６番８号　光養ビル４階,株式会社ｓｅｅｄ,○,○,○,○,20,,2023/10/01,
2719403616,デザイン　ラボ,06-6926-4401,06-6926-4402,540-0008,大阪市中央区大手前一丁目６番４号　はなビル８０１,株式会社ＥＮＪＯＹ　ＣＲＥＡＴＩＶＥ,○,○,○,○,20,,2024/10/01,
2719401255,バリューラボ　フクロウ,06-6244-9697,06-6942-9687,540-0012,大阪市中央区谷町二丁目２番２２号　ＮＳビル２Ｆ,一般社団法人ＦＵＫＵＲＯ,○,○,○,○,20,,2016/06/01,
2719402717,リベラーラ,06-6948-5435,06-6948-5436,540-0012,大阪市中央区谷町三丁目１番９号　ＭＧ大手前ビル２階,株式会社リベラーラ,○,○,○,○,20,,2022/04/01,
2719402550,ひゅーまんきゃんぱす,06-6776-2292,06-6776-2293,540-0013,大阪市中央区内久宝寺町四丁目３番８－５０２号　 ,株式会社ヒューマンキャンパス,○,○,○,○,20,,2021/11/01,
2719402964,フローラ谷四,06-6484-9011,06-6484-9012,540-0019,大阪市中央区和泉町一丁目１番１４号　シイナＨＤビル谷町３０１,株式会社エイトワークス浪速,○,○,○,○,20,,2023/04/01,
2719402618,イオンサポート,06-6949-1616,06-6949-1617,540-0021,大阪市中央区大手通三丁目３番６号　本町橋ビル２階,株式会社イオンサポート,○,○,○,○,20,,2022/02/01,
2719401479,株式会社リーパス・オフィスサポート徳井町,06-6920-1518,06-6920-1519,540-0025,大阪市中央区徳井町二丁目２番９号　米澤ビル徳井町３０１号,株式会社リーパス・オフィスサポート,○,○,○,○,20,,2017/07/01,
2719400737,クィーンビー,06-6946-9191,06-6946-9192,540-0026,大阪市中央区内本町一丁目３番１０号　内本町ビューハイツ２Ｆ,株式会社ハニービー,○,○,○,,20,,2014/03/01,
2719402378,レーヴ,06-6940-0877,06-6940-0879,540-0026,大阪市中央区内本町一丁目２番１４号　秀和ビル１０階,株式会社レーヴ,○,○,○,○,20,,2021/05/01,
2719401214,リアン内本町,06-6585-0837,06-4790-7288,540-0026,大阪市中央区内本町一丁目２番８号　ＴＳＫビル１０階,ＮＰＯ法人リアン,○,○,○,○,20,,2016/03/01,
2719401214,リアン内本町,06-6585-0837,06-4790-7288,540-0026,大阪市中央区内本町一丁目２番１３号　ＴＳＫビル１０階,ＮＰＯ法人リアン,○,○,○,○,10,,2016/03/01,リアン内本町
2719402956,ＺＺＺ　ＷＯＲＫＳ,06-4397-4266,06-4397-4267,540-0027,大阪市中央区鎗屋町二丁目２番９号　ＲＥ－ＬＡＢ大阪中央ビル４階,株式会社Ｚ．Ｚ．Ｚ,○,○,○,○,20,,2023/02/01,
2719400604,ハニービー,06-6920-8282,06-6920-8283,540-0028,大阪市中央区常盤町一丁目４番９号　 ,株式会社ハニービー,○,○,○,,20,,2013/05/01,
2714401607,なかの屋,06-6180-4200,06-6180-4210,540-0032,大阪市中央区天満橋京町１－２３　サンシステム天満橋ビル８階,一般社団法人なかの屋,○,,○,○,20,,2017/01/01,
2719401958,なかの屋　天満橋,06-6945-0381,06-6945-0382,540-0032,大阪市中央区天満橋京町１番２３号　サンシステム天満橋ビル７Ｆ,一般社団法人なかの屋天満橋,○,○,○,○,20,,2019/08/01,
2719402402,なかの屋　釣鐘町,06-6947-0309,06-6947-0319,540-0035,大阪市中央区釣鐘町一丁目１番１１号　ＭＪビル６階,一般社団法人なかの屋釣鐘町,○,○,○,○,20,,2021/06/01,
2719402394,はるとぴあ北浜,06-6231-0232,06-4256-3311,541-0041,大阪市中央区北浜一丁目３番２号　日宝北浜アークビル２Ｆ,一般社団法人アクセプト,○,○,○,○,16,,2021/06/01,
2719401206,リールスジョブ北浜,06-6229-1421,06-6229-1621,541-0046,大阪市中央区平野町一丁目８番１１号　ルート北浜ビル８Ｆ,株式会社たのしい職場,○,○,○,○,20,,2016/03/01,
2719401289,スプリングス,06-4708-7410,06-4708-7411,541-0046,大阪市中央区平野町一丁目５番１１号　１０Ｆ,アクセプト株式会社,○,○,○,○,20,,2016/06/01,
2719402535,リリーフ,090-3997-4134, ,541-0046,大阪市中央区平野町二丁目３番１１号　北浜ＮＫビル３階,株式会社レジリエンス,○,○,○,○,20,,2021/11/01,
2719403582,リファイン,06-6732-8787,06-6732-8786,541-0046,大阪市中央区平野町二丁目３番１１号　北浜ＮＫビル５階,株式会社レジリエンス,○,○,○,○,10,,2024/09/01,
2719401818,ｕ　Ｗｉｎｇ,06-4706-1101,06-4706-1102,541-0051,大阪市中央区備後町一丁目５番１６号　ロータスビル５階,合同会社フォレストガンプ,○,○,○,○,20,,2019/02/01,
2711801031,ＮＯＡＨ,06-6226-8953,06-4708-7381,541-0051,大阪市中央区備後町三丁目３番１１号　 ,株式会社ＮＯＡＨ,○,○,○,○,20,,2020/11/01,
2719402634,フェニックスサポート,06-6210-2666,06-6210-2667,541-0053,大阪市中央区本町一丁目２番１号　本町リバーサイドビル３階,株式会社フェニックス,○,○,○,○,20,,2022/02/01,
2719403699,Ｎｅｃｏ,080-7119-1371,06-6532-9025,541-0053,大阪市中央区本町一丁目１番３号　本町橋西ビル８階,ＮＰＯ法人環境技術研究所,○,○,○,○,10,,2024/12/01,
2719402683,メビウス本町,06-4705-7575,06-4705-7576,541-0054,大阪市中央区南本町二丁目１番１４号　太陽マークビル３階,株式会社インフィニティ,○,○,○,○,20,,2022/04/01,
2719403343,就労継続支援Ａ型事業所あずわん,06-4256-2735,06-4256-2736,541-0054,大阪市中央区南本町三丁目３番２２号　ＷＥＡＶＥ　ＨＯＮＭＡＣＨＩ７階,株式会社アズワン企画,○,○,○,○,20,,2024/04/01,
2719403350,就労支援センター　ハーテス本町,06-6266-3131,06-6266-3130,541-0054,大阪市中央区南本町二丁目１番１号　本町サザンビル９０１号,ライフワーク株式会社,○,○,○,○,20,,2024/04/01,
2719401701,ポピー,06-4963-3404,06-4963-3405,541-0054,大阪市中央区南本町一丁目３番２１号　トウマビル６０２号,特定非営利活動法人ワンフラット,○,○,○,○,20,,2018/05/01,
2719401651,ＨＯＰＥワークス本町,06-6251-2255,06-6251-2277,541-0056,大阪市中央区久太郎町四丁目２番１５号　岡地ビル４Ｆ,ホープ社会事業協同組合,○,○,○,○,20,,2018/03/01,
2719401156,チャレンジアップ堺筋本町,06-6226-7741,06-6226-7781,541-0058,大阪市中央区南久宝寺町一丁目９番８号　ダイキビル５階,一般社団法人ビーコムサポート,○,○,○,○,20,,2016/01/01,
2719402089,チャレンジアップ　南久宝寺,06-4256-3777,06-6226-7781,541-0058,大阪市中央区南久宝寺町二丁目１番９号　船場メディカルビル６階,一般社団法人ビーコムサポート,○,○,○,○,20,,2020/06/01,
2719402063,就労継続支援事業所　リレー,06-6484-6117,06-6484-6127,541-0058,大阪市中央区南久宝寺町二丁目４番１０号　４０２,一般社団法人ニュースタート,,○,○,,10,○,2020/04/01,
2719402196,ＲＩＴＡＲＭ,06-4708-7576,06-4708-7550,541-0058,大阪市中央区南久宝寺町四丁目６番１０号　南久宝寺ＦＵＫＵＥ　Ｂ．Ｌ．７階,ＮＰＯ法人　ＲＩＴＡＲＭ,○,○,○,○,10,○,2022/10/01,
2719400901,わーくぷらす,06-7878-6806,06-6263-3661,541-0059,大阪市中央区博労町一丁目７番７号　中央博労町ビル７階７０４号,合同会社わーくぷらす,○,○,○,○,20,,2014/12/01,
2719401560,エナベル長堀橋,06-4256-4761,06-4256-4762,541-0059,大阪市中央区博労町一丁目７番７号　中央博労町ビル８０４号室,株式会社エナベルグループ,○,○,○,○,10,○,2017/10/01,
2719402311,ＷＥＬＬ　ＷＯＲＫ,06-6251-7777,06-6251-7776,541-0059,大阪市中央区博労町二丁目６番７号　東邦ビル５０１号室,ＷＥＬＬ　ＷＯＲＫ株式会社,○,○,○,○,10,○,2021/03/01,
2719400810,フローラⅡ,06-6191-8080,06-6191-8081,542-0012,大阪市中央区谷町九丁目１番１８号　アクセス谷町ビル８Ｆ,株式会社エイトワークス浪速,○,○,○,,20,,2014/08/01,
2719400596,シータ,06-4302-4907,06-4302-4908,542-0012,大阪市中央区谷町七丁目１番３９号　新谷町第二ビル３１４,株式会社バレーコード,○,○,○,,20,,2013/05/01,
2719402329,Ｍｉｌｌｅ－Ｆｅｕｉｌｌｅ,06-6191-1369,06-6191-3369,542-0012,大阪市中央区谷町九丁目１番１８号　アクセス谷町５－Ａ,株式会社ＭＩＬＫ,○,○,○,○,20,,2021/03/01,
2719401586,イング,06-6711-0395,06-6711-0396,542-0064,大阪市中央区上汐二丁目３番１０号　上汐Ｌｅｅｓビル４Ｆ,ライジングフード株式会社,○,○,○,○,20,,2017/12/01,
2719402733,あいあいわーく,06-6599-8400,06-6684-8540,542-0073,大阪市中央区日本橋一丁目１７番１７号　ピカソ日本一ビル５０３号,株式会社Ｔｉｅａｓｙ,○,○,○,○,20,,2022/04/01,
2719403293,ドラスタなんば校,06-6647-2024, ,542-0075,大阪市中央区難波千日前８番１２号　６Ｆ,株式会社日本就労支援ネットワーク,○,○,○,○,20,,2024/03/01,
2719401610,チャレンジアップ　長堀橋,06-6210-5952,06-6210-5962,542-0081,大阪市中央区南船場二丁目４番２０号　大阪福谷ビル４Ｆ,一般社団法人ビーコムサポート,○,○,○,○,20,,2018/03/01,
2719400851,ビジネス・ライフデザイン,06-4705-8358,06-4705-9358,542-0081,大阪市中央区南船場二丁目６番１０号　 ,ビジネス・ライフデザイン株式会社,○,○,○,○,20,,2014/10/01,
2719401461,ぐろーあっぷ,06-7777-2770,06-4963-3575,542-0081,大阪市中央区南船場二丁目３番６号　第一住建長堀橋駅前ビル４０４号室,株式会社Ｇｒａｎｄ　Ｐｏｉｎｔｓ,○,○,○,○,19,,2017/05/01,
2719402147,ｅｓｐｏ！長堀橋,06-6266-2222,06-6266-2220,542-0081,大阪市中央区南船場一丁目３－９　ＴＡＢＩＹＡＤＯＢＬＤＧ心斎橋４０１号室,合同会社ケアマインド,○,○,○,○,20,,2020/09/01,
2719402253,未来　南船場,06-4256-3240,06-4256-3241,542-0081,大阪市中央区南船場三丁目２番２２－２０６号　 ,株式会社未来工房,○,○,○,○,20,,2021/01/01,
2719403590,ｐａｌｅｔｔｅ,06-4302-5521,06-4302-5520,542-0081,大阪市中央区南船場一丁目１３番１４号　南船場スクエアビル９０２号,株式会社ｐａｌｅｔｔｅ,○,○,○,,10,,2024/09/01,
2719400893,クローマ,06-6210-4718,06-6210-4719,542-0082,大阪市中央区島之内一丁目２２番２２号　第一住建島之内堺筋ビル９０３号,株式会社バレーコード,○,○,○,○,20,,2014/11/01,
2719402485,ネオワークス　長堀橋,06-4256-0661,06-4256-0663,542-0082,大阪市中央区島之内一丁目１３番３号　おおきに東心斎橋ビル３０２号室,株式会社ネオワークス,○,○,○,○,20,,2021/10/01,
2711800637,わーくさぽーとあたらし,06-6441-3777,06-6441-3701,550-0002,大阪市西区江戸堀一丁目２３番１３‐５０１号　 ,合同会社あたらし,○,○,○,○,20,,2015/03/01,
2711801247,キャリアコンパス,06-6448-3500,06-6448-3500,550-0002,大阪市西区江戸堀一丁目８番２２号　フォーラムスクエアビル６Ｆ,ＹＳ株式会社,○,○,○,○,20,,2023/07/01,
2711800793,てくにかるさぽーとあたらし,06-6449-3737,06-6449-3770,550-0003,大阪市西区京町堀一丁目１２番９号　プロト大阪ビル４階Ａ,合同会社あたらし,○,○,○,○,10,,2017/06/01,
2711801221,Ｋａｔａｋ　Ｋａｔａｋ,06-6867-7366,06-6867-7388,550-0003,大阪市西区京町堀一丁目３番３号　肥後橋パークビル６Ｆ,株式会社ＫＩＨＡＣＨＩ,○,○,○,○,20,,2023/04/01,
2711800611,Ｓｏ－Ｔｅｎ靭,06-6136-7761,06-6136-8167,550-0004,大阪市西区靱本町二丁目９番７号　岡崎橋ビル１００１,一般社団法人ｂｒｏｔｈｅｒｓ,○,○,○,,10,○,2015/06/01,
2711801239,就労継続支援Ａ型事業所ｎｉｄ,06-6467-8202,06-6486-9023,550-0004,大阪市西区靱本町一丁目９番１５号　近畿富山会館ビル９階,株式会社おうちカンパニー,○,○,○,○,20,○,2023/04/01,
2711800801,てあてる,06-4391-3393,06-4391-3393,550-0005,大阪市西区西本町三丁目１番１４号　松屋レジデンス１Ｆ,株式会社テアテル,○,○,○,○,20,,2017/09/01,
2711801353,ｅｉｇｈｔ本町,06-6536-8488,06-6536-8646,550-0011,大阪市西区阿波座一丁目１２番１７号　ＰＭＯ四ツ橋本町２階,ｅｉｇｈｔ株式会社,○,○,○,○,20,,2024/04/01,
2711800991,ロジックラボ,06-6585-9813,06-6585-9812,550-0012,大阪市西区立売堀一丁目１１番１７号　スギタビル６階,株式会社テクリオ,○,,○,○,10,○,2019/12/01,
2711801163,えにぽ,06-6539-7555,06-6539-7557,550-0012,大阪市西区立売堀五丁目６番１５号　 ,株式会社えにぽ,○,○,○,○,20,,2022/11/01,
2711801338,ポラリス,06-6964-8231,06-6964-8232,550-0012,大阪市西区立売堀五丁目６番１５号３Ｆ　 ,株式会社ポラリス,○,○,○,○,20,,2024/03/01,
2711801460,キャリアナビ,06-7166-3834,06-7632-4367,550-0013,大阪市西区新町一丁目５番７号　四ツ橋ビルディング,株式会社キャリアコンパス,○,○,○,○,20,,2024/08/01,
2711800785,ポリフォニー,06-4395-5881,06-4395-5882,550-0015,大阪市西区南堀江三丁目１２番２３号　不二建物西長堀ビル５０２,一般社団法人ダイアロゴス,○,○,○,○,10,○,2017/06/01,
2714300387,就労創造センターせふぃろと分室,06-6562-7735,06-6643-9563,550-0015,大阪市西区南堀江三丁目１２番２１号　旭ビル３階,株式会社　ソーシャルプランニング流,○,○,○,○,10,,2010/05/01,就労創造センターせふぃろと
2711800801,てあてる,06-6563-9088,06-6563-9088,550-0023,大阪市西区千代崎一丁目５番１１号　,株式会社テアテル,○,○,○,○,10,,2017/09/01,てあてる
2710400934,Ｂｅ　Ｈａｐｐｙ　アドバンス,06-6586-6896,06-6586-6899,552-0002,大阪市港区市岡元町一丁目１番３３号　 ,一般社団法人ＫＩＺＵＮＡ,○,○,○,○,20,,2021/04/01,
2710401015,レイモンドＢＫ弁天町,06-6710-9944,06-6351-8507,552-0007,大阪市港区弁天一丁目２番４号　大阪ベイタワーウエスト２Ｆ,社会福祉法人檸檬会,○,○,○,○,20,,2022/05/01,
2712700901,つかさや,06-6551-0031,06-6551-0021,551-0002,大阪市大正区三軒家東一丁目１４番７号　中善大正ハイツ１階１Ｄ号室,株式会社ｃｏｃｏｍｉｔａ,,○,○,,13,,2022/04/01,
2712700778,もぐら,06-6556-3355,06-6556-3356,551-0003,大阪市大正区千島二丁目２番３６号　 ,株式会社Ｏｎｅ’ｓ　Ｐｌａｃｅ,○,○,○,○,10,○,2019/05/01,
2711700720,ロンデラン,06-6777-1522,06-6777-1522,543-0001,大阪市天王寺区上本町五丁目７番１８号　西川ビル５０３,一般社団法人パピヨン,○,○,○,○,20,,2015/08/01,
