通番,事業所名称,電話番号,FAX番号,事業所郵便番号,事業所所在地,法人名称,主たる対象者：身体,,,,利用定員,多機能の有無,主たる事業所名
22,ぽこあぽこＤ,06-4309-5811,06-4309-5821,577-0816,大阪府東大阪市友井二丁目３０番２１号,株式会社 コスモカルテット,○,○,○,○,20,,
23,生活介護・就Ｂ パラトレ,06-6748-0297,06-6748-0298,577-0817,大阪府東大阪市近江堂二丁目６番４号新栄プロパティー近江堂２Ｂ号室,株式会社 ｂｒｉｄｇｅｃｒｏｓｓ,○,○,○,○,20,○,
24,クローバー,06-6736-3243,06-6736-3243,577-0824,大阪府東大阪市大蓮東二丁目１番９号,特定非営利活動法人 未来,,○,○,,20,,
25,蓮Ⅱ,06-6727-8861,06-6727-8862,577-0832,大阪府東大阪市長瀬町二丁目１３番１０号,社会福祉法人 草の根共生会,○,○,○,○,20,,
26,アトリエからふる,090-6354-9540,,577-0832,大阪府東大阪市長瀬町一丁目１番３０号,合同会社 アウトサイダーアート,○,○,○,○,20,,
27,東大阪わかば,06-6726-7753,06-6726-7766,577-0833,大阪府東大阪市柏田東町２番４号,ＮＰＯ法人 東大阪わかば,,○,,,8,○,
28,蓮（れん）,06-6729-9056,06-6736-5105,577-0835,大阪府東大阪市柏田西三丁目９番２号,社会福祉法人 草の根共生会,○,○,○,○,20,,
29,ＲＫひがしおおさか しぶかわ,06-6726-0884,06-6726-0885,577-0836,大阪府東大阪市渋川町二丁目１３番６号,るけな 株式会社,○,○,○,○,20,,
30,ＲＫひがしおおさか きしだどう,06-6722-8883,06-6722-8885,577-0837,大阪府東大阪市寿町三丁目２１番２９号,るけな 株式会社,○,○,○,○,20,,
31,ベストサポート,06-6730-3311,06-6732-4073,577-0837,大阪府東大阪市寿町一丁目９番１４号,特定非営利活動法人 ベストサポート東大阪,○,○,○,○,9,○,
32,障がい児者総合福祉施設ノーサイド,06-6736-1515,06-6736-1516,577-0843,大阪府東大阪市荒川二丁目８番２６号,株式会社 ノーサイド,○,○,○,○,20,,
33,アトリエライプハウス,06-7161-7624,06-7161-7624,577-0843,大阪府東大阪市荒川三丁目８番８号,株式会社 ライプハウス,○,○,○,○,20,,
34,サンライズ,06-6753-8180,06-4306-3744,577-0845,大阪府東大阪市寺前町一丁目８番２号,株式会社 真摯会,○,○,○,○,20,,
35,あおぞらつぐみの家,072-872-9211,072-872-9212,578-0901,大阪府東大阪市加納五丁目１２番２５号,社会福祉法人 あおぞらつぐみ福祉会,○,○,○,○,20,,
36,障害福祉さぽーとライフグリーン,072-963-4838,072-963-4855,578-0905,大阪府東大阪市川田四丁目４番８号,社会福祉法人 ヤンググリーン,○,○,○,○,30,,
37,わかば,072-960-5100,072-960-5111,578-0905,大阪府東大阪市川田三丁目４番２号,社会福祉法人 若草会,○,○,○,○,30,,
38,クリエイティブハウス「パンジーⅡ」,072-960-3610,072-960-3613,578-0911,大阪府東大阪市中新開二丁目１１番２０号,社会福祉法人 創思苑,○,○,○,○,30,○,
39,クリエイティブハウス「パンジーⅢ」,072-968-1615,072-968-1617,578-0911,大阪府東大阪市中新開二丁目１０番１６号,社会福祉法人 創思苑,○,○,○,○,30,,
40,フレンズ,06-6725-0568,06-6722-7761,578-0935,大阪府東大阪市若江東町二丁目１番６号,特定非営利活動法人 ぱあとなぁ,○,○,○,○,30,,
41,花園生活支援センター,072-966-8014,072-960-3019,578-0941,大阪府東大阪市岩田町二丁目１番３３号アルカディア弐番館,一般社団法人 つどい,,,○,,14,○,
42,Ｌｅ ｌｉｅｎ～ル・リアン,072-976-4701,072-976-4702,578-0941,大阪府東大阪市岩田町五丁目２番３６号,合同会社 なないろの絆,○,○,○,,20,,
43,生活支援センターえ～る,072-970-6597,072-970-6598,578-0941,大阪府東大阪市岩田町五丁目７番１３号,有限会社 ＭＡＫＩＭＯＴＯ,○,○,○,○,20,,
44,新星,072-927-3279,072-921-3335,578-0941,大阪府東大阪市岩田町五丁目８番１３号,特定非営利活動法人 いちばん星,○,○,○,○,10,○,
45,とうふく,06-6789-7272,06-6789-7271,578-0947,大阪府東大阪市西岩田四丁目９番８号,社会福祉法人 青山会,,○,,,16,○,
46,すずらん,06-4306-3139,06-4306-3139,578-0947,大阪府東大阪市西岩田二丁目６番２５号,ＮＰＯ法人 虹の会,○,○,○,○,10,○,
47,和音堂,06-6783-1687,06-6788-4190,578-0948,大阪府東大阪市菱屋東三丁目５番４１号,社会福祉法人 インクルーシヴライフ協会,○,○,○,○,21,○,
48,ＣｉｅＬ,06-6753-7297,06-6753-7298,578-0948,大阪府東大阪市菱屋東三丁目２番２４号,社会福祉法人 インクルーシヴライフ協会,○,○,○,○,40,,
49,ぽこあぽこＥ,072-934-6913,072-951-6429,578-0955,大阪府東大阪市横枕南１番１０号,株式会社 コスモカルテット,○,○,○,○,20,,
50,いきいきクラブあさひ,06-7182-6579,06-4977-2475,578-0971,大阪府東大阪市鴻池本町９番２０号,一般社団法人 あさひ,○,○,○,,20,,
51,ライフケアとらすと,06-6746-1717,06-6746-1719,578-0971,大阪府東大阪市鴻池本町１番２２号,株式会社 トラスト,,○,○,,20,,
52,若草園,072-975-6182,072-975-6172,578-0973,大阪府東大阪市東鴻池町二丁目４番３３号,社会福祉法人 若草会,○,○,○,○,40,,
53,クリエイティブハウス「パンジー」,072-963-8818,072-963-8825,578-0973,大阪府東大阪市東鴻池町二丁目４番８号,社会福祉法人 創思苑,○,○,○,○,30,,
54,ｏｎｅ ｌｉｎｋ,休止中,休止中,578-0982,大阪府東大阪市吉田本町三丁目８番５号ボナンサ東野Ⅱ １０１,株式会社 ｓｔｏｃ９,○,○,○,○,20,,
55,えいじいくらふと,072-984-5058,072-984-9026,579-8001,大阪府東大阪市善根寺町四丁目５番４号,社会福祉法人 育永会,,○,,,6,○,
56,ほたる,072-981-5200,072-981-5201,579-8003,大阪府東大阪市日下町七丁目３番５７号,社会福祉法人 あおぞらつぐみ福祉会,○,○,○,○,20,,
57,デイサービス Ｃｕｂｅ くさか,072-921-1666,072-921-1674,579-8003,大阪府東大阪市日下町三丁目７番１６号,株式会社 メディプラン,○,○,○,○,18,,
58,ハピネスデイ憩,072-986-8317,072-986-8318,579-8003,大阪府東大阪市日下町七丁目３番４９号,株式会社 セルヴィス,○,○,○,○,18,,
59,活動センターいっぽ,072-986-1700,072-986-1700,579-8004,大阪府東大阪市布市町四丁目１番３２号,特定非営利活動法人 活動センターいっぽ,○,○,○,○,16,,
60,サンプレイスひびき,072-984-2302,072-984-8446,579-8012,大阪府東大阪市上石切町二丁目３０番１５号,社会福祉法人 ひびき福祉会,○,○,○,○,25,,
61,ぽこあぽこ,072-970-6831,072-970-6832,579-8014,大阪府東大阪市中石切町二丁目１番４７号,株式会社 コスモカルテット,○,○,○,○,20,,
62,ｏｎｅ ｌｉｎｋ＋,072-980-9922,072-980-9923,579-8036,大阪府東大阪市鷹殿町２２番４３号,株式会社 ｓｔｏｃ９,○,○,○,○,10,,
63,なかよし,072-984-2435,072-984-2436,579-8046,大阪府東大阪市昭和町５番１０号,社会福祉法人 枚岡福祉会,○,○,○,○,24,,
64,なかよし分場,072-982-7626,072-982-7626,579-8036,大阪府東大阪市鷹殿町１４番１７号,社会福祉法人 枚岡福祉会,○,○,○,○,6,従,なかよし
65,優＆遊,072-940-6551,072-968-7624,579-8047,大阪府東大阪市桜町５番４号,ＮＰＯ法人 Ｃｈｅｒｉ,,○,○,,20,,
66,第二東福,072-986-8685,072-986-8684,579-8048,大阪府東大阪市旭町２０番２号,社会福祉法人 青山会,,○,,,40,,
67,ふぁんとぅりぃ,072-900-2661,072-921-6389,579-8048,大阪府東大阪市旭町２０番２２号弥生マンション１０３,ＮＰＯ法人 ふぁんじゅーる,○,○,○,○,10,○,
68,夢の木,072-987-0605,072-987-0606,579-8053,大阪府東大阪市四条町１０番２２号,ＮＰＯ法人 夢,○,○,○,○,20,,
69,うぃんぐ,072-968-7920,072-968-7921,579-8056,大阪府東大阪市若草町９番２１号,社会福祉法人 枚岡福祉会,○,○,○,○,40,,
70,東福六万寺,072-984-2946,072-984-2947,579-8061,大阪府東大阪市六万寺町一丁目１６番１７号,社会福祉法人 青山会,,○,,,40,,
71,デイサービスひのき,072-968-8680,072-968-8790,579-8061,大阪府東大阪市六万寺町二丁目７番４１号,株式会社 令和,○,○,○,○,,,
72,ＯＳＪ工房 よりそいの丘,072-987-4218,072-987-4220,579-8062,大阪府東大阪市上六万寺町１３番４７号,社会福祉法人 大阪府社会福祉事業団,○,○,○,○,20,○,
73,四季の森なごみ,072-920-4500,072-920-4501,579-8063,大阪府東大阪市横小路町四丁目１０番２８号,社会福祉法人 恵生会,○,○,○,○,102,,
74,さくらんぼ,072-981-6345,072-981-6345,579-8063,大阪府東大阪市横小路町一丁目２番６５号,株式会社 Ｂｏｏｔ,○,○,○,○,20,,
75,ＣＬＡＮ東大阪,072-970-6226,072-970-6229,579-8064,大阪府東大阪市池島町三丁目１２番２８号,株式会社 ＣＬＡＮ,○,○,○,○,20,,
76,ぱずる,072-920-7767,072-920-7767,579-8065,大阪府東大阪市新池島町二丁目２０番３６号,株式会社 アシスト,○,○,○,○,20,,
77,生活介護 Ｌｕｃａ’ｓ ｈｏｕｓｅ,072-943-2400,072-940-7878,579-8066,大阪府東大阪市下六万寺町一丁目２番１８号,株式会社 アール・ジェイ・エス,○,○,○,○,20,,
