通番,事業所名称,電話番号,FAX番号,事業所郵便番号,事業所所在地,法人名称,身体,知的,精神,難病,,,
49,生活介護・就Ｂ パラトレ,06-6748-0297,06-6748-0298,577-0817,大阪府東大阪市近江堂二丁目６番４号新栄プロパティー近江堂２Ｂ号室,株式会社 ｂｒｉｄｇｅｃｒｏｓｓ,○,○,○,○,10,○,
50,就労継続支援Ｂ型 あお,06-4308-5161,06-4308-5164,577-0817,大阪府東大阪市近江堂二丁目６番４号２Ａ,株式会社 あゆむ,○,○,○,○,20,,
51,ぴあ,06-6729-3437,06-6729-3439,577-0818,大阪府東大阪市小若江一丁目２番７号,株式会社 ぴあ東大阪,○,○,○,○,20,,
52,就労継続支援サービス ｂｅ ｆａｉｒ,06-6753-8756,06-6753-8792,577-0818,大阪府東大阪市小若江一丁目１６番１号,ＮＰＯ法人 心源喜,○,○,○,○,20,,
53,ワークサポート匠海,06-6224-3382,06-6224-3950,577-0823,大阪府東大阪市金岡四丁目１３番３号,株式会社 リアン,○,○,○,○,20,,
54,ケイズ,080-3112-0676,,577-0823,大阪府東大阪市金岡四丁目１０番１６号,合同会社 ケイズ,○,○,○,○,20,,
55,アミューデイズおおはす,06-7494-7240,06-7500-9981,577-0825,大阪府東大阪市大蓮南四丁目１６番２５号,一般社団法人 アミュー,○,○,○,○,10,○,
56,ハートスクエア,06-6726-5633,06-6736-5634,577-0826,大阪府東大阪市大蓮北三丁目１７番３７号,社会福祉法人 ハートケア東大阪,,,○,,20,,
57,東大阪わかば,06-6726-7753,06-6726-7766,577-0833,大阪府東大阪市柏田東町２番４号,ＮＰＯ法人 東大阪わかば,,○,,,12,○,
58,ベストサポート,06-6730-3311,06-6732-4073,577-0837,大阪府東大阪市寿町一丁目９番１４号,特定非営利活動法人 ベストサポート東大阪,○,○,○,○,11,○,
59,リカバリースペースみーる,06-6732-3210,06-4307-5666,577-0841,大阪府東大阪市足代三丁目１番２２号,一般社団法人 みーる,○,○,○,○,10,○,
60,ラブリー就労継続支援Ｂ型,06-4309-8344,06-4309-8345,577-0841,大阪府東大阪市足代二丁目３番６号橋本ビル９Ｆ－Ｂ,特定非営利活動法人 芳聖会,○,○,○,○,20,,
61,ミライエ布施,06-6726-7066,06-6726-7077,577-0842,大阪府東大阪市足代南一丁目１２番８号,株式会社 ミライエ,○,○,○,○,20,,
62,悠里の家,06-6753-8343,06-6753-8344,577-0843,大阪府東大阪市荒川三丁目１番２９号,株式会社 ＹＹｌｉｆｅ,○,○,○,○,20,,
63,おしくらまんじゅう,06-6753-8418,06-6753-8071,577-0843,大阪府東大阪市荒川二丁目３番４号,株式会社 きづな,○,○,○,○,20,,
64,Ｇフレンズ,06-4308-4086,06-4308-4011,577-0844,大阪府東大阪市太平寺二丁目１番３２号,株式会社 グローバルジョイント,○,○,○,○,20,,
65,ルミナス,06-6785-7361,06-6785-7361,577-0844,大阪府東大阪市太平寺二丁目２番２１号,合同会社 ＫＡＹＡＫ,○,○,○,○,20,,
66,芽（めぐむ）,06-4307-4767,06-4307-4867,577-0847,大阪府東大阪市岸田堂南町４番１９号,合同会社 櫻結,○,○,○,○,20,,
67,Ｄｏｎｔｏｍワークス東大阪店,072-975-5033,072-975-6603,578-0901,大阪府東大阪市加納七丁目９番１５号,株式会社 ＡＴＳ,○,○,○,○,33,,
68,株式会社たんぽぽ,072-974-2266,072-974-2266,578-0903,大阪府東大阪市今米一丁目１４番５６号サンローズ吉田,株式会社 たんぽぽ,○,○,○,○,20,,
69,一歩ワークス,072-970-5519,072-970-5537,578-0903,大阪府東大阪市今米二丁目７番６号,合同会社ココロワークス,○,○,○,,20,,
70,若草工房,072-960-5400,072-960-6300,578-0904,大阪府東大阪市吉原二丁目３番１２号,社会福祉法人 若草会,○,○,○,○,20,○,
71,障がい福祉サポートネットＮｉｎｅ吉原公園前,080-1482-7192,0729-73-8886,578-0904,大阪府東大阪市吉原二丁目３番４５号パークロイヤル１０３号室,阪南化成株式会社,○,○,○,○,20,,
72,エール,072-921-9090,072-927-1250,578-0905,大阪府東大阪市川田一丁目８番２８号,特定非営利活動法人 地域共生ネットワークえーる,○,○,○,○,20,,
73,まつりのさと,072-927-6787,072-927-6757,578-0911,大阪府東大阪市中新開一丁目６番２８号,一般社団法人 まつり,○,○,○,○,20,,
74,みらい工房,072-968-8861,072-968-8882,578-0924,大阪府東大阪市吉田七丁目２番３１号,株式会社 みらい工房,○,○,○,○,20,,
75,ワークプラザ花園,072-983-5255,072-983-5265,578-0924,大阪府東大阪市吉田三丁目１２番１１号,株式会社 ウイルワン,○,○,○,○,20,,
76,はっぴぃプラザ,072-966-0009,072-966-0101,578-0924,大阪府東大阪市吉田八丁目６番６４号,特定非営利活動法人 はっぴぃ２１福祉会,○,○,○,○,20,,
77,リサイクルショップはっぴぃ,072-921-3726,072-921-3726,578-0931,大阪府東大阪市花園東町一丁目1番22号,特定非営利活動法人 はっぴぃ２１福祉会,○,○,○,○,10,従,はっぴぃプラザ
78,ルツ,072-962-4424,072-962-4424,578-0924,大阪府東大阪市吉田七丁目９番３５号,特定非営利活動法人 ルツ,,,○,○,20,,
79,つむぎ工房,072-968-9861,072-968-9862,578-0931,大阪府東大阪市花園東町一丁目２０番１号,株式会社 みらい工房,○,○,○,○,20,,
80,ひだまり,072-970-5955,072-970-5955,578-0932,大阪府東大阪市玉串町東一丁目３番２８号,一般社団法人 陽だまりの丘,,○,○,,20,,
81,アルファステップ,06-6753-7398,06-6753-7399,578-0935,大阪府東大阪市若江東町六丁目９番４７号２Ｆ,合同会社 青空,○,○,○,,20,,
82,あかり工房,072-968-7861,072-968-7862,578-0937,大阪府東大阪市花園本町一丁目１番３８号フレックス花園,株式会社 みらい工房,○,○,○,○,20,,
83,障がい者支援センターゆず,072-921-4030,072-921-4030,578-0941,大阪府東大阪市岩田町五丁目１１番８号,特定非営利活動法人 オレンジ,○,○,○,○,20,,
84,新星,072-927-3279,072-921-3335,578-0941,大阪府東大阪市岩田町五丁目８番１３号,特定非営利活動法人 いちばん星,○,○,○,○,10,○,
85,超新星,072-921-9259,072-926-4695,578-0941,大阪府東大阪市岩田町五丁目８番２１号,特定非営利活動法人 いちばん星,○,○,○,○,20,,
86,リサイクルラン,06-6720-7734,06-6720-7734,578-0942,大阪府東大阪市若江本町一丁目１番３５号ハイマート若江１０８号・１０９号,ＮＰＯ法人 虹の会,○,○,○,○,10,○,
87,エステル障害福祉サービスセンター,06-6723-8434,06-6723-8444,578-0942,大阪府東大阪市若江本町二丁目２番１号ＧＬマンション１階,特定非営利活動法人 ふよう福祉会,,○,○,○,20,,
88,ティンカーベル,06-4309-5791,06-4309-5792,578-0942,大阪府東大阪市若江本町一丁目５番３１号,特定非営利活動法人 輪,○,○,○,○,40,,
89,夢織り工房空の木,06-6105-5481,06-6105-5482,578-0943,大阪府東大阪市若江南町三丁目８番４８号,特定非営利活動法人 あまのたね,○,○,○,○,20,,
90,あおいん家,06-6730-9222,06-6730-9223,578-0946,大阪府東大阪市瓜生堂二丁目２３番２号１０２号１０３号,合同会社 あおい,○,○,○,○,20,,
91,とうふく,06-6789-7272,06-6789-7271,578-0947,大阪府東大阪市西岩田四丁目９番８号,社会福祉法人 青山会,,○,,,24,○,
92,和音堂,06-6783-1687,06-6788-4190,578-0948,大阪府東大阪市菱屋東三丁目５番４１号,社会福祉法人 インクルーシヴライフ協会,○,○,○,○,10,○,
93,オムニバスハルミヤＢＡＳＥ,072-963-3325,072-963-3326,578-0955,大阪府東大阪市横枕南１番２号,株式会社 クレア,○,○,○,○,20,○,
94,オーガニック製菓研究所,06-6210-7227,06-6924-9202,535-0002,大阪府東大阪市大宮二丁目２０番３号,株式会社 クレア,○,○,○,○,20,従,オムニバスハルミヤＢＡＳＥ
95,支援センターのぞみ,072-963-8978,072-963-8978,578-0957,大阪府東大阪市本庄中一丁目２番２８号,特定非営利活動法人 徳優,,○,○,,20,,
96,ふれあい工房,072-966-6020,072-940-7155,578-0963,大阪府東大阪市新庄四丁目４番２６号,社会福祉法人 鴻池福祉会,○,○,○,○,20,○,
97,ネクストサポート,06-6746-8613,06-6746-8614,578-0963,大阪府東大阪市新庄二丁目８番１１号,株式会社 ＮＥＸＳＴ,○,○,○,○,20,,
98,ａ．ｓｈｕ Ｃｒｅａｔｅ,06-7897-5243,06-4309-8662,578-0975,大阪府東大阪市中鴻池町二丁目１番２５号１階,株式会社 ａｂｉｌｉｔｙ,○,○,○,○,20,,
99,えいじいくらふと,072-984-5058,072-984-9026,579-8001,大阪府東大阪市善根寺町四丁目５番４号,社会福祉法人 育永会,,○,,,30,○,
100,すぷらうと,072-929-8789,072-987-6255,579-8001,大阪府東大阪市善根寺町四丁目１１番８号,社会福祉法人 育永会,,○,,,34,○,
101,わんせるふ,072-980-1717,072-980-2020,579-8001,大阪府東大阪市善根寺町四丁目１１番３９号,社会福祉法人 育永会,,○,,,12,○,
102,おさかな農園,072-959-3332,072-959-3334,579-8003,大阪府東大阪市日下町六丁目８番１７号,株式会社アトラスト,○,○,○,○,20,,
103,はちすワークス,072-920-4834,072-920-4835,579-8013,大阪府東大阪市西石切町七丁目４番５号,株式会社 Ｐｒｉｓｍ,,○,○,,20,,
104,就労継続支援Ｂ型 Ｔｏ－Ｂｅ 作業所,072-973-6106,072-973-6107,579-8025,大阪府東大阪市宝町１８番８号 １階２階,一般社団法人ｈａｐｐｉｎｅｓｓ,○,○,○,,20,,
105,ｏｎｅ ｌｉｎｋ＋,072-980-9922,072-980-9923,579-8036,大阪府東大阪市鷹殿町２２番４３号,株式会社 ｓｔｏｃ９,○,○,○,○,10,○,
106,ししまる 就労継続支援Ｂ型事業所,072-984-0550,072-984-0550,579-8037,大阪府東大阪市新町２２番８号,株式会社 ラルゴバモス,○,○,○,○,0,,
107,ふぁんとぅりぃ,072-900-2661,072-921-6389,579-8048,大阪府東大阪市旭町２０番２２号弥生マンション１０３,ＮＰＯ法人 ふぁんじゅーる,○,○,○,○,10,○,
108,ＯＳＪ工房 よりそいの丘,072-987-4218,072-987-4220,579-8062,大阪府東大阪市上六万寺町１３番４７号,社会福祉法人 大阪府社会福祉事業団,○,○,○,○,20,○,
109,ハッピーワーク,072-975-6608,072-975-6609,579-8063,大阪府東大阪市横小路町三丁目６番２号,株式会社 日本ハピネス,○,○,○,○,20,,
110,リエゾン,072-926-5293,072-926-5295,579-8064,大阪府東大阪市池島町二丁目１番８号,一般社団法人 リエゾン,○,○,○,,20,,
111,障がい者支援センターがやがや,072-951-6251,072-951-6251,579-8065,大阪府東大阪市新池島町一丁目１７番１９号,特定非営利活動法人 オレンジ,○,○,○,○,20,○,
