事業所名称,事業所郵便番号,事業所所在地,電話番号,FAX番号,事業開始年月日
吹田市立障害者支援交流センター「あいほうぷ吹田」,565-0826,大阪府吹田市千里万博公園12番27号,06-6816-6895,06-6816-6895,令和5年4月1日
Ｎｉｇｅｌｌａ,565-0851,大阪府吹田市千里山西一丁目27番11号,06-6330-4280,06-6330-4280,平成25年1月1日
吹田自立の場はあてー,565-0842,大阪府吹田市千里山東四丁目19番13号,06-6385-9828,06-6385-9828,平成22年4月1日
リールそれいゆ,565-0861,大阪府吹田市高野台一丁目6番3号 ﾛｲﾔﾙｺｰﾄ1階,06-6836-6200,06-7171-5616,令和2年9月1日
さつき障害者作業所,564-0072,大阪府吹田市出口町19番1号,06-6389-0606,06-6386-5152,平成19年10月1日
吹田市立総合福祉会館,564-0072,大阪府吹田市出口町19番2号,06-6339-1201,06-6339-1202,平成19年4月1日
ゼフ作業所,564-0051,大阪府吹田市豊津町15番13号第2ｻﾆｰﾊｲﾂ201号室,06-4860-6680,06-4860-6690,令和5年10月1日
集いの場ふりーばーど,564-0071,大阪府吹田市西の庄町4番33号,06-6369-7097,06-6369-7098,平成24年4月1日
福祉情報センター・共働事業所ｂ-ｆｒｅｅ,564-0033,大阪府吹田市東御旅町2-33-2,06-4860-5850,06-4860-5851,平成23年4月1日
吹田授産場,564-0023,大阪府吹田市日の出町7番15号,06-6382-5938,06-6381-3772,令和4年4月1日
工房ヒューマン,564-0023,大阪府吹田市日の出町9番3号 ｲﾏｽ藤本ﾋﾞﾙ2階,06-4860-9100,06-4860-9101,平成21年4月1日
第二かぼちゃのお家,565-0874,大阪府吹田市古江台二丁目10番13号,06-6872-6233,06-6872-6233,平成26年2月1日
千里みおつくしの杜かしのみ寮,565-0874,大阪府吹田市古江台六丁目2番6号,06-6871-2113,06-6871-2134,平成23年4月1日
千里みおつくしの杜くりのみ寮,565-0874,大阪府吹田市古江台六丁目2番6号,06-6871-2113,06-6871-2134,平成23年3月1日
みんなの森,564-0044,大阪府吹田市南金田1-1-34,06-6380-0020,06-6380-0021,令和2年4月1日
就労支援事業所フレイ第2,564-0045,大阪府吹田市南金田2-6-25,06-6155-8806,06-6310-8860,令和1年7月1日
amoRoom,564-0044,大阪府吹田市南金田二丁目14番4-1号,06-7897-8647,06-7897-8648,令和3年4月1日
花音工房,564-0043,大阪府吹田市南吹田五丁目21番9号,06-6386-8710,06-6384-0728,平成23年3月1日
第二さつき障害者作業所,565-0824,大阪府吹田市山田西二丁目13番8号,06-6878-2090,06-6876-8927,平成19年10月1日
スペース,565-0823,大阪府吹田市山田南29番4号棟 101号､102号､106号,06-6877-5323,06-6319-8055,平成25年11月1日
サニー,564-0054,大阪府吹田市芳野町16-3 1F･2F,06-6319-8021,06-6319-8021,令和6年5月1日
